 	Reasoning
For the sake of convenience, it is necessary for us to extract the relevant part of that Section which is in terms following 220(2) If the amount specified in any notice of demand under Section 156 is not paid within the period limited under subsection (1), the assessee shall be liable to pay simple interest at one and onehalf per cent for every month or part of a month comprised in the period commencing from the day immediately following the end of the period mentioned in subsection (1) and ending with the day on which the amount is paid Provided that, where as a result of an order under Section 154, or Section 155, or Section 250, or Section 254, or Section 260, or Section 262, or Section 264 or an order of the Settlement Commission under subsection (4) of Section 245D, the amount on which interest was payable under this Section had been reduced, the interest shall be reduced accordingly and the excess interest paid, if any, shall be refunded.	None
A bare reading of this Section clearly indicates that if the assessee does not pay the amount demanded under a notice issued under Section 156 of the Act within the time stipulated under subsection (1), the said assessee is liable to pay simple interest at one and onehalf per cent for every month or part of a month comprised in the period commencing from the day immediately following the end of the period mentioned in subsection (1) an ending with the day on which the amount is paid, and therefore the condition precedent under this Section is that there should be a demand notice and there should be a default to pay the amount so demanded within the time stipulated in the said notice.	None
Applying this Section to the facts of the case, it is seen that immediately after the assessment was made for the relevant years, demand notices were issued under Section 156(1) of the Act and admittedly the appellant satisfied the said demands and nothing was due pursuant to the said demand notices.	None
However, after the judgment of the appellate authority which went in favour of the assessee, the Revenue refunded the amount due as per the said order of authority.	None
Thereafter, when the matter was taken up ultimately in Reference to the High Court and the assessee lost the case, fresh demand notices were issued and it is also an admitted fact that in satisfaction of the said demand notices the appellant had paid the amount as demanded within the time stipulated therein.	None
The question, therefore, is whether the Revenue is entitled to demand interest in regard to the amount which was refunded to the assessee by virtue of the judgment of the appellate authority and which was repaid to the Revenue after decision in the Reference by the High Court on fresh demand notices being issued to the assessee ?	None
Admittedly, on a literal meaning of the provisions of Section 220(2) of the Act, such a demand for interest cannot be made.	None
The High Court by a liberal interpretation of the said Section and relying upon Section 3 of the Validation Act has held that the Revenue is entitled to invoke Section 220(2) of the Act for the purpose of demanding interest on such retention of money.	None
We are not in agreement with the High Court on the interpretation p0laced by it on Section 220(2) of the Act in regard to the right of the Revenue to demand interest in a situation where the assessee has promptly satisfied the demand made by the Revenue in regard to the tax originally assessed.	None
It is a settled principle in law that the Courts while construing Revenue Acts have to give a fair and reasonable construction to the language of a Statute without leaning to one side or the other, meaning thereby that no tax or levy can be imposed on a subject by an Act of Parliament without the words of the Statute clearly showing an intention to lay the burden on the subject.	None
In this process, the Courts must adhere to the words of the Statute and the socalled equitable construction of those words of the Statute is not permissible.	None
The task of the Court is to construe the provisions of the taxing enactments according to the ordinary and natural meaning of the language used and then to apply that meaning to the facts of the case and in that process if the taxpayer is brought within the net he is caught, otherwise he has to go free.	None
This principle in law is settled by this Court in Indian Carbon Ltd. and others v. State of Assam, 1997(6) SCC 479 wherein this Court held Interest can be levied and charged on delayed payment of tax only if the statute that levies and charges the tax makes a substantive provision in this behalf.	None
A Constitution Bench of this Court speaking through one of us (Hon. Bharucha, J.) in the case of V.V.S. Sugars v. Government of A.P. and others, 1999(4) SCC 192 reiterated the proposition laid down in the India Carbon Ltd. case (supra) in the following words The Act in question is a taxing statute and, therefore, must be interpreted as it reads, with no additions and no subtractions, on the ground of legislative intendment or otherwise.	None
If we apply this principle in interpreting Section 220 of the Act, we find that the condition precedent for invoking the said Section is only if there is a default in payment of amount demanded under a notice by the Revenue within the time stipulated therein and if such a demand is not satisfied then Section 220(2) can be invoked.	None
The High Court also fell in error in relying on Section 3 of the Validation Act to construe Section 220(2) in the manner in which it has done in the impugned judgment.	None
Section 3 of the Validation Act, in our opinion, cannot be relied upon to construe the authority of the Revenue to demand interest under Section 220 of the Act.	None
The said Section was enacted to cope up with a different factsituation.	None
That Section only revives the old demand notice which had never been satisfied by the assessee and which notice got quashed during some stage of the challenge and finally the said quashed notice gets restored by an order of a higher forum.	None
In such situation, Section 3 of the Validation Act restored the original demand notice which was never satisfied by the assessee and the said Section does away with the need to issue a fresh notice.	None
Beyond that that Section cannot be resorted to for reviving a demand notice which is already fully satisfied.	Reasoning
In a similar factsituation, a Division Bench of the Kerala High Court in I.T.O. v. A.V.	Reasoning
Thomas and Company, 1986(160) ITR 818 had held that the condition precedent for invoking Section 220(2) is that even after the notice of demand under Section 156 and after a further period of 35 days as provided under Section 220(1), the assessee should continue as a defaulter in the matter of payment of tax demanded.	Reasoning
It further held that only in case the assessee defaults in payment of tax assessed, 35 days after the notice of demand under Section 156, the liability to pay interest accrues.	Reasoning
In that case also, admittedly, the assessee had paid the tax when he received the demand notice under Section 156, hence, the High Court held that the requirements under Section 220(2) for attracting the liability to pay interest did not exist.	Reasoning
We are in agreement with the said view of the Kerala High Court.	Reasoning
Though this judgment was brought to the notice of the Karnataka High Court in the impugned judgment, the said High Court thought it fit not to place reliance on the same which, in our opinion, is erroneous.	Reasoning
In the light of the above, we are of the opinion that Section 220(2) of the Act cannot be invoked to demand any interest from the appellant for the assessment years in question.	Reasoning
These appeals, therefore, stand allowed, the impugned judgment is set aside and the demands made by the Revenue under Section 220(2) of the Act for payment of interest on the tax due for assessment years 197778, 197879 and 198081 stand quashed.	None
