 	Issue
We do not attach much importance to the arguments advanced on the question as to whether skilled, semiskilled and unskilled qualify the words manual, supervisory, technical or clerical or the above words qualify the word work.	None
Even if all the words are reed disjunctively or in any other manner, trained or untrained teachers do not plainly answer any of the descriptions of the nature of various employment given in the definition clause.	Reasoning
Trained or untrained teachers are not skilled, semiskilled, unskilled, manual, supervisory, technical or clerical employees.	None
They are also not employed in managerial or administrative capacity.	None
Occasionally, even if they do some administrative work as part of their duty with teaching, since their main job is imparting education, they cannot be held employed in managerial or administrative capacity.	Reasoning
The teachers are clearly not intended to be covered by the definition of employee.	None
The Legislature was alive to various kinds of definitions of word employee contained in various previous labour enactment when the Act was passed in 1972.	Reasoning
If it intended to cover in the definition of employee all kinds of employees, it could have as well used such wide language as is contained in S.2(f) of the Employees Provident Funds Act, 1952 which defines employee to mean any person who is employed for wages in any kind of work, manual or otherwise, in or in connection with the work of (an establishment)	None
Non use of such wide language in the definition of employee in S.2(e) of the Act of 1972 reinforces our conclusion that teachers are clearly not covered in the definition.26.	Reasoning
Our conclusion should not be misunderstood that teachers although engaged in very noble profession of educating our young generation should not be given any gratuity benefit.	Reasoning
There are already in several States separate statutes, rules and regulations granting gratuity benefits to teachers in educational institutions which are more or less beneficial than the gratuity benefits provided under the Act.	Reasoning
It is for the Legislature to take cognizance of situation of such teachers in various establishments where gratuity benefits are not available and think of a separate legislation for them in this regard.	Reasoning
That is the subject matter solely of the Legislature to consider and decide.27.	Reasoning
In conclusion, we find no merit in this appeal.	Decision
It is, hereby, dismissed but without any order as to costs.	Decision
