 	Issue
Ms. Mohini Narain, learned counsel appearing for the appellant contended that the courts below was totally in error in coming to the conclusion that there was absolute discretion on the Labour Court under Section 11A of the Industrial Dispute Act to alter the sentence in spite of coming to conclusion that the enquiry conducted by the management was correct and just and the finding of guilt recorded by the Enquiry Officer is based on facts.	Arguments of Petitioner
She submitted the discretion vested under Section 11 A of the Act has to be exercised judiciously bearing in mind the nature and gravity of the misconduct proved as also the loss of confidence genuinely entertained by the management.	Arguments of Petitioner
In support of her contention she placed reliance on the judgments of this Court in the case of(1) Air India Corporation, Bombay vs. V.A. Rebellow and Anr.	Arguments of Petitioner
(1972 1 SCC 814 ),(2) Francis Kelin Company Private Limited vs. Their Workmen Anr.	Arguments of Petitioner
(1972 4 SCC 569 ),(3) Janata Bazaar South Kanara Central Cooperative Wholesale Stores Limited Ors.	Arguments of Petitioner
Vs.	Arguments of Petitioner
Secretary, Sahakari Noukarara Sangha Ors (2000 7 SCC 517 ),(4) UPS RTC vs. Mohan Lal Gupta (2000 9 SCC 521 ) and(5)	Arguments of Petitioner
The Workmen of Firestone Tyre Rubber Co. vs. The Management Ors.	Arguments of Petitioner
(1973 1 SCC 813 ).	Arguments of Petitioner
Shri Nageshwar Rao, learned senior counsel appearing for the respondent submitted that under Section 11 A of the Act the Labour Court was well within its jurisdiction to interfere with the quantum of punishment if it came to the just conclusion that the penalty imposed on the employees is disproportionate and the same shakes the courts conscience.	Arguments of Respondent
He submitted in view of the fact that the respondent had returned the entire loan amount and the appellantcompany has not suffered any monetary loss.	Arguments of Respondent
The Labour Court was justified in altering the punishment.	Arguments of Respondent
He also submitted that though the Labour Court did not accept the respondents case that the documents in question were given to him by the company itself, on the maternal on record it is seen that on a request made by the respondent the officers of the appellant company had handed him over the documents so that he can sell the property and return the loan taken by him.	Arguments of Respondent
He also submitted that right till the date of this misconduct the respondents behaviour has been exemplary and he has served the company honestly and efficiently, therefore, for this one stray act of misconduct he ought not to be punished and so called loss of confidence pleaded by the management is imaginary, therefore, he justified the Labour Courts exercise of its wide jurisdiction judiciously which was upheld by the learned Single Judge as well as by the Division Bench of the High Court and there is absolutely no reason for this Court to interfere with such concurrent finding.	Arguments of Respondent
It is an admitted fact that the documents kept in deposit for obtaining a loan from the appellant company by the respondent by way of a mortgage did find it way to the office of the lawyer of the respondent and of the respondent did make an attempt to sell the property by calling for offers by way of Newspaper publication.	None
Though the respondent pleaded that the documents were given to him on his request by the management itself, the findings of facts recorded by the Enquiry Officer as well as by the Labour Court was that these documents were taken away without the consent or knowledge of the management.	None
It is seen that the Labour Court itself from the evidence of three witnesses examined by it came to the conclusion that case of the respondent that the document was returned by the management was false and the signature of the three witnesses on the letter produced by the respondent was forged.	None
Hence, the inference to be drawn on this finding is that apart from removing the documents illegally the respondent also tried to justify the removal by producing certain fabricated documents.	None
Though the respondent challenged these finding right up to the Division Bench those findings have now become final, therefore, we will have to proceed on the basis that the allegation of misconduct leveled against the respondent stands proved.	None
Question then is whether the misconduct alleged against is so serious or grave as to create a genuine lack of confidence in respondent by the appellant.	None
While considering this question of loss of confidence and the jurisdiction of the Labour Court in interfering with the quantum of punishment the learned Single Judge was of the following opinion There is any amount of spectrum of discretion vested with the Tribunal in taking into consideration the facts and circumstance of the case.	None
The Division Bench in appeal concurred with the said finding of the learned Single Judge by observing In our opinion, a reading of Section 11A would show that the power of the Labour Court is without limitation.	None
With respect, we are unable to agree with these findings of the High Court.	Reasoning
In our opinion, there is no such thing as unlimited jurisdiction vested with any judicial or quasi judicial forum.	Reasoning
An unfettered discretion is a sworn enemy of the constitutional guaranty against discrimination.	Reasoning
An unlimited jurisdiction leads to unreasonableness.	Reasoning
No authority be it an administrative or judicial has any power to exercise the discretion vested in it unless the same is based on justifiable grounds supported by acceptable materials and reasons thereof.	Reasoning
The Labour Court while exercising its discretion recorded that though the confidence of the employer on the respondent is shaken still it gave 3 reason for exercising its discretion, they are No instance of earlier misconduct are spelt.	None
It appears the respondents is an active participant in the cultural activities and for common cause of the employees.	None
Therefore, it felt the punishment of dismissal from service is harsh, in the facts and circumstances of the case.	Facts
These extenuating circumstances recorded by the Labour Court is in the background of the following proved facts Title deeds deposited with the appellant for borrowing money were surreptitiously taken away without the permission of the appellant which act amounts to theft.	None
The said documents so stolen were admitted to be used for the purpose of selling the property which amounts to fraud.	None
The documents so taken was sought to be justified by a letter where the signatures are forged amounting to forgery.	None
The question the Labour Court ought to have asked itself while exercising its discretion under Section 11 A should have been whether the reasons given by it that there was no earlier misconduct or that the respondent is an active participant in cultural activities is sufficient to come a reasonable conclusion that a punishment of dismissal was harsh in the background of the finding recorded by itself as to the confidence of the employer on the respondent which according to the Labour Court was shaken by the misconduct.	None
In our opinion with no stretch of imagination either the extenuating circumstances recorded by the Labour Court or the exercise of its discretion could be termed either as reasonable or judicious.	Reasoning
In our opinion even the learned Single Judge and the Division Bench erroneously held that the Labour Court had unlimited jurisdiction under Section 11A of the Act.	Reasoning
It is because of the above erroneous legal foundation as to the vastness of power vested with the Labour Court.	Reasoning
The High Court accepted the interference by the Labour Court in the award of punishment.	Reasoning
Thus, the Labour Court as well as the High Court fell in error in granting the relief to the respondent which is challenged in this petition.	Reasoning
The learned counsel for the appellant has rightly relied upon the decisions of this Court in support of her argument.	None
In Air India Corporation (supra) this Court held with reference to loss of confidence as follows Once bonafide loss of confidence is affirmed the impugned order must be considered to be immune from challenge In Francts Kletn Company Private Ltd. (supra) this Court held In our view when an employer loses confidence in his employee, particularly in respect of a person who is discharging an office of trust and confidence, there can be no justification for directing his reinstatement Even this direction is not a valid direction because if once the Company has lost confidence in its employee, it is idle to ask them to employ such a person in another job.	None
What job can there be in a Company which a person can be entrusted with and which does not entail reposing of confidence in that person.	None
In Janta Bazaar South Kanara (supra) this Court held Once act of misappropriation is proved, may be for a small or large amount, there is no question of showing uncalled for sympathy and reinstating the employees in service.	None
Law on this point is well settled In case of proved misappropriation, in our view, there is no question of considering past service record.	None
It is the discretion of the employer to consider the same in appropriate cases, but the Labour Court cannot substitute the penalty imposed by the employer in such cases.	None
In UPS RTC (supra) this Court held The employee has been found to be guilty of misappropriation and in such and event, if the appellantCorporation loses its confidence visavis the employee, it will be neither proper nor fair on the part of the Court to substitute the finding and confidence of the employer with that of its own in allowing reinstatement.	None
The misconduct stands proved and in such a situation, by reason of the gravity of the offence, the Labour Court cannot exercise its discretion and alter the punishment With reference to Section 11A of the Act, in the case of The Workmen of Firestone Tyre Rubber Company Ltd. (supra) thsi Court held Once the misconduct is proved, the Tribunal had to sustain the order of punishment unless it was harsh indicating victimisation If a proper enquiry is conducted by an employer and a correct finding arrived at regarding the misconduct, the Tribunal, even though it has now power to differ from the conclusions arrived at by the management, will have to give every cogent reasons for not accepting the view of the employer In CMC Hospital Employees Union Anr.	None
(supra) this Court held Section 11Acannot be considered as conferring an arbitrary power on the Industrial Tribunal or the Labour Court.	None
The power under Section 11A of the Act has to be exercised judicially and the Industrial Tribunal or the Labour Court is expected to interfere with the decision of a management under Section 11A of the Act only when it is satisfied that the punishment imposed by the management is highly disproportionate to the degree of guilt of the workman concerned.	None
The Industrial Tribunal or the Labour Court has to give reasons for its decision In our opinion all the above judgments applies with full force to the facts of this case.	None
The Labour Court has itself come to the conclusion the management has lost confidence in the respondent.	Reasoning
If that be the case the question of it exercising its jurisdiction under Section 11A to alter to reduce the punishment does not arise.23.	Reasoning
That apart the reasons given by the Labour Court to reduce the penalty are reasons which are not sufficient for the purpose of reducing the sentence by using its discretionary power.	Reasoning
The fact that the misconduct now alleged is the first misconduct again is no ground to condone the misconduct.	Reasoning
On the facts of this case as recorded by the Labour Court the loss of confidence is imminent, no finding has been given by the courts below including Labour Court that either the fact of loss of confidence or the quantum of punishment is so harsh as to be vindictive or shockingly disproportionate.	Reasoning
Without such finding based on records interference with the award of punishment in a domestic inquiry is impermissible.	Reasoning
For the reasons stated above the appeals succeed.	Decision
The impugned orders to the extent they direct the reinstatement of the respondent is set aside.	Decision
The order of dismissal of the respondent made by the appellant pursuant to the inquiry is upheld.25.	Decision
Appeals allowed to the above extent.	Decision
