 	Reasoning
Godrej Soap Pvt. Ltd. ( 1986 (4) SCC 260 1986 SCC(Cri) 434 1986 (3) SCR 771 ) the decision dated September 12, 1986 in the case of Star Diamond Company of India Star Diamond Co., India v. Union of India, 1986 (4) SCC 246 1986 SCC(Cri) 431) and the decision dated April 15, 1987 in the Writ Petition No. 1483 of 1987 filed by D. Naveen Chandra and Company v. Union of India ( 1987 (3) SCC 66 1987 (2) SCR 989 ).	None
It appears that the petitioners were not able to make imports under the said Additional Licences till March 31, 1988.	None
With effect from April 1, 1988, the Government of India issued the revised Import and Export Policy for the period April 1988 to March 1991.	None
The Import and Export Policy 19881991 also contains in paras 214 and 215 provisions for grant of Additional Licences to Export Houses.	None
In para 215 of the said Policy certain additional facilities have been given in the matter of imports by Export Houses under Additional Licences issued to them.	None
In subpara (4) of para 215 it has been provided as under Additional licences issued to Export Houses will also be valid for the import of the following items up to 10 per cent (up to 15 per cent in the case of Trading Houses) of the value of the licence for Import of technical designs, drawing and other technical documentation for a value not exceeding Rs. 10 lakhs in the case of Export Houses, and Rs. 25 lakhs in the case of Trading Houses import of items appearing in Appendices 3 Part A, 3 Part B and 5 Part A subject to the following conditions (a) that the c.i.f. value of a single item shall not exceed 10 per cent of the flexibility in value terms or Rs. 10 lakhs, whichever is less (b) where the value for import of a single item on the basis of 10 per cent as at (a) above, works out to less than Rupees one lakh, import would be permitted up to a value of Rs. 1 lakh, provided it is within the overall flexibility allowed on the licence and import of nonOGL capital goods (other than those appearing in Appendices 1 Part A and 8) without indigenous clearance, subject to the same conditions as stipulated at (ii) above within the overall flexibility allowed to Export Trading Houses.	None
Paragraphs 217 and 218 of the said Policy provide for transitional arrangements.	None
In para 217, it is prescribed that Export Trading House Certificates issued prior to April 1, 1988 would continue to be valid till the date of the expiry and the Export House Trading House can apply for fresh certificates, if they fulfil the eligibility conditions laid down in the Policy and in cases where these certificates are expiring on March 31, 1988, and the applicants do not fulfil the eligibility conditions for recognition laid down under the revised Policy, recognition would be granted for one year only if they fulfil conditions for renewal of these certificates as laid down in the Import Policy, 198588.	None
Para 218 of the said Policy reads as under 218.	None
(1) Where the applications from Export House Trading Houses for Additional Licences have not been disposed of by March 31 of the preceding licensing year, the rate of entitlement will be the same as permissible during the licensing year to which the application pertains, but the items to be allowed will be as per the Import Policy in force on the date of issue of the licence Additional Licences already issued prior to April 1, 1988 shall continue to be nontransferable The Additional Licences issued prior to April 1, 1988 shall cease to be valid for import of items of raw materials, components and spares which appeared in Parts I and II of List 8, Appendix 6 of ImportExport Policy, 198588, but are not now covered by Part I of List 8, Appendix 6 of this Policy.	None
These licences will also cease to be valid for the import of items of capital goods which appeared in Appendix 1 and B of ImportExport Policy, 198588 but are now covered by Appendix 1 Part B of this Policy The Additional Licences issued to Trading Houses prior to April 1, 1988 will cease to be valid for the import of items which appeared in Appendices 3 and 5 Part A of the ImportExport Policy, 198588 but do not appear in Appendices 3 and 5 Part A of this Policy(5)	None
Additional Licences issued to Export Houses Trading Houses prior to April 1, 1988 shall cease to be valid for import of items of spares appearing in Appendices 2, 3, 5 Part A, 8 and 10 of this Policy Notwithstanding the provisions contained in subparas (3), (4) and (5) above, the restrictions will not apply to the extent the licence holders have already made firm commitments by irrevocable Letters of Credit opened and established through authorised dealers in foreign exchange before April 1, 1988 but any extension of these letters of credit made after March 31, 1988 shall be treated as fresh commitments Additional Licences issued to Export Houses Trading Houses prior to April 1, 1988 will also be valid within their overall value, for import of raw materials, components, consumables and spares appearing in Appendix 6, List 8, Part A of this Policy.	None
Similarly, such licences will also be valid for import of items of capital goods now covered by Appendix 1, Part B of this Policy within their overall value REP licences held by Export Houses Trading Houses and already endorsed prior to April 1, 1988 shall cease to be valid for import of any items which could be imported under Open General Licence under the ImportExport Policy, 198588 but are no longer so in this Policy Additional Licences issued to Export Houses Trading Houses after April 1, 1988 on exports made during 198687 or earlier periods, will be nontransferable.	None
These licenses will be valid for import of the items appearing Part I of List 8, Appendix 6 of this Policy.	None
These licences when issued to Trading Houses, will also be valid for import of the items appearing in Appendices 3 and 5 Part A of this Policy, subject to the conditions laid down in this regard, in the ImportExport Policy, 198588(10) Additional Licences issued to Export Houses Trading Houses prior to April 1, 1988, or issued after April 1, 1988 on exports made during 198687 or earlier periods, will not be eligible for the flexibilities in the import of items of raw materials, components and consumables covered by Appendices 3 and 5 Part A and items of nonOGL capital goods (other than those covered by Appendices 1 Part A and 8) available under this Policy.	None
However, these licences will be eligible for the endorsement (if not already endorsed) for the import of nonOGL capital goods (other than those covered by Appendices 1 Part A and 8) as allowed against such licences in the Import Policy, 198588, subject to the conditions laid down therein provided the items sought to be imported against such licences continued to be nonOGL (other than those covered by Appendices 1	None
Part A and 8) under this Policy.	None
The grievance of the petitioners is confined to subpara (10) of para 218 which lays down that Additional Licences issued to Export Houses Trading Houses prior to April 1, 1988, or issued after April 1, 1988, on exports made during 198687 or earlier periods, will not be eligible for the flexibilities in the import to items of raw materials, components and consumables covered by Appendices 3 and 5 Part A and items of nonOGL capital goods (other than those covered by Appendices 1 Part A and 8) available under the revised Policy.	None
Appendix 3 Part A relates to raw materials, components, consumables, tools and spares (other than iron and steel and ferroalloys) and Part B of the said Appendix deals with raw materials (iron and steel and ferroalloys).	None
Part A of the Appendix 5 contains the list of items import of which is canalised through public sector agencies.	None
As a result of the aforesaid provision contained in subpara (10) of the para 218, the petitioners who were granted Additional Licences prior to April 1, 1988, cannot avail the flexibilities in import of items granted under clauses (ii) and (iii) of subpara (4) of para 215 of the Import Policy 19881991 On behalf of the petitioners it has been urged by Shri Salve that subpara (10) of para 218 of the Import and Export Policy 19881991 arbitrarily discriminates between Export Houses who were issued Additional Licences prior to April 1, 1988, and Export Houses who were issued Additional Licences on or after April 1, 1988 inasmuch as the Export Houses who were issued Additional Licences prior to April 1, 1988, on the basis of exports made during 198687 or earlier periods have been denied the facilities which have been given to Export Houses who were issued Additional Licences on or after April 1, 1988, on the basis of exports made during the period subsequent to 198687.	Arguments of Petitioner
It has been submitted that all Export Houses who have been granted Additional Licences constitute a single class and that there is no basis for classifying such Export Houses into two different categories on the basis of the date of issuance of the Additional Licences or on the basis of the period of the exports against which such licences have been issued and that such a classification has no connection whatsoever with the object sought to be achieved by the Import and Export Policy 198891 On behalf of the respondents it has been submitted by the learned Additional Solicitor General that there is no similarity between the petitioners who have been granted Additional Licences on the basis of their exports made during the period 197778 in accordance with the Import Policy 197879 and the Export Houses who would be granted Additional Licences on or after April 1, 1988, under the Import and Export Policy 198891 inasmuch as the conditions of eligibility for grant of such licences and the value of licences under the Import and Export Policy 197879 were quite different from those contained in the Import and Export Policy 198891.	Arguments of Petitioner
It has been urged that under the Import and Export Policy 197879 Additional Licences were to be given on the basis of onethird of the f.o.b. value of the exports made in 197778 whereas under Import and Export Policy 198891 Additional Licences are to be given on the basis of net foreign exchange earnings from the exports actually made and the value of such Additional Licence is only 10 to 12 per cent of the net foreign exchange earnings As regards the right to equality guaranteed under Article 14 the position is well settled that the said right ensures equality amongst equals and its aim is to protect persons similarly placed against discriminatory treatment.	None
It means that all persons similarly circumstanced shall be treated alike both in privileges conferred and liabilities imposed.	None
Conversely discrimination may result if persons dissimilarly situate are treated equally.	None
Even amongst persons similarly situate differential treatment would be permissible between one class and the other.	None
In that event it is necessary that the differential treatment should be founded on an intelligible differentia which distinguishes persons or things that are grouped together from others left out of the group and that differentia must have a rational relation to the object sought to be achieved by the statute in question The petitioners, in order to successfully invoke the right guaranteed under Article 14 of the Constitution, will have to establish that they and the Export Houses which were issued Additional Licences under the Import Policy 198891 are similarly situate.	None
A close examination of the Import and Export Policy 197879 under which the petitioners have been granted the Additional Licences and the Import and Export Policy 198891 shows that there is material difference between the conditions for grant of Additional Licences under Import Policy 197879 and the conditions for grant of such licences under the Import Policy 198891 and it cannot be said that the petitioners who have been granted Additional Licences under the Import and Export Policy 197879 and the Export Houses who are granted Additional Licences under the Import and Export Policy 198891 are persons similarly circumstanced Under the Import and Export Policy 197879, there were two requirements for grant of Additional Licences one was the condition as to eligibility for registration as an Export House and grant of Export House Certificates and the other was the basis for issuing the Additional Licences to Export Houses which had been granted Export House Certificates.	Arguments of Respondent
In para 165 of the said Policy the eligibility for grant of Export House Certificates was to be determined on the basis of the exports actually made in the three year base period 197576, 197677 and 197778 and in para 166 it was laid down that the annual average f.o.b. value of exports in the prescribed base period of select products should not be less than Rs. one crore or those of nonselect products Rs. five crores, but in the case of a small scale unit or a consortium of small scale units, the said minimum limit was reduced to Rs. 25 lakhs for select products and Rs. 2 crores for nonselect products.	None
In para 176 of the said Policy it was laid down that the value of the Additional Licences to be granted for 197879 would be calculated at onethird of the f.o.b. value of the exports of select products made in 197778 and manufactured by the small scale and cottage industries plus 5 per cent of the f.o.b. value of other exports of select products made in the same year.	None
In other words, under the Import and Export Policy of 197879 the basis for grant of Export House Certificates as well as grant of Additional Licences to Export Houses was the f.o.b. value of the exports Under the Import and Export Policy 198891 provision with regard to eligibility for the grant of Export House Trading House Certificate is contained in para 212 which prescribes that the said eligibility shall be determined on the basis of the net foreign exchange (NFE) earnings from the exports actually made in the preceding three licensing years terms as the Base Period.	None
The expression net foreign exchange earnings has been defined as the total f.o.b. value of admissible exports minus the c.i.f.	None
value of Advance Imprest (including Diamond Imprest DTC Imprest) Licences ImportExport Pass Books (excluding Special Imprest ImportExport Pass Books) if any issued, and the REP licences issued or the eligibility thereto, during the preceding three licensing years.	None
Among the conditions for eligibility for grant of such certificates are that the annual average NFE earnings in the prescribed base period should not be less than Rs. 2 crores in the case of Export Houses and Rs. 10 crores in the case of Trading Houses and that NFE earnings in none of the three years of the base period should be less than 25 per cent of the minimum average NFE earnings prescribed.	None
For determining the eligibility of the products manufactured by small scale and cottage sector industries are to be reckoned at twice the actual NFE earnings.	None
In para 215 of the said Policy, it is provided that the Export Houses Trading Houses would be eligible to Additional Licences on the basis of the admissible exports made in the preceding licensing year and that the value of these licences will be calculated at 10 per cent of NFE earnings on the total eligible exports made in the preceding licensing year and that this percentage shall be 12 per cent in cases where an Export Trading House is able to achieve a minimum growth of 10 per cent in terms of NFE realisation in the previous year, over and above the year preceding the same.	None
This indicates that under the Import and Export Policy 198891 for the purpose of grant of Export House Certificate as well as Additional Licences the emphasis is on the net foreign exchange earnings made by the Export House, which means that the value of the imports made by the Export House for the purpose of exporting the goods is to be excluded from the f.o.b. value of exports.	None
That apart even the value of the Additional Licences which can be issued under the Import and Export Policy 198891 on the basis of NFE earnings is much less viz.	None
10 per cent as against 33.33 per cent of f.o.b. value under the Import and Export Policy 197879.	None
The said 10 per cent value can be increased to 12 per cent in cases where the Export House is able to achieve a minimum growth of 10 per cent in terms of realisation in the previous year, over and above the year preceding the same	None
The aforesaid examination of the provisions contained in the Import and Export Policy 197879 and the Import and Export Policy 198891 shows that while in the Import and Export Policy 197879 the emphasis was only on the f.o.b. value of exports without taking into account the outgo of foreign exchange in importing the goods required for achieving the exports by an Export House and Additional Licences were granted for much a large amount at a higher percentage on the basis of the f.o.b. value of the exports, in the Import and Export Policy 198891 there is more realistic appraisal of actual benefit to the countrys economy by the exports by taking into account the net foreign exchange earnings after deducting the value of the imports and Additional Licences are issued on the basis of the net foreign exchange earnings for a much lesser value on a smaller percentage.	Arguments of Respondent
The petitioners who were granted Additional Licences to the extent of 33.33 per cent of the f.o.b. value of the exports made by them during the year 197778 cannot, therefore, be said to be persons similarly circumstanced as Export Houses who exported goods in the year 198788 and in subsequent years and obtain Additional Licences for a much lesser value under the Import Policy 198891 on the basis of the net foreign exchange earnings.	Arguments of Respondent
The provisions conferring flexibility in the matter of imports contained in subpara (4) of para 215 of the Import and Export Policy 198891 are intended to give an incentive to Export Houses to increase the exports in a way as to enhance the net foreign exchange earnings of the country.	None
The petitioners were not granted Additional Licences on the basis of net foreign exchange earnings and they have secured the Additional Licences on the basis of the f.o.b. value of the exports, without taking into account the value of the goods imported by them for achieving the exports.	None
They cannot claim to be entitled to the same facilities that have been provided to Export Houses who are granted Additional Licences under the Import and Export Policy 198891	None
Shri H.N. Salve, has, however, urged that the view of the decision of this Court in D. Navinchandra Co. case ( 1987 (3) SCC 66 1987 (2) SCR 989 ) the Export Houses who were granted Additional Licences under the Import and Export Policy 197879 have to be treated at par with Export Houses who have been granted Additional Licences under the Import and Export Policy for the subsequent years and since there has been relaxation in the matter of policy of canalisation of imports under subpara (4) of para 215 in respect of Additional Licences granted to Export Houses under the Import and Export Policy 198891, the petitioners are also entitled to a similar relaxation.	None
We are unable to agree with this contention.	None
In D. Navinchandra Co. case ( 1987 (3) SCC 66 1987 (2) SCR 989 )	None
this Court has not laid down that Export Houses, like the petitioners, who are granted Additional Licences on the basis of the order dated April 18, 1985, are to be treated at par with Export Houses who are granted Additional Licences under Import and Export Policy prevalent at the time of import.	None
In that case this Court, while explaining the background in which the order dated April 18, 1985, was passed, has observed (SCC p. 76, para 20) It has to be borne in mind that the basic background under which the Rajnikant decision 1986 Supp(SCC) 692) was rendered, (sic) the Export Houses had been refused Export House Certificates because it was insisted that they should have diversified their export and that was a condition for the grant or entitlement of an Export House Certificate.	Facts
It was found and it is common ground now that that was wrong.	None
Therefore, the wrong was undone.	None
Those who had been denied Export House Certificates on that wrong ground were put back to the position as far as it could be if that wrong had not been done.	None
To do so, the custom authorities and government authorities were directed to issue necessary Export House Certificates for the year 197879 though the order was passed in April 1985.	None
This was a measure of restitution, but the court while doing so, ensured that nothing illegal was done.	None
After referring to the decision in Raj Prakash Chemicals Ltd. ( 1986 (2) SCC 297 1986 (1) SCR 448 )	None
this Court has stressed (SCC p. 77, para 21)	None
The items had to pass to two tests, firstly, they should have been importable under the Import Policy 197879 and secondly they should also have been importable under the Import Policy 198588 in terms of the order dated April 18, 1985, and if one may add, in such terms in accordance with the import rules whether canalised or not canalised.	None
This Court has gone on to emphasise (SCC p. 77, para 20)	None
It must be emphasised that in the order dated April 18, 1985, this Court did not do away with canalisation.	None
That was not the issue before this Court.	None
The expression whether canalised or not canalised was to include both.	None
This Court did not say that canalised items could be imported directly by the importers ignoring the canalisations process.	None
We are of the opinion that this Court did not say that canalisation could be ignored.	None
That was not the issue.	None
High public policy, it must be emphasised, is involved in the scheme of canalisation.	None
Shri Salve has placed reliance on the following observations of this Court in this case (SCC p. 77, para 21) Canalised items are those items which are ordinarily open to import only through a public sector agency.	None
Although generally these are importable through public sector agencies, it is permissible for any import policy to provide an exception to the rule and to declare that an importer might import a canalised item directly.	None
It is in that sense and that sense only that the court could have intended to define the entitlement of diamond exporters.	None
They would be entitled to import items which were canalised or not if the import policy prevailing at the time of the import permitted them to import items falling under such category.	None
This was also viewed in that light in the case of Indo Afghan Chambers of Commerce (Indo Afghan Chambers of Commerce v. Union of India, 1986 (3) SCC 352 1986 (3) SCR 88 ).	None
These observations only indicate that import of the canalised items under Additional Licences issued to Export Houses, like the petitioners, would be permissible if the import policy prevailing at the time of import permits them to import such items.	None
In other words it would depend on the terms of the import policy prevailing at the time of import.	None
The decision in Indo Afghan Chambers of Commerce v. Union of India (Indo Afghan Chambers of Commerce v. Union of India, 1986 (3) SCC 352 1986 (3) SCR 88 ) to which reference has been made, is also the same effect.	None
In that case Export Houses, like the petitioners, wanted to import Dry Fruits under the Additional Licences issued to them.	None
Under the Import Policy 198588 prevailing at the time of such import, the import of dry fruits was permissible only by dealers engaged in the trade of stocking and selling dry fruits.	None
It was held that the Export Houses could not import dry fruits in view of the said restriction placed in the Import Policy 198588.	None
The decision of this Court in D. Navinchandra Co. case 1987 (3) SCC 66 1987 (2) SCR 989 reiterates that the rights of the petitioners under the Additional Licences issued to them would be governed by the terms of the import policy prevailing at the time of import Here we find that in the Import and Export Policy 198891 there has been relaxation to a limited extent in respect of imports by Export Houses who are granted Additional Licences under the said Policy on the basis of their exports during that period 198788 and subsequent periods.	Arguments of Petitioner
Since the basis for the grant of Additional Licences which are entitled to this relaxation is different from the basis on which Additional Licences were granted to the petitioners, the petitioners cannot claim the benefit of the same relaxation and assail the validity of subpara (10) of para 218 of the Import and Export Policy 198891	Reasoning
Shri Salve has invited our attention to the Import Licence dated November 21, 1988 issued in favour of M s. Suraj Diamonds Industries Pvt.	Reasoning
Ltd. wherein it is stated that this licence is valid for import of items as per para 215 of Import and Export Policy 198891 subject to restrictions conditions laid down therein.	Reasoning
It has been submitted that this licence has also been issued under the Import and Export Policy 197879 on the basis of the f.o.b. value of exports.	Reasoning
It has been urged that the petitioners as well as the said licensee, namely M s. Suraj Diamonds Industries Pvt.	Reasoning
Ltd. are persons similarly situate and whereas M s. Suraj Diamonds Industries Pvt. Ltd. have been granted an Additional Licence whereunder it is permissible to import items as per para 215 of the Import and Export Policy 198891, the said facility has been denied to the petitioners and that the petitioners have been subjected to arbitrary and hostile discrimination.	Reasoning
The learned Additional Solicitor General has pointed out that the said licence to M s. Suraj Diamonds Industries Pvt. Ltd. was issued under a mistake and the said mistake has been rectified on December 2, 1988, i.e., within 10 days of the issue of the said licence.	Reasoning
In view of the fact that the licence issued in favour of M s. Suraj Diamonds Industries was issued under a mistake and the said mistake has been rectified, it cannot be said that the petitioners have been subjected to hostile discrimination visavis other Export Houses similarly situate Before we conclude, we may take note of the recent decision of this Court in B. Vijay Kumar Co. v. Collector of Central Excise and Customs ((1991) 1 Scale 33).	Reasoning
The appellants therein had been granted Additional Import Licence in pursuance of this Courts order dated April 18, 1985 in Rajnikant Brothers case 1986 Supp(SCC) 692) and had imported canalised items under the said licence.	Reasoning
The goods were not cleared by the customs authorities and the Collector of Customs imposed penalty and passed orders for confiscation of the foods and permitted the appellants to take delivery of goods on payment of redemption fine.	Reasoning
The Customs, Excise and Gold (Control) Appellate Tribunal (hereinafter referred to as the Appellate Tribunal) on appeal, while upholding the order of imposition of redemption fine, set aside the order of Collector imposing penalty.	Reasoning
In view of the special facts and circumstances of the case and specially having regard to the findings of the Appellate Tribunal that the appellants imported canalised items bona fide, this Court set aside the orders of the Collector and the Appellate Tribunal with regard to confiscation of goods and imposition or redemption fine without dealing with the submissions of learned counsel for the parties with regard to the interpretation and the effect of the earlier judgments of this Court in Raj Prakash Chemicals case ( 1986 (2) SCC 297 1986 (1) SCR 448 ) IndoAfghan case (Indo Afghan Chambers of Commerce v. Union of India, 1986 (3) SCC 352 1986 (3) SCR 88 ), Godrej Soap case (Star Diamond Co., India v. Union of India, 1986 (4) SCC 246 1986 SCC(Cri) 431) and D. Navinchandra Co. case ( 1987 (3) SCC 66 1987 (2) SCR 989 )	Reasoning
This decision is, therefore, a decision based on the facts of that particular case only As a result of the aforesaid discussion it must be held that the petitioners have failed to make out a case for interference by this Court under Article 32 of the Constitution20.	Decision
As indicated earlier, the licences issued to the petitioners were valid for a period of twelve months and the said period has expired during the pendency of these writ petitions.	Decision
By order dated May 3, 1988, this Court, while directing that notice be issued had further directed that the matter be listed on July 20, 1988, and in these circumstances this Court did not pass any interim order for stay.	Decision
The writ petitions could not, however, be heard as per the aforesaid directions.	Decision
Since the matter has been pending in this Court and this the Additional Licences issued to the petitioners have expired in the meanwhile we consider it appropriate that the period of validly of the said licences should be extended so that the petitioners can avail the same and are able to import the goods which can be so imported under the prevailing Import Policy.	Decision
It is, therefore, directed that the period of validly of the Additional Licences that have been granted to the petitioners under Import and Export Policy 197879 may be extended by six months from the date of such extension.	Decision
Subject to the aforesaid observations, the writ petitions are dismissed.	Decision
The parties are left to bear their own costs.	Decision
