 	Arguments of Respondent
However, vide letter dated 1.2.2002, Shri Huddar declined to arbitrate in the matter by stating that he had remained associated with Kyona Project as Superintending Engineer and Chief Engineer.	Facts
Thereafter, respondent No.1 sent letter dated 26.2.2002 to Shri S.L. Jain of S S Consultants, Bhopal with the request to act as an arbitrator on its behalf.	Facts
Shri Jain communicated his consent vide letter dated 27.2.2002.	Facts
On the same day, respondent No.1 informed respondent No.2 that in terms of Section 15(2) of the Act, it was entitled to appoint a substitute in place of Shri S.N. Huddar and had, in fact, appointed Shri S.L. Jain as an arbitrator and the latter had consented to such an appointment.	Facts
On 7.3.2002, the power of attorney holder of the appellants informed respondent No.1 that appointment of Shri S.L. Jain as replacement arbitrator is contrary to the terms of subcontract agreement and piece work agreement.	Facts
In the meanwhile, power of attorney holder of the appellants sent letter dated 22.1.2002 to respondent No.2 and Shri S.N. Huddar requesting them to appoint the third arbitrator.	Facts
On his part, respondent No.2 suo motu sent letter dated 21.2.2002 informing the parties that in view of Shri Huddars refusal to act as an arbitrator on behalf of respondent No.1, he had become the Sole Arbitrator and asked them to appear at Mumbai for a preliminary meeting.	Facts
After his appointment as an arbitrator on behalf of respondent No.1, Shri S.L. Jain sent letter dated 11.3.2002 to respondent No.2 and suggested the names of three retired Bombay High Court judges for appointment as Presiding Arbitrator.	Facts
In his reply dated 25.3.2002, respondent No.2 claimed that Section 15(2) of the Act has no application in the case and that in terms of Clause 18 of the subcontract agreement and Clause 19 of the piece work agreement, he was entitled to act as the Sole Arbitrator.	Facts
At that stage, respondent No.1 filed Arbitration Application Nos.114 of 2002 and 90 of 2002 under Section 11 of the Act for appointment of the third arbitrator by asserting that in view of refusal of Shri S.N. Huddar to act as an arbitrator, it had appointed Shri S.L. Jain as a substitute arbitrator in terms of Section 15(2) of the Act and in that view of the matter respondent No.2 was not entitled to act as the Sole Arbitrator.	Facts
The designated Judge of the Bombay High Court allowed both the applications and appointed Shri Justice M.N. Chandurkar (Retired) as the third arbitrator.	Facts
The learned designated Judge noticed the arguments made on behalf of the parties, the provisions of Section 15 of the Act and observed Section 15 is a new provision.	Facts
Subsection (1) and (2) thereof correspond to Article 155 of the UNCITRAL model Law.	Facts
Subsection (2) of section 15 provides that where the mandate of arbitrator is terminated, a substitute arbitrator shall be appointed according to the rules that were applicable to the appointment of the arbitrator being replaced.	Facts
Thus the Legislature clearly intended that upon termination of the mandate of an arbitrator, a substitute arbitrator shall be appointed in accordance with the same rules as were applicable to the appointment of the original arbitrator.	Facts
Therefore the arbitrator appointed by the other party is not entitled to act as the sole arbitrator in view of this clear language of section 15(2).	Facts
This can be compared to the old provision of section 9 of the 1940 Act providing that unless a different intention is expressed in the agreement the court has power to appoint a new arbitrator.	Facts
The words used in subsection (2) of section 15 do not admit of any such exception.	Facts
The decisions relied upon by Dr. Tulzapurkar have no application to the facts of the present case.	Facts
In Datar Switchgears Ltd. v. Tata Finance Ltd. and Anr.	Facts
while construing section 11(6) of the 1996 Act, the court held that if one party demands the opposite party to appoint an arbitrator and the opposite party does not make an appointment within 30 days of demand being made by the other party, the right to make the appointment does not get automatically forfeited after expiry of 30 days.	Facts
If the opposite party makes an appointment even after 30 days of the demand, but before the first party has moved the court under section 11, that would be sufficient.	Facts
Only then the right of the opposite party ceases.	Facts
It is in this context that the court observed in para 23 that when parties have entered into a contract and settled on a procedure, due importance has to be given to such procedure even though rigor of the doctrine of Freedom of contract has been whittled down by various labour and special welfare legislation, still the court has to respect the terms of the contract entered into by parties and endeavour to give importance and effect to it.	Facts
When the party has not disputed the arbitration clause, normally he is bound by it and obliged to comply with the procedure laid down under the said clause.	Facts
This case has no bearing on the issue involved in the instant case.	Facts
The other case cited by Dr. Tulzapurkar in Open Sea Maritimes Inc. v.	Facts
R. Pyarelal International Pvt. Ltd. is distinguishable on facts.	Facts
In that case respondents had failed to make appointment of an arbitrator even after the notice period.	Facts
The court held that if the party fails to appoint an arbitrator even after the notice then the Arbitrator appointed by the other party can act a sole arbitrator and pass the award.	Facts
The court referred to clause 24 of the agreement between the parties which provide that if the other party fails to appoint an arbitrator in spite of the notice, the arbitrator appointed shall be entitled to act as the sole arbitrator as such procedure was agreed upon between the parties.	Facts
The case before Patankar J. was under Part II of the Act.	Facts
In the instant case, in view of the provisions contained in section 15(2) of the Act, upon withdrawal of the arbitrator Shri Huddar the petitioners had right to appoint a new arbitrator as per the Rules that were applicable to appointment of arbitrator.	Facts
The appellants challenged the orders of the learned designated Judge in two separate writ petitions, but could not persuade the Division Bench of the High Court to entertain their prayer for nullifying the appointment of Shri Justice M.N. Chandurkar as the third arbitrator.	Facts
The Division Bench referred to the judgments of this Court in Konkan Railway Corporation Ltd. and others v. Mehul Construction Company (supra) and Konkan Railway Corporation Ltd. and another v.	Facts
Rani Construction Pvt. Ltd.	Issue
(supra), and held that the writ petitions are not maintainable against the orders passed by the designated Judge, which were administrative in nature.	Facts
However, liberty was given to the appellants to raise the issue relating to appointment of the third arbitrator before the Arbitral Tribunal.	Facts
The Constitution Bench, which heard the special leave petitions filed by the appellants against the orders of the High Court, opined that the judgment rendered by an earlier Constitution Bench in Konkan Railway Corporation Ltd. and another v.	Facts
Rani Construction Pvt. Ltd.	Issue
(supra), may require reconsideration and directed that the matter be placed before a larger Bench.	Facts
Thereafter, the cases were heard by a sevenJudge Bench.	Facts
By majority judgment, the larger Bench overruled the Constitution Bench judgment in Konkan Railway Corporation Ltd. v.	Facts
Rani Construction Pvt. Ltd. (supra), and held that the power exercised by the Chief Justice of the High Court or the Chief Justice of India under Section 11(6) of the Act is a judicial power and not an administrative power and that an order passed by the Chief Justice of the High Court or by the designated Judge of that High Court is appealable under Article 136 of the Constitution.	Facts
The conclusions of the majority are contained in paragraph 47 of the judgment, the relevant portions of which are extracted below We, therefore, sum up our conclusions as follows (i)	Facts
The power exercised by the Chief Justice of the High Court or the Chief Justice of India under Section 11(6) of the Act is not an administrative power.	Facts
It is a judicial power.	None
(ii) The power under Section 11(6) of the Act, in its entirety, could be delegated, by the Chief Justice of the High Court only to another Judge of that Court and by the Chief Justice of India to another Judge of the Supreme Court.	Facts
(iii)	None
In case of designation of a Judge of the High Court or of the Supreme Court, the power that is exercised by the designated Judge would be that of the Chief Justice as conferred by the statute.	Facts
(iv) The Chief Justice or the designated Judge will have the right to decide the preliminary aspects as indicated in the earlier part of this judgment.	None
These will be his own jurisdiction to entertain the request, the existence of a valid arbitration agreement, the existence or otherwise of a live claim, the existence of the condition for the exercise of his power and on the qualifications of the arbitrator or arbitrators.	Facts
The Chief Justice or the designated Judge would be entitled to seek the opinion of an institution in the matter of nominating an arbitrator qualified in terms of Section 11(8) of the Act if the need arises but the order appointing the arbitrator could only be that of the Chief Justice or the designated Judge.	Facts
(v) xxx xxxx xxxx (vi) Once the matter reaches the Arbitral Tribunal or the sole arbitrator, the High Court would not interfere with the orders passed by the arbitrator or the Arbitral Tribunal during the course of the arbitration proceedings and the parties could approach the Court only in terms of Section 37 of the Act or in terms of Section 34 of the Act.	Facts
(vii) Since an order passed by the Chief Justice of the High Court or by the designated Judge of that Court is a judicial order, an appeal will lie against that order only under Article 136 of the Constitution to the Supreme Court.	Facts
(viii)	None
xxxx xxxx xxxx (ix) In a case where an Arbitral Tribunal has been constituted by the parties without having recourse to Section 11(6) of the Act, the Arbitral Tribunal will have the jurisdiction to decide all matters as contemplated by Section 16 of the Act.	Facts
(x ) xxxx	None
xxxx xxxx	Facts
(xi) xxxx	Facts
xxxx xxxx	Facts
(xii)	None
The decision in Konkan Rly.	None
Corpn.	None
Ltd. v. Rani Construction (P) Ltd. is overruled.	None
Arguments Shri K.K. Venugopal, learned senior counsel appearing for the appellants argued that the arbitration clauses contained in the two agreements are binding on the parties and in view of refusal of Shri S.N. Huddar to act as an arbitrator on behalf of respondent No.1, the arbitrator appointed by the appellants i.e., respondent No.2 became the Sole Arbitrator and as such the learned designated Judge did not have the jurisdiction, power or authority to appoint the third arbitrator.	Arguments of Petitioner
Shri Venugopal emphasized that the appointment of Shri S.L. Jain as a substitute arbitrator was legally impermissible because there is no provision in the arbitration clauses for appointment of a substitute arbitrator.	Arguments of Petitioner
Learned senior counsel argued that the provision contained in Section 15(2) of the Act can be invoked for appointment of a substitute arbitrator only if the mandate of an arbitrator gets terminated on account of his withdrawal from office or by or pursuant to an agreement of the parties and not in a case where the arbitrator appointed by either party refuses to act as such and, in any case, the provision contained in that section cannot be invoked for nullifying the agreement between the parties which does not provide for appointment of a substitute arbitrator.	Arguments of Petitioner
In support of his arguments, Shri Venugopal relied upon the judgments in S.B.P. Company v. Patel Engineering Limited and another (supra), ACE Pipeline Contracts (P) Ltd. v. Bharat Petroleum Corpn.	Arguments of Petitioner
Ltd. (2007) 5 SCC 304 , Northern Railway Admn., Ministry of Railway, New Delhi v. Patel Engineering Company Ltd. 2008 (11) SCALE 500 and Union of India v. M s. Singh Builders Syndicate 2009(4)	Arguments of Petitioner
SCALE 491.	Arguments of Petitioner
14.	None
Shri Dushyant Dave, learned senior counsel appearing for respondent No.1, invited our attention to letter dated 1.2.2002 written by Shri S.N. Huddar expressing his inability to act as an arbitrator and argued that his client did not commit any illegality by appointing Shri S.L. Jain as a substitute arbitrator.	Arguments of Respondent
Shri Dave submitted that the appointment of an arbitrator becomes effective only after he consents for the same and if he refuses to accept the appointment, the party appointing such person as an arbitrator has the freedom to appoint another arbitrator, even though there may not be any express provision to that effect in the agreement.	Arguments of Respondent
In support of this argument, Shri Dave relied upon the judgment of this Court in Yashwith Constructions (P) Ltd. v. Simplex Concrete Piles India Ltd. (2006) 6 SCC 204.	Arguments of Respondent
Shri Dave further argued that in view of the plain language of Section 15, respondent No.1 had the right to appoint a substitute arbitrator and respondent No.2 could not act as the Sole Arbitrator merely because Shri S.N. Huddar who was originally appointed as an arbitrator on behalf of respondent No.1 refused to accept the appointment.	Arguments of Respondent
Shri Dave submitted that learned designated Judge of the High Court did not commit any error by appointing the third arbitrator because respondent No.2 did not agree to the suggestion of Shri S.L. Jain to appoint third arbitrator from the panel of three retired Judges of the High Court.	Arguments of Respondent
Relevant provisions of the Act and their analysis Appointment of arbitrators.	None
(1) A person of any nationality may be an arbitrator, unless otherwise agreed by the parties.	None
Subject to subsection (6), the parties are free to agree on a procedure for appointing the arbitrator or arbitrators.	None
Failing any agreement referred to in subsection (2), in an arbitration with three arbitrators, each party shall appoint one arbitrator, and the two appointed arbitrators shall appoint the third arbitrator who shall act as the presiding arbitrator.	None
If the appointment procedure in subsection (3) applies and (a) a party fails to appoint an arbitrator within thirty days from the receipt of a request to do so from the other party or (b) the two appointed arbitrators fail to agree on the third arbitrator within thirty days from the date of their appointment, the appointment shall be made, upon request of a party, by the Chief Justice or any person or institution designated by him.	None
Failing any agreement referred to in subsection (2), in an arbitration with a sole arbitrator, if the parties fail to agree on the arbitrator within thirty days from receipt of a request by one party from the other party to so agree the appointment shall be made, upon request of a party, by the Chief Justice or any person or institution designated by him.	None
Where, under an appointment procedure agreed upon by the parties, (a) a party fails to act as required under that procedure or (b) the parties, or the two appointed arbitrators, fail to reach an agreement expected of them under that procedure or (c) a person, including an institution, fails to perform any function entrusted to him or it under that procedure, a party may request the Chief Justice or any person or institution designated by him to take the necessary measure, unless the agreement on the appointment procedure provides other means for securing the appointment.	None
(7) xxx	None
xxx xxx	Facts
The Chief Justice or the person or institution designated by him, in appointing an arbitrator, shall have due regard to (a) any qualifications required of the arbitrator by the agreement of the parties and (b) other considerations as are likely to secure the appointment of an independent and impartial arbitrator.	None
(9) to (12)	None
xxx	None
xxx xxx Grounds for challenge.	None
(1) and (2) xxx	None
xxx	None
xxx	None
An arbitrator may be challenged only if (a) circumstances exist that give rise to justifiable doubts as to his independence or impartiality, or (b) he does not possess the qualifications agreed to by the parties.	None
(4) xxx	None
xxx	None
xxx Challenge procedure.	None
(1) and (2) xxx	None
xxx xxx	Facts
Unless the arbitrator challenged under subsection (2) withdraws from his office or the other party agrees to the challenge, the arbitral tribunal shall decide on the challenge.	None
(4) to (6)	None
xxx	None
xxx	None
xxx Failure or impossibility to act.	None
(1) The mandate of an arbitrator shall terminate if (a) he becomes de jure or de facto unable to perform his functions or for other reasons fails to act without undue delay and (b) he withdraws from his office or the parties agree to the termination of his mandate.	None
If a controversy remain concerning any of the grounds referred to in clause (a) of subsection (1), a party may, unless otherwise agreed by the parties, apply to the Court to decide on the termination of the mandate.	None
If, under this section or subsection (3) of section 13, an arbitrator withdraws from his office or a party agrees to the termination of the mandate of an arbitrator, it shall not imply acceptance of the validity of any ground referred to in this section or subsection (3) of section 12.	None
Termination of mandate and substitution of arbitrator.  	None
(1) In addition to the circumstances referred to in section 13 or section 14, the mandate of an arbitrator shall terminate (a) where he withdraws from office for any reason or (b) by or pursuant to agreement of the parties.	None
Where the mandate of an arbitrator terminates, a substitute arbitrator shall be appointed according to the rules that were applicable to the appointment of the arbitrator being replaced.	Facts
Unless otherwise agreed by the parties, where an arbitrator is replaced under subsection (2), any hearings previously held may be repeated at the discretion of the arbitral tribunal.	None
Unless otherwise agreed by the parties, an order or ruling of the arbitral tribunal made prior to the replacement of an arbitrator under this section shall not be invalid solely because there has been a change in the composition of the arbitral tribunal.	None
An analysis of the scheme of Section 11 which relates to appointment of arbitrators shows that in terms of subsection (1) thereof, a person of any nationality can be appointed as an arbitrator unless there is a contra agreement between the parties.	None
Subsection (2) lays down that the parties are free to agree on a procedure for appointing the arbitrator or arbitrators.	None
This is subject to the provision contained in subsection (6).	None
Subsection (3) lays down that if there is no agreement between the parties in an arbitration with three arbitrators, each party shall appoint one arbitrator, and the two arbitrators appointed by the parties shall appoint the third arbitrator who shall act as the Presiding Arbitrator.	None
Subsection (4) lays down that if a party fails to appoint an arbitrator within 30 days from the date of receipt of request to do so from the other party or the two arbitrators fail to agree on the third arbitrator within 30 days from the date of their appointment, then the Chief Justice or any person or institution designated by him can be approached for appointing an arbitrator or the third arbitrator, as the case may be.	None
The procedure prescribed in subsection (4) also applies to a case involving appointment of a sole arbitrator.	None
Subsection (6) enumerates the contingencies in which a party may request the Chief Justice or any person or institution designated by him to take necessary measure unless the agreement on the appointment procedure provides other means for securing the appointment.	None
The contingencies contemplated in subsection (6) are (i) if a party fails to act as required under the agreed procedure or, (ii) the parties or the two appointed arbitrators fail to reach an agreement expected of them under such procedure, or (iii) a person including an institution fails to perform any function entrusted to him or it under the procedure.	None
Subsection (8) requires that in appointing an arbitrator, the Chief Justice or any person or institution designated by him shall have due regard to any qualification required of the arbitrator by the agreement of the parties and other considerations as are likely to secure the appointment of an independent and impartial arbitrator.	None
Sections 14 and 15 enumerate the circumstances in which the mandate of an arbitrator shall terminate.	None
Subsection (1) of Section 14 lays down that the mandate of an arbitrator shall terminate if he becomes de jure or de facto unable to perform his functions or for other reasons fails to act without undue delay and he withdraws from his office or the parties agree to terminate his mandate.	None
Subsection (2) lays down that if there is any controversy between the parties in relation to any of the grounds referred to in Clause (a) of subsection (1) and there is no other provision in the agreement between the parties, either party can apply to the Court for termination of the mandate of an arbitrator unless the parties agree otherwise.	None
By subsection (3) of Section 14 it has been clarified that if an arbitrator withdraws from his office under subsection (1) of Section 14 or sub section (3) of Section 13 or a party agrees to the termination of the mandate of an arbitrator, same shall not be construed as an acceptance of the validity of any of the grounds referred to in Section 14 or subsection (3) of Section 12 which speaks of the grounds of challenge to the appointment of an arbitrator.	None
Section 15 specifies additional circumstances in which the mandate of an arbitrator shall terminate and also provides for substitution of an arbitrator.	Facts
Subsection (1) of this section lays down that in addition to the circumstances referred to in Sections 13 and 14, the mandate of an arbitrator shall terminate where he withdraws from office for any reason or pursuant to agreement of the parties.	None
Subsection (2) of Section 15 postulates appointment of a substitute arbitrator in accordance with the rules that were applicable to the appointment of the original arbitrator.	Facts
What is significant to be noticed in the aforementioned provisions is that the legislature has repeatedly laid emphasis on the necessity of adherence to the terms of agreement between the parties in the matter of appointment of arbitrators and procedure to be followed for such appointment.	None
Even Section 15(2), which regulates appointment of a substitute arbitrator, requires that such an appointment shall be made according to the rules which were applicable to the appointment of an original arbitrator.	Facts
The term rules used in this subsection is not confined to statutory rules or the rules framed by the competent authority in exercise of the power of delegated legislation but also includes the terms of agreement entered into between the parties.	None
In Yashwith Constructions (P) Ltd. v. Simplex Concrete Piles India Ltd. (supra), this Court was called upon to examine the scope of Section 15 of the Act in the backdrop of the fact that after resignation of the arbitrator appointed by the Managing Director of the respondentCompany, another arbitrator was appointed by him in accordance with the arbitration agreement.	None
At that stage, the petitioner filed an application under Section 11(5) read with Section 15(2) of the Act and prayed that the Chief Justice of the High Court may appoint a substitute arbitrator to resolve the disputes between the parties.	None
The learned Chief Justice dismissed the application and held that Section 15(2) refers not only to statutory rules framed for regulating appointment of arbitrators but also to contractual provisions for such appointment.	None
The Division Bench of the High Court which heard the writ petition filed by the petitioners noted that in view of the judgment of the larger Bench in S.B.P. Company v. Patel Engineering Ltd. and another (supra), a writ petition would not lie against an order made by the Chief Justice under Section 11 of the Act and an appeal could be filed only under Article 136 of the Constitution but proceeded to consider the issue raised by the writ petitioners on merits on the premise that appointments made on or before the judgment of the larger Bench had been saved.	None
The Division Bench then observed that in terms of Section 15(2) of the Act, the Managing Director could, by relying upon the arbitration agreement, appoint another arbitrator because the original arbitrator had resigned.	None
The Division Bench held that Section 15(2) of the Act is applicable not only to the cases of appointments under the statutory rules or rules framed under the Act but also the agreement between the parties for appointment of an arbitrator.	None
While approving the decision of the High Court, this Court held The term rules in Section 15(2) obviously referred to the provision for appointment contained in the arbitration agreement or any rules of any institution under which the disputes were referred to arbitration.	None
There was no failure on the part of the party concerned as per the arbitration agreement, to fulfil his obligation in terms of Section 11 of the Act so as to attract the jurisdiction of the Chief Justice under Section 11(6) of the Act for appointing a substitute arbitrator.	None
Obviously, Section 11(6) of the Act has application only when a party or the person concerned had failed to act in terms of the arbitration agreement.	None
When Section 15(2) says that a substitute arbitrator can be appointed according to the rules that were applicable for the appointment of the arbitrator originally, it is not confined to an appointment under any statutory rule or rule framed under the Act or under the scheme.	Facts
It only means that the appointment of the substitute arbitrator must be done according to the original agreement or provision applicable to the appointment of the arbitrator at the initial stage.	None
We are not in a position to agree with the contrary view taken by some of the High Courts.	None
Since here, the power of the Managing Director of the respondent is saved by Section 15(2) of the Act and he has exercised that power on the terms of the arbitration agreement, we see no infirmity either in the decision of the learned Chief Justice or in that of the Division Bench The need for adherence to the terms of agreement which provide for resolution of differences or disputes by arbitration was highlighted in Datar Switchgears Ltd. v. Tata Finance Ltd. and another (2000) 8 SCC 151.	None
In that case the appellant had filed an application under Section 11 of the Act for appointment of an arbitrator by contending that despite clear 30 days notice, the first respondent failed to appoint an arbitrator in accordance with the terms of lease agreement.	None
The Chief Justice of the High Court rejected the appellants prayer by observing that respondent No.1 had appointed an arbitrator before filing of the application.	None
In the appeal, it was argued that in view of the respondents failure to appoint an arbitrator within 30 days, the Chief Justice of the High Court was bound to exercise power under Section 11(6) of the Act and appoint an arbitrator.	None
This Court referred to the arbitration clause contained in the agreement entered into between the parties, some of the judicial precedents on the subject and held that failure of respondent No.1 to appoint an arbitrator within 30 days of the receipt of the notice did not have the effect of forfeiting his right to do so and that the said right could be exercised till the filing of an application under Section 11 by the other side.	None
The Court then proceeded to observe When parties have entered into a contract and settled on a procedure, due importance has to be given to such procedure.	None
Even though rigor of the doctrine of freedom of contract has been whittled down by various labour and social welfare legislation, still the court has to respect the terms of the contract entered into by parties and endeavour to give importance and effect to it.	None
When the party has not disputed the arbitration clause, normally he is bound by it and obliged to comply with the procedure laid down under the said clause.	Facts
(emphasis supplied)	None
In Northern Railway Administration, Ministry of Railway, New Delhi v. Patel Engineering Company Ltd. (supra), a threeJudge Bench considered apparently divergent opinions expressed in Ace Pipeline Contracts (P) Ltd. v. Bharat Petroleum Corpn.	None
Ltd. (supra) and Union of India v.	None
Bharat Battery Mfg. Co.	None
(P) Ltd. (2007) 7 SCC 684 , referred to Section 11 of the Act and observed Subsections (3) to (5) refer to cases where there is no agreed procedure.	None
Subsection (2) provides that subject to subsection (6) the parties are free to agree on a procedure for appointing the arbitrator or arbitrators.	None
Subsection (6) sets out the contingencies when party may request the Chief Justice or any person or institution designated by him to take necessary measures unless the agreement on the appointment procedure provides other means for securing the appointment.	None
The contingencies contemplated in subsection (6) statutorily are (i) a party fails to act as required under agreed procedure or (ii) the parties or the two appointed arbitrators fail to reach an agreement expected of them under that procedure or (iii) a person including an institution fails to perform any function entrusted to him or it under the procedure.	None
In other words, the third contingency does not relate to the parties to the agreement or the appointed arbitrators.	None
The crucial expression in subsection (6) is a party may request the Chief Justice or any person or institution designated by him to take the necessary measures (underlined for emphasis).	None
This expression has to read alongwith requirement in subsection (8) that the Chief Justice or the person or an institution designated by him in appointing an arbitrator shall have due regard to the two cumulative conditions relating to qualifications and other considerations as are likely to secure the appointment of an independent and impartial arbitrator.	None
A bare reading of the scheme of Section 11 shows that the emphasis is on the terms of the agreement being adhered to and or given effect as closely as possible.	None
In other words, the Court may ask to do what has not been done.	None
The court must first ensure that the remedies provided for are exhausted.	None
It is true as contended by Mr. Desai, that it is not mandatory for the Chief Justice or any person or institution designated by him to appoint the named arbitrator or arbitrators.	None
But at the same time, due regard has to be given to the qualifications required by the agreement and other considerations.	None
(emphasis supplied)	None
The aforementioned judgment was followed in Union of India v. M s. Singh Builders Syndicate (supra).	None
In that case it was found that the Arbitral Tribunal constituted in accordance with Clause 64 of the agreement, could not function due to frequent transfer of the incumbent of the post of General Manager who was appointed as one of the members of the Tribunal and, therefore, on a petition filed by the respondent, the High Court appointed a retired Judge as an arbitrator.	None
This Court noted that the dispute was pending for nearly 10 years from the date when the demand for arbitration was first made and declined to interfere with the order of the High Court.	None
Paragraphs 14 and 15 of the judgment which have bearing on this case are extracted below It was further held in Northern Railway Administration, Ministry of Railway, New Delhi v. Patel Engineering Company Ltd. that the Chief Justice or his designate should first ensure that the remedies provided under the arbitration agreement are exhausted, but at the same time also ensure that the twin requirements of subsection (8) of Section 11 of the Act are kept in view.	None
This would mean that invariably the court should first appoint the arbitrators in the manner provided for in the arbitration agreement.	None
But where the independence and impartiality of the arbitrator(s) appointed nominated in terms of the arbitration agreement is in doubt, or where the Arbitral Tribunal appointed in the manner provided in the arbitration agreement has not functioned and it becomes necessary to make fresh appointment, the Chief Justice or his designate is not powerless to make appropriate alternative arrangements to give effect to the provision for arbitration.	None
The object of the alternative dispute resolution process of arbitration is to have expeditious and effective disposal of the disputes through a private forum of the parties choice.	None
If the Arbitral Tribunal consists of serving officers of one of the parties to the dispute, as members in terms of the arbitration agreement, and such tribunal is made nonfunctional on account of the action or inaction or delay of such party, either by frequent transfers of such members of the Arbitral Tribunal or by failing to take steps expeditiously to replace the arbitrators in terms of the arbitration agreement, the Chief Justice or his designate, required to exercise power under Section 11 of the Act, can step in and pass appropriate orders.	Facts
We may now advert to the scope of Clause 19 of piece work agreement, which provides for appointment of two arbitrators, one by each party, with liberty to the arbitrators to appoint an Umpire, in case of difference or their failure to reach an agreement within one month of their appointment.	Reasoning
The award made by two arbitrators or Umpire, as the case may be, is treated as final, conclusive and binding on the parties.	Reasoning
This clause also specifies the consequence of failure of either party to the difference or dispute to appoint an arbitrator within 30 calendar days counted from the date of notice in writing given by the other side or refusal of the arbitrator appointed by either party to accept such appointment or act upon the same.	Reasoning
In that event, the arbitrator appointed by the other party becomes entitled to proceed with the reference as the Sole Arbitrator and make an award.	Reasoning
