 	Arguments of Petitioner
It was held by this Court that even if the averments in the writ petition are taken as true, it cannot be said that a part of the cause of action had arisen within the jurisdiction of the Calcutta High Court.	None
This Court pointed out that the advertisement itself mentioned that the tenders should be submitted to E.I.L., at New Delhi, that they would be scrutinised at New Delhi and that the decision to accept or reject would also be taken at New Delhi.	None
(The work was, of course, to be carried out in Gujarat.)	None
It was further held that merely because NICCO read the advertisement at Calcutta or that it submitted its tender from Calcutta or that it made representations or that a fax message was sent to it on its Calcutta address did not constitute facts forming integral part of the cause of action.	None
It was held that NICCO did not act bona fide in invoking the jurisdiction of the Calcutta High Court and that the filing of the writ petition was an abuse of the process of Court.	None
Accordingly, the appeal was allowed, the orders of the Calcutta High Court were set aside and exemplary costs in a sum of Rs. 50,000/ were imposed upon NICCO.	None
In our opinion, the principle of the said decision clearly applies here.	None
Indeed, the present case is a more gross one.	Reasoning
In this case, there is no mention that any demand notice or bill was sent to Kamla Devi at Ghaziabad address.	Reasoning
We have already held that the averment in Para 2 of the plaint was a mere pretence and a total fabrication.	Reasoning
Accordingly, this appeal is allowed, the judgment and decree of the learned Civil Judge, Ghaziabad, Uttar Pradesh dated September 11, 1991, in Suit No. 451 of 1990, is set aside.	Decision
In view of their reprehensible conduct the respondents (legal representatives of Kamla Devi, who appeared in this Court as representing her estate) are directed to pay exemplary costs in a sum of rupees fifty thousand.	Decision
Such practices ought to be put down with a stern hand so that others similarly minded may desist from indulging in similar acts.10.	Decision
Application for bringing legal representatives of Kamla Devi on record is ordered.	Decision
