 	Arguments of Respondent
The learned counsel has also brought to our notice the clear distinction between the Notification No.2/95CE and the Notification No.8/97CE.	Arguments of Respondent
He has also endeavoured to take us through the relevant clauses in the EXIM Policy 19972002.	Arguments of Respondent
Before we deal with the contentions canvassed by the learned counsel for the parties to the lis, we deem it appropriate to notice the observations made by the Constitution Bench of this Court in the case of Commissioner of Central Excise, New Delhi v.	None
Hari Chand	None
Shri Gopal Ors., (2011) 1 SCC 236 , insofar as the mechanism and interpretation of an exemption notification issued under a fiscal enactment.	None
This Court has observed in the said decision A provision especially a fiscal statute providing for an exemption, concession or exception has to be construed strictly.	None
An exemption notification has to be interpreted in the light of the words employed by it and not on any other basis.	None
A person who claims exemption or concession must establish clearly that he is covered by the provision(s) concerned and, in case of doubt or ambiguity, the benefit of it must go to the State.	None
The observations made by the Constitution Bench of this Court are binding on us.	None
Furthermore, this Court in Associated Cement Companies Ltd. v. State of Bihar Ors., (2004) 7 SCC 642 , while explaining the nature of the exemption notification and also the manner in which it should be interpreted has held Literally exemption is freedom from liability, tax or duty.	None
Fiscally it may assume varying shapes, specially, in a growing economy.	None
In fact, an exemption provision is like an exception and on normal principle of construction or interpretation of statutes it is construed strictly either because of legislative intention or on economic justification of inequitable burden of progressive approach of fiscal provisions intended to augment State revenue.	None
But once exception or exemption becomes applicable no rule or principle requires it to be construed strictly.	None
Truly speaking, liberal and strict construction of an exemption provision is to be invoked at different stages of interpreting it.	None
When the question is whether a subject falls in the notification or in the exemption clause then it being in the nature of exception is to be construed strictly and against the subject but once ambiguity or doubt about applicability is lifted and the subject falls in the notification then full play should be given to it and it calls for a wider and liberal construction.	None
(See Union of India v. Wood Papers Ltd. and Mangalore Chemicals and Fertilisers Ltd. v. Dy. Commr. of Commercial Taxes to which reference has been made earlier.)	None
In G.P. Ceramics Private Limited v. Commissioner, Trade Tax, Uttar Pradesh, (2009) 2 SCC 90 , this Court has held It is now a wellestablished principle of law that whereas eligibility criteria laid down in an exemption notification are required to be construed strictly, once it is found that the applicant satisfies the same, the exemption notification should be construed liberally.	None
See CTT v. DSM Group of Industries (SCC para 26) TISCO v. State of Jharkhand (SCC paras 42 to 45) State Level Committee v.	None
Morgardshammar India Ltd.	None
Novopan India Ltd. v. CCE Customs A.P. Steel ReRolling Mill Ltd. v. State of Kerala and Reiz Electrocontrols (P) Ltd. v. CCE.	None
In order to resolve the controversy posed in this appeal, we have to notice the two Notifications, namely, Notification No.2/95 CE, dated 4.1.1995 and Notification No.8/97 CE, dated 1.3.1997 and also the EXIM Policy 19972002.	None
The Notification in juxtaposition reads as under Notification No. 2/95CE,Notification dated 4.1.1995No.	None
8/97CE, dated 1.3.1997 Exemption to allExemption to finished excisable goods producedproducts, rejects and in 100 EOU, FTZ, EHTP orwaste or scrap produced STP Units when sold inin a 100 EOU or FTZ India In exercise of the powersIn exercise of the conferred by Subsectionpowers conferred by (1) of Section 5A of theSubsection (1) of Central Excises and SaltSection 5A of the Act, 1944 (1 of 1944),Central Excise Act, the Central Government,1944 (1 of 1944), the being satisfied that itCentral Government, is necessary in thebeing satisfied that it public interest so to do,is necessary in the hereby exempts allpublic interest so to excisable goodsdo, hereby exempts the (hereinafter referred tofinished products, as the said goods)rejects and waste or specified in the Schedulescrap specified in the to the Central ExciseSchedule to the Central Tariff Act, 1985 (5 ofExcise Tariff Act, 1985 1986) and produced or(5 of 1986) and manufactured in a hundredproduced or per cent export orientedmanufactured, in a undertaking or a freehundred per cent trade zone or anexportoriented Electronic Hardwareundertaking or a free Technology Park (EHTP)trade zone wholly from unit or a Softwarethe raw materials Technology Parks (STP)produced or unit and allowed to bemanufactured in India, sold in India under andand allowed to be sold in accordance with thein India under and in provisions of,accordance with the provisions of Subparagraphs (a), (b), paragraphs 102 and 114 of the Export(d) and (h) of paragraph 6.8 or of and Import Policy, 1 April, 1992 31 Marchparagraph 6.20 of the 1997, in the case of hundred percentExport and Import export oriented undertaking or a freePolicy, 1st April, 2002 trade zone or31st	None
March, 2007, from so much of the notification of the Government ofduty of excise leviable thereon under India in the Ministry of CommerceSection 3 of the Central Excise No. 42(N8)/9297, dated the 14thAct, 1944 (1 of 1944), as is in excess September, 1992 upto a value notof an amount equal to the aggregate of exceeding forty percent of the value ofthe duties of excise leviable production of components and finishedunder the said Section 3 of the Central goods manufactured, in the caseExcise Act or under any other of a Electronic Hardwarelaw for the time being Technology Park (EHTP) unitin force on like goods, produced or manufactured in India notification of the Governmentother than in a hundred per cent of India in the Ministry of Commerceexportoriented undertaking or No. 33/(RE)9297, dated the 22nd March,a free trade zone, if sold in India. 1994, upto a value of production of software manufactured inProvided that nothing the case of a Softwarecontained in this notification shall Technology Parks (STP) unit,apply where such finished products, from so much of the duty of exciseif manufactured and cleared by a unit leviable thereon under Section 3other than a hundred per cent export of said Central Excise and Salt Act as inoriented undertaking or a unit excess of the amount calculatedin a free trade zone, are wholly at the rate of fifty percent of each of theexempt from the duties of excise or duties of customs, whichare chargeable to Nil would be leviable underrate of duty.	None
Section 12 of the Customs Act, 1962 (52 of 1962)Notification No. 8/97 read with any otherCE, dated 1.3.1997 as notification for the time being inamended by Notification force issued under Subsection (1)No. 21/97CE, dated of Section 25 of the said11.4.1997 No. 7/98CE, Customs Act on the like goodsdated 2.6.1998 and produced or manufactured outsideNo.	None
11/2000CE, dated India if imported into India1.3.2000) Provided that the amount of duty payable in accordance with this notification in respect of the said goods shall not be less than the duty of excise leviable on the like goods produced or manufactured outside the hundred per cent export oriented undertaking or free trade zone or Electronic Hardware Technology Park (EHTP) unit or Software Technology Parks (STP) unit which is specified in the said Schedule, read with any other relevant notification issued under Subrule (1) of rule 8 of the Central Excise Rules, 1944, or Subsection (1) of Section 5A of the said Central Excise Act Provided further that nothing contained in the above proviso shall apply to the goods which are chargeable to nil rate of duty leviable under Section 12 of the Customs Act read with any other notification for the time being in force issued under Subsection (1) of Section 25 of the said Customs Act ExplanationFor the purpose of this notification, the expression, Export and Import Policy means the Export and Import Policy, 1st April, 1992  31st	None
March, 1997 means the Export and Import Policy, 1, April, 199231 March, 1997 publishedvide Public Notice of the Government of India in the Ministry of Commerce No. 1 published by the Government of India in the Ministry of Commerce No. 1ITC (PN)/9297, dated the 31st March, 1992 as amended from timetotime.	None
Electronic Hardware Technology Park (EHTP) unit means a unit established under and in accordance with Electronic Hardware Technology Park (EHTP) Scheme notified by the notification of the Government of India in the Ministry of Commerce No. 5 (RE95) 9297, dated 30th April, 1995 and approved by an interMinisterial Standing Committee appointed by the notification of the Government of India in the Ministry of Industry Department of Industrial Development)	None
No. S.O. 117(E), dated the 22nd February, 1993 Software Technology Parks (STP) unit means a unit established under and in accordance with Software Technology Parks (STP) Scheme notified by the notification of the Government of India in the Ministry of Commerce No. 4/ (RE95)/9295, dated 30th April, 1995 and approved by an inter Ministerial Standing Committee appointed by the notification of the Government of India in the Ministry of Industry (Department of Industrial Development)	None
No. S.O. 117(E), dated the 22nd February, 1993.	None
Notification No. 2/95CE, dated 4.1.1995 The relevant clauses for our purpose in the EXIM Policy 19972002 are 9.9, 9.10, 9.13(a), 9.16 (c) and 9.20.	None
They read as under DTA Sales9.9	None
The entire production of EOU EPZ EHTP STP units shall be exported subject to the followinga.	None
Unless specifically prohibited in the LOP LOI, rejects may be sold in the domestic tariff area (DTA), on prior intimation to the customs authority.	None
Such sales shall be counted against DTA sale entitlement under para 9.9(b) of the Policy.	None
Sale of rejects shall be subject to payment of duties as applicable to sale under para 9.9.b.	None
DTA sale up to 50 of the FOB value of exports may be made subject to payment of applicable duties and fulfillment of minimum NFEP prescribed in Appendix 1 of the Policy.	None
No DTA sale shall be permissible in respect of motor cars, alcoholic liquors and such other items as may be stipulated by Director General of Foreign Trade by a Public Notice issued in this behalf.e.	None
EOU EPZ EHTP STP units may be permitted to sell finished products which are either freely importable under the Policy, or against other import licenses, in the DTA, over and above the levels permissible under sub paragraph (b) above, against payment of full duties, on annual basis, provided they have achieved the stipula ted NFEP and export performance.g.	None
For services, including software units, sale in the DTA in any mode, including online data communication, shall be permissible up to 50 of FOB value of exports and or 50 of foreign exchange earned, where payment for such services is received in free foreign exchange.h.	None
Items included as byproducts in the LOP LOI may be sold in the DTA on payment of applicable duty.	None
NoteIn	None
the case of units manufacturing electronics hardware and software, the NFEP and DTA sale entitlement shall be reckoned separately for hardware and software.	None
Other Supplies In DTA 9.10The following supplies in DTA shall be counted towards fulfillment of export performance and NFEPa.	None
Supplies effected in DTA in terms of paragraph 10.2 of the Policy.b.	None
Supplies effected in DTA against payment in foreign exchange.c.	None
Supplies to other EOU EPZ SEZ EHTP STP units provided that such goods are permissible for procurement in terms of paragraph 9.2 of the Policy.d.	None
Supplies made to bonded warehouses set up under paragraph 11.14 of the Policy and or under section 65 of the Customs Act.e.	None
Supply of goods against special entitlement of duty free import of goods.f.	None
Supply of goods to defence and internal security forces, foreign missions diplomats provided they are entitled for duty free imports of such items in terms of general exemption notification issued by Ministry of Finance.	None
Entitlement For Supplies From The DTA 9.13a.	None
Supplies from the DTA to EOU EPZ EHTP STP units will be regarded as deemed exports and, besides being eligible for the relevant entitlements under paragraph 10.3 of this Policy, will be eligible for the followingi.	None
Reimbursement of Central Sales Taxii.	None
Exemption from payment of Central Excise Duty on capital goods, components and raw materials andiii.	None
Discharge of EP, if any, on the supplier.	None
Inter Unit Transfer 9.16a) Transfer of manufactured goods from one EOU EPZ EHTP STP unit to another EOU EPZ EHTP STP unit will be allowed.b)	None
Goods imported procured by an EOU EPZ EHTP STP unit may be transferred or given on loan to another EOU EPZ EHTP STP unit which shall be duly accounted for, but not counted towards discharge of export performance.	None
Disposal Of Scrap Waste Remnants 9.20 Scrap waste remnants arising out of production process or in connection therewith may be sold or disposed of in the DTA on payment of applicable duties or exported.	None
However, there shall be no duties taxes on such scrap waste remnants in case the same are destroyed with the permission of Customs authority.	None
Having noticed two Notifications and the policy, let us analyze first, the Notification No.2/95CE.	None
The Central Government, in exercise of its powers under Section 5A(1) of the Act, has issued the Notification in public interest.	None
The Notification exempts all excisable goods mentioned in the Schedule to the Tariff Act, from payment of duty leviable under Section 3 of the Act.	None
The Notification provides the measure cap of exemption from payment of excise duty by an assessee industrial unit.	None
It says the exemption is from the excise duty which is in excess of the amount calculated at 50 of each of the duties of customs leviable under Section 12 of the Customs Act, 1962 read with any Notification issued under Section 25 of the Customs Act.	None
The Notification also makes it clear with regard to the nature or type of goods that the 100 EOU should be manufacturing in its industrial unit.	Reasoning
It says that the exempted goods should be in a nature or type of goods which are, normally, produced manufactured outside India and, but for any reason, they are imported to India.	Reasoning
That only means, there must be a similarity between the goods manufactured by a 100 EOU with that of the goods produced or manufactured outside the country but if it is imported into this country.	Reasoning
The Notification provides two conditions in order to avail the benefit provided under the Notification.	Reasoning
They are conjoint and not disjoint.	Reasoning
Firstly, the exemption is available only, if the goods are produced or manufactured in a 100 EOU or FTA or EHTP unit or STP unit and, secondly, they must be allowed to be sold as per EXIM Policy 19972002.	Reasoning
Proviso is appended to the Notification.	None
A reference to the same may not be necessary for the purpose of the disposal of this appeal.	None
Then we come to the Notification No.8/97CE.	None
The said Notification is again issued by the Central Government in public interest in exercise of its powers under Section 5A(1) of the Act.	None
It exempts finished goods, rejects and waste or scrap enumerated in the Schedule to the Tariff Act, from payment of excise duty under Section 3 of the Act.	None
Yet again, the Notification provides the entitlement or cap up to which the assessee can avail benefit under the Notification insofar as the payment of excise duty.	None
The Notification also speaks of compliance of two conditions by an industrial unit for taking benefits advantage of the Notification.	None
Firstly, the finished goods must be produced or manufactured in a 100 EOU or FTA from the raw material produced or manufactured in India (emphasis supplied).	None
The second condition is that the goods must have been allowed to be sold in India as per sub paras (a), (b), (c ), (d) and (f) of para 9.9 or para 9.20 of the EXIM Policy 19972002.	None
Clause 9 of the EXIM Policy 19972002 speaks of DTA sales.	None
Clauses (a), (b), (c), (d) and (f) put certain conditions to be complied with by a 100 EOU FTA etc. for effecting its sales in DTA area.	None
Clause 9.3 provides for benefits for supplies made from the DTA Area.	None
Clause 9.16(c) in particular provides for inter unit transfers.	None
Clause 9.20 provides for disposal of the scrap in the DTA area by a 100 EOU.	None
After having the birds eye view of the two Notifications, namely, Notification No.2/95 CE, dated 4.1.1995 and Notification No.8/97 CE, dated 1.3.1997 and the EXIM Policy 1997 2002, let us consider the issues canvassed by the learned counsel appearing for the parties.	None
Shri.	Arguments of Petitioner
K. Swami, learned counsel for the revenue strenuously contends that the assessee has purchased raw material finished goods, for its manufacturing activity to produce or manufacture the finished products, from a 100 EOU which had imported the raw material which are exempted from the payment of duty and when it affects the sale of such raw material finished goods manufactured in its industry to another 100 EOU, then, in the hands of the said EOU, it becomes an imported raw material finished goods.	Reasoning
In this regard, he submits that since the language employed in the Notification no.8/97CE, dated 1.3.1997 is raw material produced or manufactured in India, only such raw material, when used for the production or manufacturing of the finished goods which are, ultimately, sold in the DTA, are eligible for exemption and, therefore, the assessee cannot take the benefit of the Notification no.8/97CE.	Reasoning
We are afraid that we can accept the argument canvassed by Shri.	Reasoning
Swami, in the light of the unambiguous language employed in the Notification no.8/97CE.	Reasoning
There is no ambiguity, whatsoever, in the Notification issued by the Central Government.	Reasoning
The Notification speaks of finished goods produced or manufactured by a 100 EOU and if it is sold in a DTA, the said EOU can take the benefit of the Notification no.8/97CE.	Reasoning
If for any reason, we accept the submission of Shri K.Swami, learned counsel for the Revenue, then we will be adding something into the notification and, in our opinion, the same is impermissible.25.	Reasoning
The notification requires to be interpreted in the light of the words employed by it and not on any other basis.	Reasoning
There cannot be any addition or subtraction from the notification for the reason the exemption notification requires to be strictly construed by the Courts.	Reasoning
The wordings of the exemption notification have to be given its natural meaning, when the wordings are simple, clear and unambiguous.	Reasoning
In Commissioner of Customs, Kolkata v. Rupa Co. Ltd., (2004) 6 SCC 408 , this Court has observed that the exemption notification has to be given strict interpretation by giving effect to the clear and unambiguous wordings used in the notification.	None
This Court has held thus However, if the interpretation given by the Board and the Ministry is clearly erroneous then this Court cannot endorse that view.	None
An exemption notification has to be construed strictly but that does not mean that the object and purpose of the notification is to be lost sight of and the wording used therein ignored.	None
Where the wording of the notification is clear and unambiguous, it has to be given effect to.	None
Exemption cannot be denied by giving a construction not justified by the wording of the notification.	None
In Commissioner of Central Excise, Trichy v. Rukmani Pakkwell Traders, (2004) 11 SCC 801 , this Court has also held 5.	None
It is settled law that exemption notifications have to be strictly construed.	None
They must be interpreted on their own wording.	None
Wordings of some other notification are of no benefit in construing a particular notification.	None
In Kohinoor Elastics (P) Ltd. v. Commissioner of Central Excise, Indore, (2005) 7 SCC 528 , this Court has held When the wordings of the notifications are clear and unambiguous they must be given effect to.	None
By a strained reasoning benefit cannot be given when it is clearly not available.	None
In Compack (P) Ltd. v. Commissioner of Central Excise, Vadodara, (2005) 8 SCC 300 , this Court has observed thus Bhalla Enterprises laid down a proposition that notification has to be construed on the basis of the language used.	None
Rukmani Pakkwell Traders is an authority for the same proposition as also that the wordings of some other notification are of no benefit in construing a particular notification.	None
The notification does not state that exemption cannot be granted in a case where all the inputs for manufacture of containers would be base paper or paperboard.	None
In manufacture of the containers some other inputs are likely to be used for which MODVAT credit facility has been availed of.	None
Such a construction, as has been suggested by the learned counsel for the respondents, would amount to addition of the words only out of or purely out of the base paper and cannot be countenanced.	None
The notification has to be construed in terms of the language used therein.	Reasoning
It is well settled that unless literal meaning given to a document leads to anomaly or absurdity, the golden rule of literal interpretation shall be adhered to.	None
In Commissioner of Central Excise, ChandigarhI v. Mahaan Dairies, (2004) 11 SCC 798 , this Court has held It is settled law that in order to claim benefit of a notification, a party must strictly comply with the terms of the notification.	None
If on wording of the notification the benefit is not available then by stretching the words of the notification or by adding words to the notification benefit cannot be conferred.	None
The Tribunal has based its decision on a decision delivered by it in Rukmani Pakkwell Traders v. CCE.	None
We have already overruled the decision in that case.	None
In this case also we hold that the decision of the Tribunal is unsustainable.	None
It is accordingly set aside.	None
In Commissioner of Customs (Preventive), Gujarat v. Reliance Petroleum Limited, (2008) 7 SCC 220 , this Court has held We are not oblivious of the proposition of law that an exemption notification should be construed directly but it is also well settled that interpretation of an exemption notification would depend upon the nature and extent thereof.	None
The terminologies used in the notification would have an important role to play.	None
Where the exemption notification ex facie applies, there is no reason as to why the purport thereof would be limited by giving a strict construction thereto.31.	None
The comparison made by the learned Solicitor General that mobility of a person would depend upon his personal fitness and not when he is placed on a wheelchair, in our opinion, is not apposite.	None
The purpose of grant of exemption is different.	None
The object for grant of notification shall be considered in a broad based manner.	None
The wordings used therein have to be given their natural meaning.	None
The purpose must be allowed to be achieved.	None
The words all types of materials should be construed widely.	None
Moreover, a liberal construction requires to be given to a beneficial notification.	None
This Court in Commissioner of Customs (Preventive), Mumbai v. M. Ambalal and Company, (2011) 2 SCC 74 , (in which one of us was the party) has observed that the beneficial notification providing the levy of duty at a concessional rate should be given a liberal interpretation It is settled law that the notification has to be read as a whole.	None
If any of the conditions laid down in the notification is not fulfilled, the party is not entitled to the benefit of that notification.	None
The rule regarding exemptions is that exemptions should generally be strictly interpreted but beneficial exemptions having their purpose as encouragement or promotion of certain activities should be liberally interpreted.	None
This composite rule is not stated in any particular judgment in so many words.	None
In fact, majority of judgments emphasise that exemptions are to be strictly interpreted while some of them insist that exemptions in fiscal statutes are to be liberally interpreted giving an apparent impression that they are contradictory to each other.	None
But this is only apparent.	None
A close scrutiny will reveal that there is no real contradiction amongst the judgments at all.	None
The synthesis of the views is quite clearly that the general rule is strict interpretation while special rule in the case of beneficial and promotional exemption is liberal interpretation.	None
The two go very well with each other because they relate to two different sets of circumstances.	None
In Commissioner of Sales Tax v. Industrial Coal Enterprises, (1999) 2 SCC 607 , this Court has observed thus In CIT v.	None
Straw Board Mfg. Co. Ltd.	None
this Court held that in taxing statutes, provision for concessional rate of tax should be liberally construed.	None
So also in Bajaj Tempo Ltd. v. CIT it was held that provision granting incentive for promoting economic growth and development in taxing statutes should be liberally construed and restriction placed on it by way of exception should be construed in a reasonable and purposive manner so as to advance the objective of the provision.	None
In Commissioner of Central Excise, Shillong v. NorthEastern Tobacco Co. Ltd., (2003) 1 SCC 161 , this Court has observed thus The other important principle of interpreting an exemption notification is that as far as possible liberal interpretation should be imparted to the language thereof, provided no violence is done to the language employed.	None
See State Level Committee v.	None
Morgardshammar India Ltd.	None
In our view, the Tribunal has rightly understood the purpose and the language employed in Notification no.8/97CE and the EXIM Policy 19972002.	Reasoning
Therefore, we do not see any legal infirmity in the judgment and order so passed by the Tribunal.	None
Accordingly, while rejecting the appeal filed by the revenue, we confirm the findings and conclusions reached by the Tribunal.	Decision
In the facts and circumstances of the case, the parties are directed to bear their own costs.	Decision
C.A.No.3588/2005, C.A.No.3638/2006 C.A.No.1388/2008	None
The Tribunal, while allowing the assessees appeals has followed the judgment and order rendered in the case of M s. Favourite Industries Vs. CCE, SuratI.	None
Since we have confirmed the reasoning and the conclusions reached by the Tribunal in the aforesaid decision, the appeals filed by the revenue against the impugned judgments and orders requires to be rejected and accordingly, they are rejected.	None
Ordered accordingly.	None
