 	Issue
Such plan shall include proposals for the following namely (a) comprehensive zoning of landuse for the planning area, together with zoning regulations (b) complete street pattern, indicating major and minor roads, national and state high ways, and traffic circulation pattern, for meeting immediate and future requirements (c) areas reserved for agriculture, parks, playgrounds and other recreational uses, public open spaces, public buildings and institutions and areas reserved for such other purposes as may be expedient for new civic development (d) major road improvements (e) areas for new housing (f) new areas earmarked for future development and expansion and (g) the stages by which the plan is to be carried out.	None
The report shall further contain a summary of the findings in the surveys carried out under subsection (2) of section 19, and give relevant information and data supporting proposals in the plan and deal in detail with.	None
(a) acquisition of land for the purpose of implementing the plan, (b) financial responsibility connected with the proposed improvements, and (c) the manner in which these responsibilities are proposed to be met.	None
Making of town planning scheme and its contents.(1) Subject to the provisions of this Act, a Planning Authority, for the purpose of implementing the proposals in the Comprehensive Development Plan published under subsection (4) of section 22, may make one or more town planning schemes for the area within its jurisdiction or any part thereof.	None
Such town planning scheme may make provisions for any of the following matters namely, (a) the laying out or relaying out of land, either vacant or already built upon (b) the filling up or reclamation of lowlying, swamp or unhealthy areas or levelling up of land (c) layout of new streets or roads construction, diversion, extension, alteration, improvement and stopping up of streets, roads and communications (d) the construction, alteration and removal of buildings, bridges and other structures (e) the allotment or reservation of land for roads, open spaces, gardens, recreation grounds, schools, markets, green belts and dairies, transport facilities and public purposes of all kinds (f) drainage inclusive of sewerage, surface or subsoil drainage and sewage disposal (g) lighting (h) water supply the preservation of objects of historical or national interest or natural beauty and of buildings actually used for religious purposes (j) the imposition of conditions and restrictions in regard to the open space to be maintained about buildings, the percentage of building area for a plot, the number, size, height and character of buildings allowed in specified areas, the purposes to which buildings or specified areas may or may not be appropriated, the subdivision of plots, the discontinuance of objectionable users of land in any area in reasonable periods, parking space and loading and unloading space for any building and the sizes of projections and advertisement signs (k) the suspension, so far as may be necessary for the proper carrying out of the scheme, of any rule, bye law, regulation, notification or order, made or issued under any Act of the State Legislature or any of the Acts which the State Legislature is competent to amend (l) such other matter not inconsistent with the objects of this Act as may be prescribed.	None
The 1976 Act was enacted by the State legislature in the backdrop of the decision taken at the conference of the Ministers for Housing and Urban Development held at Delhi in November 1971 that a common authority should be set up for the development of Metropolitan Cities.	None
Before the constitution of the BDA, different authorities like the City of Bangalore Municipal Corporation, the City Improvement Trust Board, the Karnataka Industrial Area Development Board, the Housing Board and the Bangalore City Planning Authority were exercising jurisdiction over the Bangalore Metropolitan Area.	None
Some of the functions of these authorities like development, planning etc. were overlapping and creating avoidable confusion.	None
Not only this, the intervention of multiple authorities was impeding coordinated development of the Metropolitan Area.	None
It was, therefore, considered appropriate that a single authority like the Delhi Development Authority should be set up for the city of Bangalore and areas adjacent thereto which, in due course, would become part of the city.	None
It was also realised that haphazard and irregular growth would continue unless checked by the development authority and it may not be possible to rectify correct mistakes in the future.	None
For achieving these objectives, the State legislature enacted the 1976 Act.	None
Simultaneously, Section 81B was inserted in the Town Planning Act for deemed dissolution of the City Planning Authority in relation to the area falling within the jurisdiction of the BDA.	None
The preamble of the 1976 Act and the definitions of Authority, Amenity, Civic amenity, Bangalore Metropolitan Area, Development, Engineering operations, Local Authority, Means of access contained in Section 2 thereof are reproduced below An Act to provide for the establishment of a Development Authority for the development of the City of Bangalore and areas adjacent thereto and for matters connected therewith 2.	None
Definitions.	None
In this Act, unless the context otherwise requires, Authority means the Bangalore Development Authority constituted under section 3 Amenity includes road, street, lighting, drainage, public works and such other conveniences as the Government may, by notification, specify to be an amenity for the purposes of this Act (bb) Civic amenity means, a market, a post office, a telephone exchange, a bank, a fair price shop, a milk booth, a school, a dispensary, a hospital, a pathological laboratory, a maternity home, a child care centre, a library, a gymnasium, a bus stand or a bus depot a recreation centre run by the Government or the Corporation a centre for educational, social or cultural activities established by the Central Government or the State Government or by a body established by the Central Government or the State Government a centre for educational, religious, social or cultural activities or for philanthropic service run by a cooperative society registered under the Karnataka Cooperative Societies Act, 1959 (Karnataka Act 11 of 1959) or a society registered under the Karnataka Societies Registration Act, 1960 (Karnataka Act 17 of 1960) or by a trust created wholly for charitable, educational or religious purposes a police station, an area office or a service station of the Corporation or the Bangalore Water Supply and Sewerage Board or the Karnataka Electricity Board and such other amenity as the Government may, by notification, specify Bangalore Metropolitan Area means the area comprising the City of Bangalore as defined in the City of Bangalore Municipal Corporation Act, 1949 (Mysore Act 69 of 1949), the areas where the City of Bangalore Improvement Act, 1945 (Mysore Act 5 of 1945) was immediately before the commencement of this Act in force and such other areas adjacent to the aforesaid as the Government may from time to time by notification specify Development with its grammatical variations means the carrying out of building, engineering, or other operations in or over or under land or the making of any material change in any building or land and includes redevelopment Engineering operations means formation or laying out of means of access to road Local Authority means a municipal corporation or a municipal council constituted or continued under any law for the time being in force Means of access includes any means of access whether private or public, for vehicles or for foot passengers, and includes a road Sections 14, 15, 16, 28A, 28B, 28C, 32(1) to (5A), 65, 65B 67(1)(a) and (b) of the 1976 Act are also extracted below Objects of the Authority.	None
The objects of the Authority shall be to promote and secure the development of the Bangalore Metropolitan Area and for that purpose the Authority shall have the power to acquire, hold, manage and dispose of moveable and immoveable property, whether within or outside the area under its jurisdiction, to carry out building, engineering and other operations and generally to do all things necessary or expedient for the purposes of such development and for purposes incidental thereto.	None
Power of Authority to undertake works and incur expenditure for development, etc. (1) The Authority may, (a) draw up detailed schemes (hereinafter referred to as development scheme) for the development of the Bangalore Metropolitan Area and (b) with the previous approval of the Government, undertake from time to time any works for the development of the Bangalore Metropolitan Area and incur expenditure therefor and also for the framing and execution of development schemes.	None
The Authority may also from time to time make and take up any new or additional development schemes, on its own initiative, if satisfied of the sufficiency of its resources, or on the recommendation of the local authority if the local authority places at the disposal of the Authority the necessary funds for framing and carrying out any scheme or otherwise.	None
Notwithstanding anything in this Act or in any other law for the time being in force, the Government may, whenever it deems necessary require the Authority to take up any development scheme or work and execute it subject to such terms and conditions as may be specified by the Government.	None
Particulars to be provided for in a development scheme.	None
Every development scheme under section 15, (1) shall, within the limits of the area comprised in the scheme, provide for , (a) the acquisition of any land which, in the opinion of the Authority, will be necessary for or affected by the execution of the scheme (b) laying and relaying out all or any land including the construction and reconstruction of buildings and formation and alteration of streets (c) drainage, water supply and electricity (d) the reservation of not less than fifteen percent of the total area of the layout for public parks and playgrounds and an additional area of not less than ten percent of the total area of the layout for civic amenities.	None
(2) may, within the limits aforesaid, provide for, (a) raising any land which the Authority may consider expedient to raise to facilitate better drainage (b) forming open spaces for the better ventilation of the area comprised in the scheme or any adjoining area (c) the sanitary arrangements required (3) may, within and without the limits aforesaid provide for the construction of houses.	None
28A. Duty to maintain streets etc.	None
It shall be incumbent on the Authority to make reasonable and adequate provision by any means or measures which it is lawfully competent to use or take, for the following matters, namely, (a) the maintenance, keeping in repair, lighting and cleansing of the streets formed by the Authority till such streets are vested in the Corporation and (b) the drainage, sanitary arrangement and water supply in respect of the streets formed by the Authority.	None
28B. Levy of tax on lands and buildings.	None
(1) Notwithstanding anything contained in this Act, the Authority may levy a tax on lands or buildings or on both, situated within its jurisdiction (hereinafter referred to as the property tax) at the same rates at which such tax is levied by the Corporation within its jurisdiction.	None
The Provisions of the Karnataka Municipal Corporations Act, 1976 (Karnataka Act 14 of 1977) shall mutatis mutandis apply to the assessment and collection of property tax.	None
Explanation.	None
For the purpose of this section property tax means a tax simpliciter requiring no service at all and not in the nature of fee inquiring service.	None
28C. Authority is deemed to be a Local Authority for levy of cesses under certain Acts.	None
Notwithstanding anything contained in any law for the time being force the Authority shall be deemed to be a local authority for the purpose of levy and collection of, education cess under sections 16.17 and 17A of the Karnataka Compulsory Primary Education Act, 1961 (Karnataka Act 9 of 1961) health cess under sections 3,4 and 4A of the Karnataka Health Cess Act, 1962 (Karnataka Act 28 of 1962) library cess under section 30 of the Karnataka Public Libraries Act, 1965 (Karnataka Act 10 of 1965) and beggary cess under section 31 of the Karnataka Prohibition of Beggary Act, 1975 (Karnataka Act 27 of 1975).	None
Forming of new extensions or layouts or making new private streets.	None
(1) Notwithstanding anything to the contrary in any law for the time being in force, no person shall form or attempt to form any extension or layout for the purpose of constructing buildings thereon without the express sanction in writing of the Authority and except in accordance with such conditions as the Authority may specify Provided that where any such extension or layout lies within the local limits of the Corporation, the Authority shall not sanction the formation of such extension or layout without the concurrence of the Corporation Provided further that where the Corporation and the Authority do not agree on the formation of or the conditions relating to the extension or layout, the matter shall be referred to the Government, whose decision thereon shall be final.	None
Any person intending to form an extension or layout or to make a new private street, shall send to the Commissioner a written application with plans and sections showing the following particulars, (a) the laying out of the sites of the area upon streets, lands or open spaces (b) the intended level, direction and width of the street (c) the street alignment and the building line and the proposed sites abutting the streets (d) the arrangement to be made for levelling, paving, metalling, flagging, channelling, sewering, draining, conserving and lighting the streets and for adequate drinking water supply.	None
The provisions of this Act and any rules or byelaws made under it as to the level and width of streets and the height of buildings abutting thereon shall apply also in the case of streets referred to in subsection (2) and all the particulars referred to in that subsection shall be subject to the approval of the Authority.	None
Within six months after the receipt of any application under subsection (2), the Authority shall either sanction the forming of the extension or layout or making of street on such conditions as it may think fit or disallow it or ask for further information with respect to it.	None
The Authority may require the applicant to deposit, before sanctioning the application, the sums necessary for meeting the expenditure for making roads, sidedrains, culverts, underground drainage and water supply and lighting and the charges for such other purposes as such applicant may be called upon by the Authority, provided the applicant also agrees to transfer the ownership of the roads, drains, water supply mains and open spaces laid out by him to the Authority permanently without claiming any compensation therefor.	None
(5A)	None
Notwithstanding anything contained in this Act, the Authority may require the applicant to deposit before sanctioning the application such further sums in addition to the sums referred to in the subsection (5) to meet such portion of the expenditure as the Authority may determine towards the execution of any scheme or work for augmenting water supply, electricity, roads, transportation and such other amenities within the Bangalore Metropolitan Area.	None
Governments power to give directions to the Authority.	None
The Government may give such directions to the Authority as in its opinion are necessary or expedient for carrying out the purposes of this Act, and it shall be the duty of the Authority to comply with such directions.	None
65B. Submission of copies of resolution and Governments power to cancel the resolution or order.	None
(1) The Commissioner shall submit to the Government copies of all resolutions of the Authority.	None
If the Government is of opinion that the execution of any resolution or order issued by or on behalf of the Authority or the doing of any act which is about to be done or is being done by or on behalf of the Authority is in contravention of or in excess of the powers conferred by this Act or any other law for the time being in force or is likely to lead to a breach of peace or to cause injury or annoyance to the public or to any class or body of persons or is prejudicial to the interests of the authority, it may, by order in writing, suspend the execution of such resolution or order or prohibit the doing of any such act after issuing a notice to the Authority to show cause, within the specified period which shall not be less than fifteen days, why, (a) the resolution or order may not be cancelled in whole or in part or (b) any regulation or byelaw concerned may not be repealed in whole or in part.	None
Upon consideration of the reply, if any, received from the authority and after such inquiry as it thinks fit, Government may pass orders cancelling the resolution or order or repealing the regulation or byelaw and communicate the same to the authority.	None
Government may at any time, on further representation by the authority or otherwise, revise, modify or revoke an order passed under subsection (3).	None
Amendment of the Karnataka Town and Country Planning Act, 1961.	None
(1) In the Karnataka Town and Country Planning Act , 1961 (Karnataka Act 11 of 1963), (a) in section 2, for item (i) of subclause (a) of clause (7), the following item shall be substituted namely, the local planning area comprising the City of Bangalore, the Bangalore Development Authority, and (b) after section 81A, the following section shall be inserted, namely, 81B. Consequences to ensue upon the constitution of the Bangalore Development Authority.	None
Notwithstanding anything contained in this Act, with effect from the date on which the Bangalore Development Authority is constituted under the Bangalore Development Authority Act, 1976 the following consequences shall ensue, the Bangalore Development Authority shall be the local Planning Authority for the local planning area comprising the City of Bangalore with jurisdiction over the area which the City Planning Authority for the City of Bangalore had jurisdiction immediately before the date on which the Bangalore Development Authority is constituted the Bangalore Development Authority shall exercise the powers, perform the functions and discharge the duties under this Act as if it were a Local Planning Authority constituted for the Bangalore City the City Planning Authority shall stand dissolved and upon such dissolution, In exercise of the power vested in it under Section 4A(1) of the Town Planning Act, the State Government issued Notifications dated 1.11.1965 and 13.3.1984 declaring the areas specified therein to be the Local Planning Areas.	None
By the first notification, the State Government declared the area comprising the city of Bangalore and 218 villages enumerated in Schedule I thereto to be the Local Planning Area for the purposes of the Town Planning Act and described it as the Bangalore City Planning Area.	None
The limits of the planning area were described in Schedule II appended to the notification.	None
By the second notification, the area comprising 325 villages around Bangalore (as mentioned in Schedule I) was declared to be the Local Planning Area for the environs of Bangalore.	None
The limits of the city planning area were indicated in Schedule II.	None
At the end of Schedule II of the second notification, the following note was added This excludes the Bangalore City Local Planning Area declared (by) Government Notification No.	None
PLN/42/MNP/65/SO/3446 dated 1111965.	None
A third notification was issued on 6.4.1984 under Section 4 A(3) of the Town Planning Act amalgamating the Local Planning Areas of Bangalore declared under the earlier two notifications as Bangalore City Planning Area w.e.f. 1.4.1984.	None
On 1.3.1988, the State Government issued notification under Section 2(c) of the 1976 Act specifying the villages indicated in the first Schedule and within the boundaries indicated in the second Schedule to Notification dated 13.3.1984 to be the areas for the purposes of that clause.	None
We shall refer to this notification a little later in the context of the High Courts negation of the respondents challenge to that notification on the ground that the names of the villages or specified areas had not been published in the Official Gazette and, as such, the layout plans of the area comprised in those villages are not governed by the 1976 Act.	None
As a result of unprecedented increase in the population of the city of Bangalore between 1970 and 1980, the available civic amenities like roads, water supply system and supply of electricity were stretched to their limit.	None
To meet the additional requirement of water and electricity and to tackle the problems of traffic, new schemes were prepared in the development plan of Bangalore city, which was approved in 1984.	None
These included augmentation of water supply, formation of Ring Road etc.	None
Bangalore Water Supply and Sewerage Board (BWSSB) submitted a proposal to the State Government for taking up of Cauvery Water Supply Scheme, Stage III (for short, the Cauvery Scheme) for supply of an additional 270 MLD water to Bangalore at a cost of Rs. 240 crores.	None
The proposed financing pattern of the project was as follows State Government  Rs.80/ crores, Life Insurance Corporation of India  Rs. 50/ crores, Bangalore City Corporation  Rs. 30/ crores, and World Bank  Rs	None
. 80/ crores.	None
By an order dated 28.06.1984, the State Government, after taking cognizance of the difficulties being experienced by BWSSB in supplying water to the Bangalore Metropolitan Area and the possibility of acute shortage of water in next 10 years if the supply was not augmented, granted approval to the Cauvery Scheme.	None
Since the World Bank assistance was expected only in the year 1988 and the Cauvery Scheme was to be implemented by 1990 to meet the drinking water needs of the residents of Bangalore, the issue was discussed in the meeting held on 01.01.1987 under the chairmanship of the Chief Secretary of the State and it was decided that with a view to avoid escalation in the cost, the funds may be collected from other sources including the BDA because substantial quantity of water was required for the layouts which were being developed by it or likely to be developed in future.	None
In furtherance of that decision, the State Government issued order dated 25.03.1987 and directed the BDA to make a grant of Rs. 30 crores to BWSSB to be paid in installments from 198788 to 198990 by loading an extra amount as water supply component at the rate of Rs. 10,000/ on an average per site for all the layouts to be formed thereafter.	None
In compliance of the directions given by the State Government, the BDA started collecting Rs.10,000/ per site.	None
Later on, the levy under the Cauvery Scheme was increased to Rs.1 lac per acre.	None
By 1992, it was realised that the BDA had not been able to develop and distribute sites as expected.	None
Therefore, a proposal was submitted by the Commissioner, BDA to the State Government that contribution towards the Cauvery Scheme may be distributed among those applying for change of land use and the private layouts to be developed by the house building societies and on major housing projects.	None
The State Government accepted the suggestion of the BDA and passed order dated 12.1.1993 for the levy of charges under the Cauvery Scheme at the rate of Rs.2 lacs per acre.	None
In 1992, the BDA also decided to take up the construction of 63.30 kilometers long Outer Ring Road and 3.5 kilometers long Intermediate Ring Road at an estimated cost of Rs.115 crores with a possible escalation up to Rs.130 crores.	Facts
36.24 kilometers of the Outer Ring Road was to pass through the BDA layouts and the balance was to pass through the land outside the BDA layouts.	Facts
The cost of construction of Outer Ring Road passing through the BDA layout was to be met by charging the allottees of sites in the BDA layouts.	Facts
For the balance 27.06 kilometers of Outer Ring Road and 3.5 kilometers of Intermediate Ring Road a proposal was prepared to obtain financial assistance from the World Bank.	Facts
In the meeting held on 5.6.1992 under the chairmanship of the Chief Secretary of the State, the possibility of taking loan from HUDCO was explored.	Facts
Simultaneously, it was considered whether partial burden of the cost could be passed on to the beneficiaries of the private layouts and it was agreed that like the Cauvery Scheme, Ring Road surcharge should be levied on the sites to be formed by the BDA and the private housing societies at the rate of Rs.1 lac per acre.	Facts
Thereafter, the BDA passed Resolution dated 19.10.1992 for levy of charges at different rates on change of land use in different areas and Rs.1 lac per acre on the layouts of housing societies and private lands as also the sites formed by itself.15.The Air Craft Employees Cooperative Society Ltd. (respondent in C.A. No.7503/2002) submitted an application for approval of layout in respect of 324 acres 30 guntas land situated in Singasandra and Kudlu villages, Surjapur Hobli and Begur Hobli respectively.	Facts
The application of the respondent was considered in the BDAs meeting held on 31.10.1991 and was approved subject to various conditions including payment of Rs.2 lacs per acre towards the Cauvery Scheme and Rs.1 lac as Ring Road surcharge.	Facts
Another condition incorporated in the Resolution of the BDA was that the civil portion of work shall be carried out by the respondent under its supervision.	Facts
The decision of the BDA was communicated to the respondent vide letter dated 12.11.1992.16.	Facts
The respondent challenged the conditional sanction of its layout in Writ Petition No.11144/1993 and prayed for quashing the demand of Rs.2 lacs per acre towards the Cauvery Scheme and Rs.1 lac as Ring Road surcharge by making the following assertions The order passed by the State Government was applicable only to the sites to be formed by the BDA and not the layout of private House Building Societies because as per the Chairman of BWSSB, it will not be possible to take up the responsibility of providing water supply and underground drainage to such layouts and the societies had to make their own arrangements.	Facts
The Cauvery Scheme will be able to meet the requirements of only the citizens residing within the municipal area and some newly formed layouts adjacent to the city.	None
There is no provision in the Bangalore Water Supply and Sewerage Act, 1964 (for short, the 1964 Act) under which the burden of capital required for the execution of schemes could be passed on to the private House Building Societies and, in any case, the BWSSB can recover the cost by resorting to Section 16 of the 1964 Act.	None
Under the 1976 Act, the Government is not empowered to authorise the BDA to transfer the cost of the Cauvery Scheme to the private layouts.	None
20,000 acres of land has been acquired by the BDA for forming layouts in the vicinity of Bangalore and 10,000 acres had been acquired by the Government for House Building Cooperative Societies and if Rs.1 or 2 lacs per acre are charged, the Government will collect about Rs.600 crores from the BDA itself, though the latters contribution was initially fixed at Rs.30 crores only.	None
The demand of Rs.1 or 2 lacs per acre towards the Cauvery Scheme is ultra vires the provisions of Article 265 of the Constitution.	None
The levy of Rs.1 lac per acre as Ring Road surcharge is not sanctioned by law and the State and the BDA cannot burden the private layouts without determining whether the Ring Road would be of any use to the members of the House Building Societies.	None
During the pendency of Writ Petition No.11144/1993, the State legislature amended the 1976 Act by Act.	None
No.17/1994 and inserted subsection (5A) in Section 32 w.e.f. 20.6.1987 authorising the BDA to demand sums in addition to those referred in subsection (5) to meet the expenditure towards the execution of any scheme or work for augmenting water supply, electricity, roads, transportation and other amenities within the Bangalore Metropolitan area.	None
The respondent promptly amended the writ petition and challenged the constitutional validity of the newly inserted subsection by asserting that the provision is discriminatory and violative of Article 14 of the Constitution because it gives unbridled and uncanalized power to the BDA to demand additional sums for different schemes.	None
It was also pleaded that subsection (5A) has been inserted in Section 32 to legitimize the conditions incorporated in letter dated 12.11.1992 for payment of charges for the Cauvery Scheme and the Ring Road.	None
While the parties were litigating on the constitutionality of the amended provision and legality of the conditional sanction of the layout, the respondent applied for approval of the BDA for starting civil work.	None
The same was sanctioned subject to payment of the following charges	None
Supervision Charges Rs. 92,26,687.00 (at the rate of 9 on Civil Work)	None
Improvement charges Rs.	None
1,65,95,008.00 (at the rate of Rs. 20 per sq. mtrs.)	None
Examination charges Rs.	None
4,14,876.00	None
(050 per sq. mtrs.)	None
Slum Clearance Development Rs.	None
20,74, 365.00 Charges (Rs. 25,000 per hectare)	None
M.R.T.S.	None
Tax Rs.	None
1,02,51, 875.00 (Rs. 50,000 per acre) Miscellaneous Rs.	None
7,189.00 The respondent challenged the conditional approval of civil work in Writ Petition No. 25833/1998 on the ground that the 1976 Act does not authorize such levies and that the legislature has not laid down any guideline for creating such demand from the private House Building Societies.	None
An additional plea taken by the respondent was that the BDA has applied the provisions of Section 32 of the 1976 Act under a mistaken impression that the layout was within its jurisdiction.	None
According to the respondent, no notification had been issued by the State Government for including the villages of North and South Talukas within the Bangalore Metropolitan Area.	None
Another plea taken by the respondent was that the State Government has already collected conversion fine and, as such, the BDA does not have the jurisdiction to levy betterment fee.	None
Similar plea was raised in respect of Mass Rapid Transport System Cess and the Slum Clearance charges.	None
The other House Building Cooperative Societies also filed writ petitions between 1994 and 1998 for striking down Section 32(5A) and the conditional sanction of their layouts in terms of which they were required to pay for the Cauvery Scheme and the Ring Road apart from other charges mentioned in the sanction of civil work as was done in the case of Air Craft Employees Cooperative Society Limited.	None
They generally pleaded that i. the BDA has no jurisdiction to make demands requiring payment of sums under various heads in the matter of sanction of the residential layout plan as areas of their layouts do not form part of the Bangalore Metropolitan Area ii.	None
the notification issued under Sec. 2(c) of the 1976 Act is not valid as there is no specification of the adjacent areas iii.	None
Notification dated 1.3.1988 is not in consonance with the requirements of law as it does not specify the villages and the areas which were sought to be declared and specified as part of the Bangalore Metropolitan Area and the specifications and schedules referred to in the notification have not been published iv.	None
the villages which include the lands that form a part of the residential layouts also do not figure in the schedule to Notification dt.	None
13.3.1984.	None
The writ petitions were contested by the appellant by making the following assertions i. the lands of the respondents residential layout fall within the local planning area of the authority and, therefore, they are liable to pay layout charges in respect of the Cauvery Scheme, Ring Road surcharge, slum clearance charge, betterment levy, scrutiny fee, supervision charges, etc. ii.	None
the charges have been levied in terms of the directions given by the State Government and the decision taken by the BDA.	None
iii.	None
the societies are required to carry out civil work under the supervision of the BDA and, therefore, they are liable to pay supervision charges.	None
iv.	None
Section 32(5A) of the 1976 Act does not suffer from any constitutional infirmity and guidance for levy of such charges can be traced in the scheme of the Act.	None
The Division Bench of the High Court first considered the question whether Notification dated 1.3.1988 issued under Section 2(c) of the 1976 Act was invalid because the names of the villages or the specified area had not been notified or published in the Official Gazette and whether in the absence of such notification, the villages in which the societies had formed layouts cannot be treated as part of the Bangalore Metropolitan Area.	None
The Division Bench referred to the definition of the expression Bangalore Metropolitan Area contained in Section 2(c) of the 1976 Act, the contents of Notification dated 1.3.1988 and held that the description of the area given in the notification was in consonance with the definition of the Bangalore Metropolitan Area because reference had been made to the villages in Schedule I to Notification dated 13.3.1984 and the boundaries of the planning environs area as per Schedule II of the said notification.	None
The Division Bench opined that if Notifications dated 13.3.1984 and 1.3.1988 are read together, it cannot be said that the particular villages do not form part of the Bangalore Metropolitan Area.	None
The Division Bench did not decide the plea of the respondents that some of the villages were not included in the Schedules by observing that determination of this question involves investigation into a question of fact and this can be considered at the time of approval of the layout plan of the particular society.	None
The argument that while dealing with the issue raised in Writ Petition No.13907/1995, the BDA had lost the territorial jurisdiction because the areas in question had become part of City Municipal Council, Byatarayanapura and City Municipal Council, Krishnaraja Puram respectively vide Notification dated 22.1.1996 was left to be decided by the BDA with liberty to the concerned respondent to raise the same at an appropriate stage.	None
The Division Bench then adverted to Articles 265 and 300A of the Constitution and held that the BDA cannot levy or recover the sums specified in the demand notice on the basis of the government order or circular.	None
The Division Bench further held that the approval of layout plan or work order cannot be made subject to the condition of deposit of the sum demanded by it.	None
The Division Bench then analysed the provisions of Section 32 of the 1976 Act and observed No principle appears to have been laid down or indicated for the authority to be kept in view and followed when determining in such portion of the expenditure, which expenditure have to relate to be made or to be incurred in the execution of any schemes or works as referred.	None
No doubt, the schemes or works for augmenting the water supply, electricity and other amenities only provide that it should be worked within the Bangalore Metropolitan Area or work is to be for the benefit of the Bangalore Metropolitan Area to provide amenities within the Bangalore Metropolitan Area.	None
But, the question is that out of that expenditure which the Bangalore Metropolitan Area has to bear or incur what portion thereof the applicant seeking approval of layout plan etc., will be required to deposit and know the proportion or a portion of that is to be determined by the authority.	None
There is nothing in this section to indicate or to provide any guideline.	None
There are no rules framed under the Act with reference to subsection (5A) of Section 32 of the Bangalore Development Authority Act, 1976 to provide guidelines or to indicate as to how that is to be determined.	None
