 	Reasoning
Shri C.S. Vaidyanathan, learned senior counsel appearing for respondent No.1 argued that even though respondent No.1 had availed the statutory remedy of appeal, the learned Single Judge did not commit any error by entertaining the petition filed under Article 227 of the Constitution because counsel appearing on behalf of respondent No.1 had assured the High Court on 21.3.2007 that the appeal pending before the National Consumer Disputes Redressal Commission will be withdrawn and, as a matter of fact, this was done on 25.4.2007.	Arguments of Respondent
Learned senior counsel then argued that the learned Single Judge did not commit any error by setting aside the order of the State Commission because it was contrary to the scheme sanctioned by the learned Company Judge under Section 391 read with Sections 392 and 394 of the Companies Act, 1956.	Arguments of Respondent
We have considered the respective submissions.	Reasoning
The 1986 Act was enacted to provide for better protection of the interests of consumers by making provisions for establishment of consumer councils and other authorities for settlement of consumer disputes and adjudication thereof.	Reasoning
The 1986 Act is a complete Code unto itself.	Reasoning
It defines the various terms like consumer, consumer dispute, defect, deficiency, goods, manufacturer, restrictive trade practice, service, unfair trade practice.	Reasoning
It provides for establishment of consumer councils and adjudicatory forums at the District, State and National levels.	Reasoning
Any person aggrieved by an order passed by the District Forum can file an appeal before the State Commission.	Reasoning
If he is not satisfied with the order of the State Commission, a further remedy is available by way of revision before the National Commission.	Reasoning
If the complaint is decided by the State Commission, the aggrieved person can file an appeal before the National Commission.	Reasoning
Elaborate procedure has been laid down for filing of the complaints and disposal thereof.	Reasoning
Since the 1986 Act is a special statute enacted by the Parliament for better protection of the interest of consumers and a wholesome mechanism has been put in place for adjudication of consumer disputes, the remedy of appeal available to a person aggrieved by an order of the State Commission cannot but be treated as an effective alternative remedy.13.	Reasoning
Admittedly, respondent No.1 had availed the alternative remedy available to it under Section 21 by filing an appeal against the order of the State Commission.	Reasoning
During the pendency of the appeal, respondent No.1 chose to challenge the order of the State Commission by filing a petition under Article 227 of the Constitution, which was entertained by the learned Single Judge on the basis of the assurance given by the learned counsel that the appeal filed before the National Commission will be withdrawn.	Reasoning
The order passed by the learned Single Judge on 21.3.2007 or the one by which the petition filed by respondent No.1 was finally disposed of does not contain any indication as to why the learned Single Judge thought it proper to make a departure from the rule that the High Court will not entertain a petition under Article 226 or 227 of the Constitution if an effective alternative remedy is available to the aggrieved person.	Reasoning
In our view, during the pendency of the appeal filed by respondent No.1 under Section 21 of the 1986 Act, the learned Single Judge was not at all justified in entertaining the petition filed under Article 227 of the Constitution merely because he thought that the State Commission did not have the jurisdiction to entertain the complaint in view of the scheme sanctioned by the Company Judge under Section 391 read with Sections 392 an 394 of the Companies Act.14.	Reasoning
The dismissal of the application filed by the appellant for recall of order dated 11.7.2007 is clearly vitiated by a patent error of law.	Reasoning
In the petition filed by him, the appellant had averred that he could not file reply because of heart ailment and on the date of hearing he could not reach the High Court because of failure of the public bus transport system.	Reasoning
Respondent No.1 did not controvert these averments.	Reasoning
Notwithstanding this, the learned Single Judge dismissed the application without even examining sufficiency of the cause shown by the appellant for his nonappearance on the date of hearing.	Reasoning
In the result, the appeals are allowed.	Decision
The impugned order is set aside and the matter is remitted to the High Court for fresh adjudication of CM (M) No. 398 of 2007.	Decision
While deciding the matter, the High Court is expected to take note of the fact that respondent No.1 had an effective alternative remedy against the order passed by the State Commission and, as a matter of fact, it had availed the remedy of appeal.	Decision
If the High Court comes to the conclusion that respondent No.1 should be relegated to the remedy of appeal, then it may pass appropriate order to facilitate recall of order dated 25.4.2007 passed by the National Commission so that respondent No.1 may be able to pursue the remedy of appeal.	Decision
