 	Decision
Similarly, we are of the opinion, on the facts and circumstances of this case, the argument of the tenant that the High Court exceeded in its jurisdiction by interfering on a finding of fact arrived at by the Appellate Authority is also to be rejected.	Reasoning
It is to be noticed that under subsection (6) of Section 15 of the Act, the High Court as a revisional authority has the power to call for and examine the records relating to any order passed or proceedings taken under this Act for the purpose of satisfying itself as to the legality or propriety of such order and is entitled to pass such order as it may deem fit.	None
The power vested in the High Court under this provision of law is much wider than the power conferred on the High Court under Section 115 of the C.P.C.	None
In the process of satisfying itself as to the legality or propriety of an impugned order, the High Court in a given case can go into the finding of fact arrived at by the courts below and, if found necessary, reverse such a finding of fact.	None
Of course, this Court has in many cases cautioned that this power is not to be used as a revisional court in a routine manner but to be used only when the revisional court comes to the conclusion that the last court of fact has arrived at a conclusion which is not perverse or possible to be accepted on the materials placed before it.	None
In other words, if the High Court comes to the conclusion that the finding of the first Appellate Court is based on no evidence then in a given case it is open to the High Court to interfere with such finding of fact.	None
In the instant case, we are not convinced that the High Court has exceeded in its jurisdiction while allowing the revision of the landlord on this count.	Reasoning
Therefore, this question urged on behalf of the appellant is also rejected.	Facts
This leaves us to consider the third point raised on behalf of the appellant.	Reasoning
The argument is based on the first proviso to Section 13(3)(b) of the Act which reads as follows  (b) in the case of rented land, if he requires it for his own use, is not occupying in the urban area concerned for the purpose of his business any other rented land and has not vacated such rented land without sufficient cause after the commencement of the 1949 Act Based on this proviso and relying upon the fact that before the eviction was ordered in this case, the landlord had obtained possession of three other rented lands through eviction petitions filed under Section 13(3)(b) of the Act, it is contended, by virtue of the above proviso, that the landlord is statutorily prevented from seeking eviction of the appellant from the tenanted land.	Reasoning
Opposing this contention, the landlord raised a preliminary object that this objection was not specifically raised before the courts below.	Reasoning
Therefore, the appellanttenant should not be permitted to raise it for the first time before this Court.	None
We will first deal with the above objection of the landlord in regard to permitting the appellanttenants to raise this question before us.	Reasoning
It is true that in the written statement originally filed, the tenant did not raise this specific contention.	None
However, by an amendment made to the written statement the tenant did plead that the landlord has obtain possession of three other rented lands measuring 18 x 45 from Atma Ram Jassa Ram 16 x 40 from Sakhuja Trunk House and 10 x 40 from Kehar Singh and, as such, the application for ejectment is liable to be dismissed.	None
The landlord has filed a rejoinder to this amended written statement wherein he contended that the three premises were got vacated by him and one of the grounds in those petition was personal necessity.	Arguments of Respondent
He also contended that the premises were got vacated for extension of coalyard as the open space in possession of the landlord was not sufficient to meet his requirement for stocking coal, and he has sought eviction of the tenant in the present case for extension of its foundry and for storage of foundry material.	None
It is true that in spite of these pleadings, may be because of the fact that the tenant did not specifically invoke the proviso to Section 13(3)(b), no issue was raised by the Rent Controller.	Reasoning
Hence, the trial court did not advert to this question.	Reasoning
Before the appellate authority, however, the tenant raised this specific objection which came to be rejected on the ground that these evictions were obtained after filing of the instant eviction petition, consequently, the proviso in question did not apply to the facts of the case.	Reasoning
It is also contended that since the appellate authority dismissed the eviction petition, the tenant did not have an opportunity of challenging this finding before the High Court, but while defending the order of the appellate authority, a specific argument based on the said proviso was raised before the High Court but the High Court did not consider this argument in its correct perspective.	Reasoning
Further, it was pointed out to us that in the review petition filed before the High Court, specific grounds were raised alleging that the argument based on the proviso was addressed and the court failed to consider the same, still the High Court while rejecting the review petition did not consider this point.	Arguments of Respondent
In this background, we are convinced that the tenant did not raise this question before the courts below which ought to have been considered by the courts below.	None
Therefore, we deem it appropriate that the tenant be permitted to raise this question.	None
On behalf of the landlord, it is next contended that the proviso does not apply to the facts of this case, since on the date of filing of the present eviction petition, the landlord had not obtained possession of any other tenanted premises.	Arguments of Respondent
Subsequent possession obtained by it would not be an embargo for the landlord to claim possession of the present petition scheduled premises.	Arguments of Respondent
Elaborating this argument on behalf of the landlord, it is contended if on the date of filing of the eviction petition, a landlord had not by then obtained possession of any other premises, then the proviso would not be a bar for the landlord to file an eviction petition and obtained possession of another premises, even though during the pendency of the petition, he obtains possession of other premises.	Arguments of Respondent
The landlord wants us to give a literal meaning to the words entitled to apply again found in the proviso.	Arguments of Respondent
If we give such a meaning to the words entitled to apply again without taking into consideration the object and scheme of the Act, the proviso may give an impression that the embargo incorporated in that proviso would be applicable only at the stage of filing of the eviction petition.	None
But such an interpretation will run counter to the very scheme of the Act.	None
It goes without saying that the Haryana Urban (Control of Rent and Eviction) Act, 1973 like any other similar Acts in other States in India is an enactment which controls the fixation of rent and evictions of the tenants from rented premises to which the Act is applicable.	None
This Act controls the right of a landlord to seek eviction of tenanted premises, it restricts the right of a landlord to seek eviction on those grounds mentioned in the Act.	None
As a matter of fact, a landlord can seek eviction only on the grounds enumerated under the Act and on no other grounds.	None
This is clear from the language of Section 13(1) of the Act which in specific terms says that a tenant in possession of a building or rented land shall not be evicted therefrom except in accordance with the provisions of this Section.	None
Section 13 enumerates various grounds on which a landlord can seek possession.	None
This right is further restricted if the landlord has obtained possession of similar premises under the same provisions of law by the proviso.	None
Now the question is whether the bar under the proviso is applicable only to the filing of an application or is it a bar on the right of the landlord.	Reasoning
If the interpretation suggested by the landlord is accepted then the bar will be on the application by the landlord and not on his right to evict.	Reasoning
This, in our opinion, will not be the correct interpretation of the proviso.	Reasoning
A careful perusal of the various provisos found in subsection (3) of Section 13 of the Act clearly shows that the Legislature intended to further restrict the right of a landlord to seek eviction under the clauses mentioned in that subsection apart from the restrictions imposed in Section 13 of the Act.	Reasoning
For example, if the landlord is seeking eviction of a tenant on the ground that the same is required for the use of his son then, in view of the proviso applicable to that subsection, he can seek eviction of the premises only once.	Reasoning
Similarly, if the landlord is seeking eviction for his own occupation under Section 13(3)(b) of the Act then by virtue of the proviso applicable to that subsection, the landlord can seek such eviction only once in regard to the premises of the same nature.	Reasoning
Therefore, in our opinion, the bar imposed by the proviso is in fact a bar on the right of the landlord to seek actual eviction and not confined to the filing of the application for eviction.	Reasoning
On behalf of the landlord, it is contended that while interpreting a Statute the courts should apply the rule of literal construction and if it is so interpreted then the wordings of the proviso would show that the restriction imposed by the proviso is restricted to the stage of filing of the application for eviction only.	Arguments of Respondent
We agree with this contention of the landlord that normally the courts will have to follow the rule of literal construction which rule enjoins the court to take the words as used by the Legislature and to give it the meaning which naturally implies.	None
But, there is an exception to this rule.	Reasoning
That exception comes into play when application of literal construction of the words in the Statute leads to absurdity, inconsistency or when it is shown that the legal context in which the words are used or by reading the Statute as a whole, it requires a different meaning.	Reasoning
In our opinion, if the expression entitled to apply again is given its literal meaning, it would defeat the very object for which the Legislature has incorporated that proviso in the Act inasmuch as the object of that proviso can be defeated by a landlord who has more than one tenanted premises by filing multiple applications simultaneously for eviction and thereafter obtain possession of all those premises without the bar of the proviso being applicable to him.	Reasoning
We are of the opinion that this could not have been the purpose for which the proviso is included in the Act.	Reasoning
If such an interpretation is given then the various provisos found in clause (3) of Section 13 would become otiose and the very object of the enactment would be defeated.	Reasoning
Any such interpretation, in our opinion would lead to absurdity.	Reasoning
Therefore, we have no hesitation in interpreting the proviso to mean that the restriction contemplated the proviso to mean that the restriction contemplated under that proviso extends even up to the stage when the court or the tribunal is considering the case of the landlord for actual eviction and is not confined to the stage of filing of eviction petition only.	Reasoning
This takes us to the another limb of the landlords argument in regard to the applicability of the proviso.	Arguments of Respondent
This argument of the landlord is based on two judgments of the High Court of Punjab Haryana in the cases of (i) Shri Brij Lal Puri and another v. Smt.	Arguments of Respondent
Muni Tandon alias Urmala, 1979(1)	Arguments of Respondent
Rent Law Reporter 58 1979(1)	Arguments of Respondent
RCR 190 (SC) (which case is followed by the High Court in Jagir Singh v. Jagdish Pal Sagar, 1980(1) RLR 494 1980(1) RCR 494 (PH).	Arguments of Respondent
In Puris case (supra), rejecting the contention of the tenant based on the said proviso, the learned Single Judge of the High Court held thus  	None
A plain reading of the proviso mentioned above shows that a landlord after getting one building vacated, which can reasonably meet his needs, cannot get another building vacated.	None
The proviso does not lay down that if the entire building, which is needed by a landlord for his personal use, is occupied by more than one tenants, he or she cannot take out eviction proceedings against the other tenant after having evicted one.	None
The object of this proviso is that a landlord should not be allowed to seek unreasonable ejectments of tenants from independent buildings if he has already succeeded in evicting a tenant from a building which is sufficient for his personal occupation Based on the abovecited two judgments of the High Court, it is contended that the landlord in the instant case is seeking eviction of a part of the premises owned by it which is leased to the present appellant.	None
Eviction of the three other tenants referred to herein above was from the premises which are parts of the same premises, therefore, in view of the above judgment the bar under the proviso is not applicable.	Reasoning
We find it difficult to accept this argument of the landlord also.	Reasoning
From the language of the proviso we do not find any support for this argument of the appellant or to the conclusions arrived at by the High Court in the abovereferred judgments.	Reasoning
The proviso does not make any such distinction between a landlord seeking possession of the premises held by more than one tenant occupying the same building or the tenants occupying different independent buildings under the same landlord.	Reasoning
As we have observed, the object of the proviso like any other provisions of the Act, is to further restrict the right of the landlord to seek eviction, if that be so, we do not find any justification in reading into the proviso something as conferring a larger right on the landlord to evict more than one tenant if those tenants are occupying different parts of the same premises.	Reasoning
Therefore, we are of the opinion that the view expressed by the High Court in the above referred case does not lay down the correct law.	Reasoning
Consequently, the argument of the landlord based on the said judgment is also rejected.	Reasoning
It is next contended on behalf of the landlord that the decisions cited above have stood the test of time since 1978 onwards, if not earlier, because of which the law is so understood in that part of the country, therefore, we should not interfere with the ratio laid down by the High Court of Punjab Haryana in those cases so as not to create uncertainty in judicial thinking.	Reasoning
We are unable to accept this argument advanced on behalf of the landlord.	Reasoning
When we find that the interpretation of the proviso by the High Court is wholly contrary to the object of the Statute, merely because it had remained to be the interpretation of the High Court for a considerable length of time, the same cannot be permitted to continue to be so when it is erroneous and it is so brought to our notice.	Reasoning
We will be failing in our duty if we do not declare an erroneous interpretation of law by the High Court to be so, solely on the ground that it has stood the test of time.	Reasoning
Since, in our opinion, in regard to the interpretation of the above proviso, no two views are possible, we are constrained to hold that the law declared by the Punjab Haryana High Court with reference to the proviso is not the correct interpretation and hold that the said judgment is no more a good law.	Reasoning
On behalf of the landlord, another argument based on equity was addressed before us giving various examples of the hardship that could be caused to the landlords by the interpretation we have now given to the said proviso.	Reasoning
We do not find that the proviso, as interpreted by us, may cause some hardship to the landlords in some cases but that is the intention of the Legislature which the courts have to take to its logical end so long as it remains in the Statute book.	Reasoning
Merely because a law causes hardship, it cannot be interpreted in a manner so as to defeat its object.	Reasoning
We may notice at this stage that constitutional validity of the proviso is not in challenge before us, therefore, we will have to proceed on the footing that the proviso, as it stands, is intra vires and interpret the same as such.	Reasoning
This leaves us to consider the last argument of the landlord that the applicability of this proviso being a mixed question of law and fact and there being no issues before the courts below, the same cannot be applied in abstract.	Reasoning
We see force in this contention before refusing eviction based on the ground of the bar imposed by the proviso.	Reasoning
The Court will have to come to the conclusion that the premisesland eviction whereof has been obtained by the landlord, belong to the same class of building or tenanted land.	Reasoning
This finding of the Court will be dependent upon the facts which are not available on records of this case.	Reasoning
The absence of this evidence will cause prejudice to the landlord if the said question is to be decided in these appeals.	Reasoning
Though in the earlier part of this judgment, we have held that the parties in this case have pleaded the facts necessary for invoking the proviso, still since no issue has been framed on this point, the parties have not led evidence in regard to the nature of the buildingland.	Reasoning
Therefore, we agree with the argument of the landlord that in order to apply the proviso, certain factual matrix has to be established absence of which, in appropriate cases, might necessitate a remand to the trial court.	Reasoning
On the peculiar facts of this case and taking into consideration the fact that this litigation has been going on since 1979 and there has already been one remand from the High Court to the appellate authority, we find it just and proper that we frame the following issue in regard to this point and remit the case to the trial court for the purpose of recording evidence and its decision  Does the respondent prove that the applicant has obtained possession of other residential building or rented land of the same class under the provisions of Clause (b) of Section 13(3) of the Act so as to disentitle it to obtain possession of the petition scheduled premises ?	Reasoning
We direct the original authority, namely, the Court of the Rent Controller, Jagadhari, to allow the parties to adduce evidence, if necessary, to the limited extent of deciding the above issue framed by us.	Decision
The Rent Controller, Jagadhari, shall decide the case within a period of three months from the date of receipt of a copy of this judgment.	Decision
The appeals are, accordingly, allowed duly modifying the orders under appeal.	Decision
No costs.	Decision
Appeals allowed.	None
