 	Reasoning
one M s DCN International Ltd. sold land measuring 62 kanals 7 marlas situated in Village Naurangpur, District Gurgaon for Rs 95,21,160 i.e. at the rate of Rs 13,74,345 per acre.	None
Copy of sale deed dated 14121993 is Annexure R3 hereto.	None
I further state that sale deed dated 1691994 (Ext. P1) was executed pursuant to the agreement to sell dated 3151994 between M s Heritage Furniture (P) Ltd. (vendor) and M s Duracell (India) (P) Ltd. (vendee) wherein the vendor agreed to sell the land in question measuring about 12 acres to the vendee at a sale price of Rs 2,42,00,000 (Rupees two crore fortytwo lakhs only) as is clear from the recital in the sale deed itself.	None
Ultimately vide sale deed dated 1691994 the said land was sold at the same sale price by the vendor to the vendee.	None
Thus the sale price of the land was agreed upon and fixed on 3151994 as is clear from the recitation of the sale deed itself.	None
I further state that as per assertion of the review petitioner M s Heritage Furniture (P) Ltd. (vendor) and M s Duracell (India) (P) Ltd.	None
(vendee) had common persons in their Board of Directors, namely, Shri Saroj Kumar Poddar, Ms Jyotsana Poddar and Shri Gurbunder Singh Gill.	None
The review petitioner has filed search reports of both the said companies to show that the abovesaid three persons were common Directors of both the companies.	None
However, from the said search report of M s Duracell (India) (P) Ltd.	None
it is clear that the two Directors, namely, Shri Saroj Kumar Poddar and Ms Jyotsana Poddar were appointed as Directors of this company on 961994 whereas Shri Gurbunder Singh Gill was appointed as its Director on 921997.	None
Thus all the three alleged common Directors of the vendor and vendee companies were not on the Board of Directors of M s Duracell (India) (P) Ltd. on or before 3151994 on which date the agreement to sell the land in question was executed and the sale price was fixed.	None
The said three Directors had no interest in M s Duracell (India) (P) Ltd. (vendee) as on 3151994 when the sale price of the land was fixed.	None
I further state that except for making a bald allegation that the sale price of the said land was inflated intentionally so that the vendee company would increase its share holding in a joint venture it was going to enter into with one Duracell Inc. USA, this assertion has not been substantiated by placing any cogent evidence on record.	None
So much so that even it has not been pleaded in the review petition as to whether joint venture between M s Duracell (India) (P) Ltd. and	None
M s Duracell Inc. USA did take place or not.	None
To the knowledge of the deponent there was no joint venture between M s Duracell (India) (P) Ltd. and M s Duracell Inc. USA.	None
This fact that there was no joint venture between the said two companies also stands proved from the fact that the land purchased vide the said sale deed dated 1691994 was sold by M s Duracell (India) (P) Ltd. vide sale deed dated 2842004 to one M s Lattu Finance Investments Ltd. at a sale consideration of Rs 13,62,00,000 i.e. approximately at the rate of Rs 1,13,00,000 (Rupees one crore thirteen lakhs per acre approximately).	None
At the time the name of M s Duracell (India) (P) Ltd. had been changed to M s Gillette India Ltd. on account of its amalgamation with other company.	None
In this sale deed dated 2842004 entire history of purchase of land by M s Duracell (India) (P) Ltd. from M s Heritage Furniture (P) Ltd. in 1994 onwards has been recited, which includes construction of industrial building over the said land, its conversion of status from private limited to public limited company, its amalgamation with Indian Shaving Products Ltd. in the year 2000 and its change of name from Indian Shaving Products Ltd. to Gillette India Ltd. in December 2000 and thereafter its sale to M s Lattu Finance Investments Ltd.	None
However, in the entire recitation there is no mention of any joint venture with M s Duracell Inc. USA.	None
It is submitted by the respondents landowners that the said sale deed (Ext. P1) reflects true market price of the land in the year 1994 when Section 4 notification for the acquired land was issued.	None
The allegation of the review petitioner that the sale deed (Ext. P1) reflects inflated price is false and baseless.	None
It is further submitted that another sale deed dated 1771996 which is on record as (Ext. P9) reflects the market value of the land in one of the acquired villages at Rs 25,00,000 (Rupees twentyfive lakhs) per acre.	None
In this transaction 1 kanal 11 marlas of land situated in Village Naharpur Kasan, has been sold at a price of Rs 4,84,375.	None
This sale deed also proves that the market price of the acquired land in the year 1994 was Rs 20 lakhs per acre.	None
Copy of sale deed dated 1771996 is Annexure R4 hereto.	None
It may be mentioned here that the same purchaser purchased different pieces of land at the same rate vide 15 different sale deeds and the total land purchased was 18 kanals 5 marlas i.e. more than 2.25 acres.	None
Para5 of the replyaffidavit filed on behalf of the landowners who were respondents in Civil Appeal No. 6561 of 2009 That the present review petition is being filed only on the ground that Ext. P1, which has been relied upon by the Honble High Court as well as upheld by this Honble Court was entered into by the corporates which were under the control and management of common Board of Directors and hence it is not the correct market value.	None
In reply thereto the respondents humbly submits that This fact for the first time is brought into notice at the level of this Honble Court, therefore, the review petitioners are estopped by their own conduct.	None
That merely both the corporates have a common Board of Directors does not prove that the sale in between the corporates was at escalated rates, rather it should be on other side i.e. a common Board would have tried to get the sale as possible as on lower rate.	None
Therefore the ground for review is not legally justifiable.	None
It is submitted that later on corporate Gillette India Ltd. made a sale deed (land in issue of Ext. P1) dated 2842004 to another corporate, namely, Lattu Finance Investments Ltd. for a sum of Rs 13,62,00,000 of land measuring 96 kanals and 13 marlas.	None
(i.e. Rupees one crore sixtytwo lakhs per acre).	None
It is submitted that this sale cannot be said to be at an escalated rate and therefore Ext. P1 denotes the correct market value at the relevant time.	None
The copies of the relevant sale deeds are annexed herewith and marked as Annexure R1.	None
It is also submitted that some other sale deeds at the relevant time (2091996) were executed in favour of Time Master (P) Ltd. which came around Rs 25 lakhs per acre.	None
Details of the same are as follows Sl.	None
No.VasikaNo.	None
DateLand soldSaleconsideration 1872520919961K 1MRs3,55,000 2.872620919961K 8MRs3,59,375 3.872720919961K 1MRs3,53,000 4.872820919961K 5MRs4,06,000 5.879920919961K 9MRs3,75,000 6.880720919961K 5MRs4,06,000 7.881520919961K 6MRs4,08,000 8.882520919961K 1MRs3,53,000 9.883220919960K 17MRs2,75,000 10.883920919961K 6MRs4,08,000 11.884620919961K 5MRs4,06,000 12.885420919961K 1MRs3,55,000 13.886120919960K 17MRs2,75,000 Total land sold is 15 kanals 3 marlas, total amount is Rs 47,34,375 i.e. at the rate of Rs 25 lakhs per acre.	None
14. 5431 1771996 1K 11M Rs 4,84,375 i.e. at the rate of Rs 25 lakhs per acre.	None
It is submitted that Sale Deed No. 5431 (at Sl.	None
No. 14) was already produced as Ext. P9 before the Reference Court in favour of Time Master (P) Ltd. by Vinod Kumar (vendor).	None
Thus Time Master India (P) Ltd. purchased total land measuring 16 kanals 14 marlas at the rate of Rs 25 lakhs per acre.	None
It is also relevant to point out the following are the sale transactions in December 2006 of Village Naharpur Kasan Land sold of Village Naharpur Kasan Sl.	None
No.VasikaNo.	None
DateLand soldSaleconsiderationPer acre 186284 12200612K16.5MRs2,56,50,0001,60,00,000 1874251220065K 13MRs1,13,00,0001,60,00,000 1874351220065K 14MRs74,00,0001,60,00,000 19350141220065K 13MRs1,13,00,0001,60,00,000	None
It is also submitted that the rate at which auctionsale of Tower site on acquired land is done on 3062006 is as follows Tower Area in metres Amount of Per square Site No. consideration yard J 6804 Rs 95.10 crores 1,16,865 K 5832 Rs101.50 crores 1,45,518 L 6804 Rs93.00 crores 1,14,284.50 It also submitted the following details of auction by HSIDC IMT, Manesar Auctionsales by HSIDC IMT, Manesar Allotment of SCO sites for shopping booth in Sector 1, IMT, Manesar, auction held on 1882009.	None
Sl.	None
No.	None
Site No. Area in sq m Price of site T1 144 Rs 2,67,50,000 T2 144 Rs 2,33,50,000 T3 144 Rs 2,29,00,000 T4 144	None
Rs 2,29,00,000 T5 144 Rs 2,31,00,000 T7 144 Rs 2,28,00,000 T8 144 Rs 2,25,00,000 T9 144 Rs 2,22,00,000 T10 144	None
Rs 2,16,00,000 D1 108 Rs 1,82,00,000 D2 108 Rs 1,58,00,000 D3 108 Rs 1,62,50,000 D4 108 Rs 1,60,00,000 D5 108 Rs 1,51,00,000 D6 108 Rs 1,38,50,000 D7 108 Rs 1,40,00,000 D8 108 Rs 1,37,00,000 D9 108 Rs 1,35,00,000 D10 108 Rs 1,33,50,000 Total area 2376 sq m, total amount Rs 35,78,50,000 i.e. Rs 1,50,610.26 per metre i.e. Rs 1,25,928.58 per yard i.e. Rs 60,94,94,327 per acre.	None
Allotment of SCO sites for shopping booth in Sector 1, IMT, Manesar, auction held on 1182010 Sl.	None
No.	None
Site No. Area in sq m Price of site D10 108 Rs 2,12,50,000 D12 108 Rs 1,89,50,000 D14 108 Rs 1,90,00,000 D15 108 Rs 1,88,50,000 D16 108 Rs 1,92,00,000 Allotment of triplestoreyed SCO sites in Sector 1, IMT, Manesar, auction held on 1182010 at the following rates Sl.	None
No.	None
Site No. Area in sq m Price of site 1.	None
11 144 Rs 3,03,00,000 2. 12 144	None
Rs 3,00,00,000 3.	None
12A 144	None
Rs 2,87,00,000 Total area 972 sq m allotted for total amount of Rs 18,62,50,000 i.e. Rs 1,91,615.22 per metre i.e. Rs 1,60,213.67 per square yard or Rs 77,54,34,189 per acre.	None
For the land acquired for PhaseII of IMT, Manesar, the Land Acquisition Collector passed award dated 22.7.2003 and determined market value of the acquired land as under Name of the villageChahi per acre in Rs.Bhood per acre in Rs.	None
Banjar per acre in Rs.	None
Gair Mumkin per acre in Rs. Kasan5,25,0005,00,0005,00,0007,50,000 Bas Kusla2,25,0001,75,0001,75,0003,60,000 Naharpur Kasan5,25,0004,00,0004,00,0007,20,000 Manesar7,00,0007,00,0007,00,00010,00,000	None
The landowners did not feel satisfied with the award of the Land Acquisition Collector and filed applications under Section 18 of the Act.	None
The Reference Court relied upon the judgment of the High Court in Pran Sukhs case whereby market value was assessed as Rs.15,00,000 per acre, applied an increase of 12 for the time gap of 7 years 3 months and 21 days and held that the landowners are entitled to compensation at the rate of Rs.28,15,356 per acre with all statutory benefits.	None
The Reference Court also held that its judgment would be subject to the outcome of the cases pending before this Court.	None
For the land acquired for PhaseIII of IMT, Manesar, the Land Acquisition Collector passed award dated 24.12.2003 and assessed the market value of the acquired land as under Name of the villageChahi per acre in Rs.	None
Gair Mumkin per acre in Rs. Kasan5,25,0007,50,000	None
Bas Kusla2,25,0003,60,000 Bas Haria2,25,000 3,60,000 Dhana2,25,0003,60,000	None
The Reference Court relied upon the judgment rendered in relation to the acquisition made vide notification dated 6.3.2002 and held that the landowners are entitled to compensation at the rate of Rs.28,15,849 per acre with all statutory benefits.	None
In the appeals filed by them under Section 54 of the Act, the landowners prayed for further enhancement in the amount of compensation.	None
HSIIDC also challenged the judgments of the Reference Court and prayed that the amount of compensation awarded to the landowners be reduced.	None
In some of the matters cross objections were also filed by the parties.	None
When the appeals and cross objections were taken up for hearing, the learned Single Judge found that the site plans Ext. PW1/1 and P8 did not clearly depict the location of various chunks of land acquired in 1994 and thereafter.	None
Therefore, learned counsel for HSIIDC was asked to submit a plan showing the exact location of the lands acquired in the years 1994 and 2002.	None
Accordingly, a fresh site plan marked A was produced, the correctness of which was not disputed by the counsel appearing for the landowners.	None
The learned Single Judge then took cognizance of the site plan marked A and the acquisitions made for PhasesII to V of IMT, Manesar and proceeded to observe as under The aforesaid facts clearly establish that the area was developing.	None
There was demand for plots.	None
That is the reason that the State also sought to acquire substantial land after acquisition of land for development of PhaseI, regularly after some intervals.	None
It had also come in the crossexamination of R.W.1Dalbir Singh Bhati that 80 of the plots carved out of the land acquired in the year 1994 had already been sold when notification under Section 4 of the Act in the present case was issued.	None
50 thereof had either been built or were under construction.	None
This was the pace of development, which clearly establish that the land in question had potentiality for being used for industrial commercial purposes.	None
In support of their claim for award of higher compensation, the landowners relied upon the judgment of this Court in Pran Sukhs case and the allotments made by HSIIDC and its predecessor to various persons.	None
The learned Single Judge did take cognizance of the allotments made vide Exhibits P4 to P7 but declined to rely upon them for determination of the compensation payable to the landowners.	None
This is evinced from paragraphs 25 and 26 of the impugned judgment, which are extracted below In addition to that, reference was made to four allotment letters, namely, Ex. P4 to Ex. P7, the details of which are as under Ex.	None
DateArea in sq. metersAmount of Consideration in Rs.Rate per sq. yard in Rs.	None
P42.2.200030,0004.50 crores1,371.60 P530.6.20066,80495.10 crores1,27,806.77 P630.6.20065,832101.50	None
crores1,74,039.78 P730.6.	None
20066,80493.00 crores1,36,684.30	None
The aforesaid plots were big chunks of land.	None
The average sale consideration paid therein was stated to be Rs.1,25,608.67 per square yard.	None
However, the fact is that these plots were sold in open auction for commercial purpose and more than 4 years after the issuance of notification under Section 4 of the Act and that too carved out of the land, which had already been acquired in the year 1994 and located quite close to National Highway No.8.	None
Reference had also been made to allotment letter dated 2.2.2000 (Ex.P38) pertaining to plots No. 13, 14 and 15, Sector 5, IMT, Manesar, whereby 30,000 square meters of land was allotted for Rs.4,50,00,000/ at an average price of Rs.1,254.72 per square yard.	None
The aforesaid allotment was two years prior to the acquisition in question.	None
However, the fact remains that even the aforesaid plots were also carved out of the land acquired in the year 1994.	None
The learned Single Judge then noted that the State and HSIIDC did not adduce any documentary evidence to support the award made by the Collector and observed As against the evidence led by the landowners, the State or even HSIIDC did not lead any documentary evidence to justify the award of the Collector by showing any sale transaction pertaining to agricultural land in the area.	None
This is not a case in isolation of the type.	None
A lot of hue and cry is raised by the agencies of the State for whose benefit the land is acquired that they should be heard before assessment of compensation at every stage, but the experience is that it is very rare that in any case they lead evidence or raise any effective argument in the court below and many a times, even in this Court.	None
The learned Single Judge finally relied upon the judgment of this Court in Pran Sukhs case and held that the landowners are entitled to compensation at the rate of Rs.37,40,000 per acre.	None
The reasons recorded by the learned Single Judge for arriving at this conclusion are contained in paragraphs 29 and 30 of the impugned judgment, which are extracted below 29.	None
From the appreciation of evidence produced on record, in my opinion, the price of the agricultural land, which was acquired in the year 1994, as determined by Honble the Supreme Court in Pran Sukhs case (supra), can very well be taken as base for assessment of value of the acquired land, which also on the date of notification was being put to agricultural use.	None
The additional advantage available at the time of acquisition of the land in question was that the area in the vicinity had started developing during interregnum of 78 years after the first acquisition in the year 1994.	None
The value of the land, which was being put to agricultural use and was in the vicinity of the land already acquired cannot be determined at the same rate at which the plots were being sold by way of allotment or auction in the already developed area but those prices are certainly the guiding factors for determination of rate at which the increase should be awarded, which in my opinion, should be 12 per annum.	None
Taking the same into account and considering the time gap in the two acquisition being 7 years and 3 months, the value of the land is determined at Rs.37,40,000/ per acre.	None
The landowners shall also be entitled to the statutory benefits available to them under the Act.	None
The aforesaid value will be quite close if we consider the valuation of land from different angle, i.e., considering the allotment of 30,000 square meters of land vide allotment letter (Ex.P38)	None
Rs.1254/ per square yard on 2.2.2000, granting increase thereon 12 per annum and reducing 50 therefrom on account of various factors.	None
The learned Single Judge separately considered the claim of M s. Kohli Holdings Private Limited which had filed R.F.A. No.4646 of 2010.	None
He took cognizance of the location of 69 kanals 15 marlas land belonging to M s. Kohli Holdings Private Limited on National Highway 8 with frontage of two acres and the existence of a five star hotel and a resort on the adjoining land.	None
The learned Single Judge relied upon allotment of 30,000 square meters land made by HSIIDC vide Exhibit P38 to M s. Orient Craft Limited (sister concern of M s. Kohli Holdings Private Limited) at the rate of Rs.1,254 per square yard, granted an annual increase of 15 on that price and awarded compensation at the rate of Rs.2119 per square yard (Rs.1,02,55,960 per acre).	Reasoning
Paragraphs 31, 33 and 34 of the impugned judgment which exclusively deal with the case of M s. Kohli Holdings Private Limited are as under As far as value of the land owned by M s Kohli Holdings Private Limited (R.F.A. No.4646 of 2010) is concerned, the same has to be determined separately.	None
This fact was not even disputed by learned counsel for HSIIDC and rightly so for the reason that the aforesaid portion of 69 kanals and 15 marlas is located on National Highway No.8 with frontage of two acres.	None
Even from the back side also, it has connection from a link road.	None
It was also not disputed that adjoining thereto is a five star hotel and a resort.	None
The other area adjoining to it, which was earlier acquired by the State in the year 1994, had already been developed.	None
Even on the other side of National Highway No.8, opposite the acquired land, the area had already been developed as Housing Project for industrial workers.	None
The value of this land cannot be assessed merely at the rates, which have been granted to the owners of land which is located 45 kilometers from National Highway No.8.	None
The aforesaid sale transaction having taken place two years prior to the issuance of notification under Section 4 of the Act and looking at the pace of development close to the acquired land, in my opinion, increase 15 per annum can very well be added in the value, as is evident in Ex P38.	None
Adding the same, the value of the land will come out to Rs.1,630/ per square yard.	None
The aforesaid plot is located about one kilometer inside from National Highway No.8, though in the developed industrial estate, but as against that, the acquired land is abutting the National Highway with frontage of two acres out of 69 kanals and 15 marlas owned by the appellantlandowner.	None
The value of the land on National Highway is always more as against the value of the land, which is located off the road.	None
It has its own advantages.	None
There are certain limitations for which the land located off the main road can be used, but as far as the land located on the National Highway or the State Highway is concerned, it can be put to many uses, to which the land located off the road may not be appropriately used.	None
Considering the aforesaid facts, in my opinion, applying a thumb rule, an addition of 30 thereon can very well be added on account of special locational advantage available to the land in question.	None
Adding the same, the value of the land owned by	None
M s Kohli Holdings Pvt. Ltd. (R.F.A. No.4646 of 2010) is assessed at Rs.2,119/ per square yard.	None
The land owner shall also be entitled to the statutory benefits available under the Act.	None
Although in the special leave petitions filed by HSIIDC several grounds have been taken for challenging the judgment of the learned Single Judge, the only point urged by Shri Parag P. Tripathi, learned senior counsel appearing on its behalf is that the escalation of 12 granted by the learned Single Judge in the amount of compensation determined by this Court in Pran Sukhs case is excessive and is not in consonance with the law laid down by this Court.	None
He relied upon the judgment of this Court in Oil and Natural Gas Corporation Limited v. Rameshbhai Jivanbhai Patel and another (2008) 14 SCC 745 and argued that while assessing market value of a large chunk of land, the Court cannot award more than 7.5 escalation in the market value determined in respect of similar parcels of land.	None
Learned senior counsel emphasized that HSIIDC had to spend a substantial amount on carrying out development and argued that this factor should have been taken into consideration by the learned Single Judge while fixing market value of the acquired land.	None
Shri Tripathi also criticized the impugned judgment insofar as it relates to the award of compensation at the rate of Rs.1,02,55,960 per acre in the case of M s. Kohli Holdings Private Limited by arguing that in view of several statutory restrictions on the development of land along National Highway 8, the landowners could not have been awarded higher compensation.	None
Shri V.K. Bali, learned senior counsel, and other learned counsel appearing for the landowners, who are the appellants in various appeals except the appeals arising out of SLP(C)	None
No.18044 of 2011 (R.F.A. No.4278 of 2010) and SLP(C)	None
No.21030 of 2011 raised several contentions in support of their clients prayer for grant of further enhancement in the amount of compensation determined by the learned Single Judge of the High Court.	None
Their main contentions are enumerated below The High Court committed an error by not awarding higher compensation to all the landowners as was done in the case of M s. Kohli Holdings Private Limited.	None
The impugned judgment suffers from the vice of discrimination inasmuch as M s. Kohli Holdings Private Limited has been allowed 15 increase over and above the price for which 30,000 square meters land was allotted to M s. Orient Craft Limited whereas the other landowners were allowed only 12 increase.	None
Likewise, they were not given an additional 30 amount as was done in the case of M s. Kohli Holdings Private Limited.	None
The learned Single Judge committed an error by not clarifying that the landowners shall be entitled to the benefit of annual increase on cumulative basis.	None
Though the land of M s. Kohli Holdings Private Limited appears to have special locational advantage inasmuch as it is adjacent to National Highway 8, the development potential of land belonging to other landowners is much higher because the same is located between two highways, i.e., National Highway 8 and KMP Express Way and a 60 meter road connects that land and National Highway 8.	None
The learned Single Judge committed an error by not relying upon Exhibit PW9/A dated 23.11.1999 by which HSIIDC allotted 26.778 acres land to M s. Honda Motorcycles and Scooters India (Private) Limited at the rate of Rs.1254.18 per square yard for manufacture of two wheelers three wheelers.	None
Even if 40 deduction is made towards development cost, as was done in Sanath Kumar v. Special Tahsildar and another (2011) 12 SCC 404 and cumulative increase of 15 is given, the landowners will be entitled to compensation at a much higher rate.	None
25.	None
Shri Dushyant Dave, learned senior counsel appearing for M s. Kohli Holdings Private Limited vehemently argued that the learned Single Judge of the High Court committed an error by not awarding higher compensation to his client in the light of the auction sale conducted by HSIIDC in 2006.	Arguments of Petitioner
He submitted that even though these auctions were conducted about four years after finalization of the acquisition proceedings, the rate at which the land was sold should be taken into consideration for the purpose of fixation of market value because no other tangible evidence was available for that purpose.	Arguments of Petitioner
He relied upon the judgment in Executive Engineer, Karnataka Housing Board vs. Land Acquisition Officer, Gadag and others (2011) 2 SCC 246 and submitted that in the absence of private sale transactions, auction sale conducted by the beneficiary of acquisition can be relied upon for the purpose of fixing market value.	Arguments of Petitioner
