 	Issue
That petition was disposed of by the Division Bench of the High Court on 26.4.2000 by taking cognizance of the statement made by the Counsel appearing for the Delhi Development Authority that a decision had been taken not to release land of appellant No.1 from acquisition.(vii)The orders passed by the High Court in CWP Nos. 1811/1995, 4343/1997 and 5493/1999 were challenged before this Court in S.L.P. (C) Nos. 15017, 15216 and 19741 of 2000 on several grounds including the following Because the petitioner society having been created by Rai Sahib Kedar Nath, Retired District Judge, Punjab thereby dedicating all his movable and immovable properties, for Charitable purposes establishing to run the schools and colleges for public charity of education covered under and or is Wakf and property held is or in the nature of a waqf property even if the Wakf Act may not be applicable to such society being not attached to any specific caste and or religion.(iv)Because a notification issued under the provisions of the Land Acquisition Act also being Law is liable to be struck down if it is contrary to the fundamental rights guaranteed under Part III of the Constitution of India, as in view of the decision of this Honble Court in Indian Express Newspapers v. Union of India, reported at (1985) 1 SCC 641 , para 83 at 693.(v)Because any law and or notification under the statute i.e. the Land Acquisition Act being discriminatory on ground of caste or religion is liable to be declared as ultra vires of the Constitution and must be quashed as a whole.	Facts
(Emphasis supplied) All the special leave petitions were disposed by this Court on 4.2.2002 in the following termsWe have heard Mr. Shanti Bhushan, learned Senior Counsel, appearing for the petitioners.	None
We are not satisfied that this petition merits further consideration by this Court.	Facts
However, it is pointed out that in spite of the directions issued by the High Court that the representation filed by the petitioners before the Lt. Governor of Delhi for considering their case for denotification of the land in question has not been disposed of till date.	Facts
If that be so we direct that the application so filed will be disposed of within a period of six weeks from today.	None
In compliance of the direction given by the High Court and this Court Lt. Governor, Delhi passed order dated 18.6.2002 and rejected the prayer of appellant No. 1 for denotification of its land by recording the following reasons I have gone through all the papers on record and have considered the matter at length.	Facts
Possession of area admeasuring 563 bighas 07 biswas was taken by DDA on as is where is basis as land was not physically vacant.	Facts
The said area is replete with factories.	Facts
The Anand Parbat Industrial Area as it has come to be popularly known, has come up in a haphazard and unplanned manner and has over the years, also become degraded and decrepit.	Facts
The congested and unsystematic growth of factories in the area has turned it into a veritable public hazard.	Facts
Safety considerations are wanting.	Facts
Most of the lanes are too narrow for a fire tender to enter.	Facts
The electricity distribution system is problematic.	Facts
The other infrastructure and basic services are also inadequate.	Facts
Apart from being a congested and degraded cluster of factories operating in suboptimal conditions, the area is also hazardous where public safety requirements warrant early remedial measures.	Facts
The area is mentioned in the Master Plan of Delhi as Industrial.	None
There are thus sound and compelling reasons to effect redevelopment of the area in the overall public interest.	None
For this the entire land mass needs to be physically taken over, planned, roads and lanes straightened and widened to the extent feasible and new infrastructure laid down as per the plans.	Facts
Institutional services like fire service, electricity substations, etc. will have to be properly located.	Facts
A redevelopment plan on these lines has, in fact, been prepared after consulting the occupants.	Facts
The only possible way to achieve implementation of the redevelopment plan is through land acquisition.	Facts
Without physically taking over the entire chunk of land, laying of infrastructure as per the redevelopment plans will not be possible.	Facts
Nor is it desirable or safe to delay any longer redevelopment of the area, which is an imminent necessity.	None
For the aforesaid considerations, I do not find it prudent, desirable or feasible to denotify the said chunk of land.	Facts
Denotification of 67 bighas 14 biswas land has already been made in favour of the petitioners who have thereby received a fair degree of consideration from the Government already.	Facts
Any further denotification will be contrary to public interest and as such cannot be made.	Facts
The petitions representations in this regard are hereby disposed of accordingly.	Facts
Appellant No. 1 challenged the order of the Lt. Governor in W.P. No. 5138/2002, which was dismissed by the Division Bench of the High Court by detailed judgment dated 6.2.2004.	Facts
S.L.P. (C) No. 7026 of 2004 filed against that judgment was dismissed as withdrawn.8.	Facts
Mr. R. Venkataramani, learned Senior Counsel for the appellants reiterated the argument made before the High Court that in view of Clause (d) of notification dated 13.11.1959, the land of the appellant was liable to be excluded from acquisition because it was a Wakf property.	Arguments of Petitioner
Learned Counsel argued that the dedication of land by Rai Sahib Kedar Nath was for a charitable purpose and this, by itself, is conclusive evidence of his intention to create a Wakf.	Arguments of Petitioner
Learned Counsel emphasized that dedication made by Rai Sahib Kedar Nath was without any reservation in favour of any beneficiary as trustee or otherwise and, as such, the land in question became part of Wakf property and argued that the same could not be acquired in the name of planned development of Delhi.	Arguments of Petitioner
Learned Counsel invited the Courts attention to the amended definition of Wakf contained in Section 3(1) of the Wakf Act, 1954 and argued that a nonMuslim can also create Wakf.	None
Learned Senior Counsel submitted that there is no injunction under the uncodified or codified Muslim Law against dedication of property to a charitable purpose recognized by Muslim Law by a nonMuslim or a person not professing the Islamic faith.	Arguments of Petitioner
He further submitted that merely because Rai Sahib Kedar Nath was a Hindu and had performed havan, etc. before renouncing the property in favour of the Society for a charitable purpose is not sufficient to deny benefit of exemption to appellant No. 1 in terms of Clause (d) of notification dated 13.11.1959.	Arguments of Petitioner
Learned Counsel further argued that exemption clause contained in notification dated 13.11.1959 should be liberally construed in a manner which will benefit dedication made for charitable purpose irrespective of caste and or religion, else the impugned notification will become discriminatory and violative of Articles 14 and 15 of the Constitution.	Arguments of Petitioner
In support of his arguments, learned Counsel produced three compilations of which one contains copies of the orders passed by the Delhi High Court, this Court as also the one passed by the Lt. Governor of Delhi and a copy of notification dated 4.4.2002 issued under Section 48 of the Act for release of 67 bighas 14 biswas of land of village Sadhora Khurd.	Arguments of Petitioner
The second volume contains extracts of text books and commentaries on Mohammedan Law Muslim Law and the third volume contains compilation of various judgments.	Arguments of Petitioner
During the course of submissions, Shri Venkataramani produced a fresh compilation of the list of dates incorporating therein the developments which have taken place after filing of the special leave petition.	Arguments of Petitioner
This compilation shows that the area in which land of appellant No.1 is situated has developed as a residential locality and is recognized as unauthorized colony for the purpose of regularization that some parts of the land have also been developed as Anand Parbat Industrial Area and the Delhi Development Authority has invited applications and declarations from the residents unauthorized occupants of Anand Parbat Industrial Area for deciding the licence fee.	Arguments of Petitioner
The appellants have also claimed that they are running 19 schools and one degree college and one Sports and Mountaineering Institute at Chowkri Mubarikabad.	Arguments of Petitioner
Mr. Amarendra Sharan, Senior Advocate and Mr. Vishnu B. Saharya, Advocate appearing for the Delhi Development Authority and Mrs. Gita Luthra, Senior Advocate and Mr. D.N. Goburdhun, Advocate appearing for the Union of India supported the impugned judgment and argued that the appeal should be dismissed as a frivolous piece of litigation.	Arguments of Respondent
Learned Counsel extensively referred to the judgment in Ramjas Foundation v.Union of India (supra), order dated 4.2.2002 passed in S.L.P.(C)	Arguments of Respondent
No. 15017/2000 and connected matters	Arguments of Respondent
and	Arguments of Respondent
argued that when this Court has already negatived the plea of appellant No. 1 that the property situated at Sadhora Khurd is a Wakf property and is exempted from acquisition, the appellants cannot resurrect the same plea in respect of the land situated at Chowkri Mubarikabad.	Arguments of Respondent
Learned Counsel then argued that the appellants claim for exemption was rightly rejected by the learned Single Judge and the Division Bench of the Delhi High Court because no evidence was produced to prove that Rai Sahib Kedar Nath had created a Wakf and the property transferred to the Society became a Wakf property.	Arguments of Respondent
Mr. Amarendra Sharan emphasized that renouncement of property by Rai Sahib Kedar Nath in favour of the Society formed by him for educational purposes did not result in creation of a Wakf and the property did not become Wakf property because the dedication made by him was preceded by Samarpan and Sankalp which are well known concepts of Hindu Law.	Arguments of Respondent
Another argument of the learned senior Counsel is that Clause (d) of notification dated 13.11.1959 cannot be interpreted as including every dedication of property for charitable purpose and the expression Wakf property must be given a restricted interpretation so as to include the property attached to the Wakf created by Muslims only.	Arguments of Respondent
We have considered the respective submissions.	Reasoning
In our view, the appeal deserves to be dismissed because the appellants have not approached the Court with clean hands.	Reasoning
In Ramjas Foundation v. Union of India, acquisition of the land situated at Sadhora Khurd was challenged on the ground of violation of Section 5A of the Act and also on the ground that land in question is exempted from acquisition because it is a Wakf property.	Reasoning
Another plea taken by appellant No. 1 was that if the land belonging to educational and charitable institutions established by Hindus and nonMuslims is not treated as Wakf property, then the exemption Clause (d) is liable to be declared void for violation of Article 14 of the Constitution.	Reasoning
While rejecting the argument that the acquisition proceedings were vitiated due to violation of Section 5A of the Act, this Court noted that the appellants had made a patently incorrect statement on the issue of denial of opportunity of personal hearing and observed As regards the objection of the violation of the mandatory provisions of Section 5A of the Act in not affording an opportunity of personal hearing while deciding such objections, we granted an opportunity to the learned Additional Solicitor General to place material after examining the original record.	None
We granted this opportunity to the respondents on account of the reason that the writ petition had been dismissed by the High Court in limine without issuing notice to the respondents and as such the respondents had not been given any opportunity before the High Court to place any material to refute the allegations made by the appellants in this regard.	None
The Additional Solicitor General during the course of the hearing of the matter placed an order of the Land Acquisition Collector, Delhi dated February 23, 1968 which has been taken on record and for the purposes of identification has been marked as	None
Annexure X.	None
A copy of the said Annexure X was also given to the learned Counsel for the appellants.	None
A perusal of the aforesaid order dated March 22, 1968 clearly shows that the Ramjas Foundation Society was represented through Mr. Ratan Lal Gupta, Advocate who was given a personal hearing.	None
From a perusal of the aforesaid document Annexure X dated February 23, 1968 it is clear that full opportunity of hearing through Counsel was afforded to the Ramjas Foundation.	None
It has been further mentioned in this order that the Ramjas Foundation Society was also allowed to file fresh objections if so desired, but Mr. Ratan Lal Gupta, learned Advocate for the petitioner Society declined and stated that there was nothing more to add in the previous objection petition.	None
After bringing the said document Annexure X to the notice of the learned Counsel for the appellants, no satisfactory explanation or argument came forward on behalf of the appellants.	None
The conduct of the appellants in raising the plea that no opportunity of personal hearing was given to the appellants in respect of the objections filed under Section 5A of the Act was totally baseless and factually incorrect and such conduct is reprehensible.	None
It is well settled that a person invoking an equitable extraordinary jurisdiction of the Court under Article 226 of the Constitution is required to come with clean hands and should not conceal the material facts.	None
The objection regarding not affording an opportunity of personal hearing in respect of objections filed under Section 5A of the Act was one of the main planks of the grounds raised in the writ petition as well as in the special leave petition filed before this Court and ought we know if such ground had not been taken this Court would have entertained this appeal or not.	None
The appellants have taken the advantage of obtaining the stay order also from this Court which is continuing for the last 14 years as the special leave petition was filed in 1978 itself.	None
It may be further noted that a common objection petition under Section 5A of the Act in respect of both the lands situated in Mubarikabad as well as in Sadhurakhurd was filed on December 11, 1959 through Shri Ratan Lal Gupta, Advocate.	None
The said objections were heard in the presence of Shri Ratan Lal Gupta, Advocate and disposed of by one common order Annexure X and we cannot believe an ipse dixit explanation made orally during the course of arguments on behalf of the appellants that they had no knowledge of any personal hearing being given to Shri Ratan Lal Gupta, Advocate.	None
It is also important to note that no such objection was taken in respect of land in Mubarikabad.	None
(Emphasis supplied)	None
The Court also criticized appellant No. 1 for playing a game of hide and seek and observed It may be noted that the reference with regard to suit No. 451 of 1971 decided on March 21, 1977 is in respect of the land of petitioners situated in Mubarikabad.	None
It is surprising that though the opportunity was sought for filing a fresh suit, the appellants again filed a Writ Petition No. 106 of 1978 in the High Court on January 7, 1978 which was ultimately dismissed by the High Court in limine on January 31, 1978 by a Division Bench comprising T.P.S. Chawla and Awadh Behari, JJ.	None
In this Writ Petition No. 106 of 1978 the appellants conveniently omitted to mention that the permission to withdraw the Petition No. 213 of 1973 was granted on the statement of Mr. M.C. Gupta that his clients reserved the liberty to file a fresh suit and not writ.	None
Thus no liberty was sought or given for filing a fresh writ petition.	None
In any case there were no fresh ground or circumstances available to the appellants to file a fresh Writ Petition No. 106 of 1978 on January 7, 1978 on identical grounds when the earlier Writ Petition No. 213 of 1973 had been dismissed as withdrawn on March 30, 1977.	None
Nothing had happened between March 30, 1977 and January 7, 1978 for giving a fresh cause of action to the appellants to file the Writ Petition No. 106 of 1978.	None
Awadh Behari, J. had dismissed the suit No. 451 of 1971 by order dated March 21, 1977 in regard to the lands in Mubarikabad and he was also one of the Judges of the Division Bench who passed the impugned order dated January 31, 1978 dismissing the writ petition in limine as he was fully aware of the entire background of this litigation.	None
The appellants are themselves responsible for creating confusion in initiating separate proceedings at different periods of time in respect of the lands situated in Mubarikabad and Sadhurakhurd though challenge to the acquisition proceedings was on common grounds.	None
Learned Counsel for the appellants was unable to satisfy in respect of such conduct of hide and seek on the part of the appellants.	None
In case, as sought to be explained by Mr. Tarkunde, learned senior Counsel for the appellants, the appellants were depending on the result of the civil suit filed in respect of the lands situated in Mubarikabad there was no justification for filing the Writ Petition No. 213 of 1973 in respect of the land situated in Sadhurakhurd as the suit was not decided in 1973 but was in fact dismissed on March 21, 1977.	None
We find no justification for filing the writ petition in respect of the land situated in Sadhurakhurd in 1973 and subsequently withdrawing the writ petition on March 30, 1977 reserving the liberty to file a fresh suit but thereafter again filing the writ petition on January 7, 1978 instead of suit.	None
(Emphasis supplied)	None
In S.L.P.(C)	None
No. 15017/2000 and connected matters, appellant No. 1 had specifically raised a plea that its property is exempted from acquisition because it is a Wakf property, but failed to convince the Court to nullify the acquisition proceedings on that ground.	None
A careful reading of the judgment in the Ramjas Foundation v. Union of India (supra) and the order passed in the special leave petitions clearly shows that even though the question whether the land belonging to appellant No. 1 is exempted from acquisition in terms of Clause (d) of notification dated 13.11.1959 was not decided in the first case and the appeal was dismissed mainly on the ground of delay and contumacious conduct of the appellants, that question will be deemed to have been answered in negative in the second case because in the special leave petitions it was specifically pleaded that the land belonging to appellant No. 1 is exempted from acquisition being Wakf property and this Court held that there was no merit in the appellants case.	None
It is true that the Court did not record detailed reasons for not entertaining the special leave petitions but use of the expression we are not satisfied that this petition merits further consideration by this Court clearly shows that the claim of exemption was turned down by this Court.	None
If appellant No. 1 did not feel satisfied with order dated 4.2.2002 and felt that its claim for exemption under clause (d) of notification dated 13.11.1959 was on firm footing, then it could have applied for review of that order.	None
However, as the subsequent events reveal, instead of questioning correctness of order dated 4.2.2002, appellant No.1 accepted the negation of its claim based on Clause (d) of the notification and vigorously pursued the case for denotification of the land and partially succeeded inasmuch asvide notification dated 4.4.2002 issued under Section 48 of the Act, the Lt. Governor released 67 bighas 14 biswas of the acquired land.	None
Strangely, in the list of dates of the special leave petition out of which this appeal arises, there is not even a whisper about large number of cases filed by appellant No. 1 challenging the acquisition of land situated at village Sadhora Khurd, the grounds on which the challenge was founded and the orders passed by the High Court and this Court.	None
The appellants also suppressed the fact that after dismissal of the first appeal by the Division Bench of the High Court, possession of the land was taken by the Land Acquisition Collector on 13.7.2001 and transferred to the Delhi Development Authority.	None
What could be the possible reason for these omissions?	None
Any person of reasonable prudence will at once respond to this question by saying that sole object of not disclosing the facts relating to other cases was to keep the Court in dark about rejection of challenge to the acquisition of a portion of land which the appellants are claiming to be Wakf property.	None
We have no doubt that the appellants did so for the purpose of persuading this Court to pass an interim order and they succeeded in this venture because while issuing notice on 26.11.2001, this Court directed that there shall be stay of dispossession.	None
The principle that a person who does not come to the Court with clean hands is not entitled to be heard on the merits of his grievance and, in any case, such person is not entitled to any relief is applicable not only to the petitions filed under Articles 32, 226 and 136 of the Constitution but also to the cases instituted in others Courts and judicial forums.	None
The object underlying the principle is that every Court is not only entitled but is duty bound to protect itself from unscrupulous litigants who do not have any respect for truth and who try to pollute the stream of justice by resorting to falsehood or by making misstatement or by suppressing facts which have bearing on adjudication of the issue(s) arising in the case.	None
In Dalglish v. Jarvie, 2 Mac.	None
G. 231, 238, Lord Langdale and Rolfe B. observed It is the duty of a party asking for an injunction to bring under the notice of the Court all facts material to the determination of his right to that injunction and it is no excuse for him to say that he was not aware of the importance of any fact which he has omitted to bring forward.	None
In Castelli v. Cook, (1849) 7 Hare 89, 94 Wigram V.C. stated the rule in the following words A plaintiff applying ex parte comes under a contract with the Court that he will state the whole case fully and fairly to the Court.	None
If he fails to do that, and the Court finds, when other party applies to dissolve the injunction, that any material fact has been suppressed or not property brought forward, the plaintiff is told the Court will not decide on the merits, and that, as he has broken faith with the Court, the injunction must go.	None
In Republic of Peru v. Dreyfus Brothers Company, 55 LT 802, 803, Kay J. held as under I have always maintained, and I think it most important to maintain most strictly, the rule that, in ex parte applications to this Court, the utmost good faith must be observed.	None
If there is an important misstatement, speaking for myself, I have never hesitated, and never shall hesitate until the rule is altered, to discharge the order at once, so as to impress upon all persons who are suitors in this Court the importance of dealing in good faith in the Court when ex parte applications are made.	None
The same rule was restated by Scrutton L., J in R. v. Kensington Income Tax Commissioner, (1917) 1 KB 486.	None
The facts of that case were that in April, 1916, the General Commissioners for the Purposes of the Income Tax Acts for the district of Kensington made an additional assessment upon the applicant for the year ending April 5, 1913, in respect of profits arising from foreign possessions.	None
On May 16, 1916, the applicant obtained a rule nisi directed to the Commissioners calling upon them to show cause why a writ of prohibition should not be awarded to prohibit them from proceeding upon the assessment upon the ground that the applicant was not a subject of the King nor resident within the United Kingdom and had not been in the United Kingdom, except for temporary purposes, nor with any view or intent of establishing her residence therein, nor for a period equal to six months in any one year.	None
In the affidavit on which the rule was obtained the applicant stated that she was a French subject and resident in France and was not and had not been a subject of the United Kingdom nor a resident in the United Kingdom that during the year ending April 5, 1913, she was in the United Kingdom for temporary purposes on visits for sixtyeight days that she spent about twenty of these days in London at her brothers house, 213, Kings Road, Chelsea, generally in company with other guests of her brother that she was also in the United Kingdom during the year ending April 5, 1914, for temporary purposes on visits, and spent part of the time at 213, Kings Road aforesaid and that since the month of November, 1914, she had not been in the United Kingdom.	None
From the affidavits filed on behalf of the Commissioners and of the surveyor of taxes, who showed cause against the rule nisi, and from the affidavit of the applicant in reply, it appeared that in February, 1909, a leasehold house, 213, Kings Road, Chelsea, had been taken in the name of the applicants brother.	None
The purchasemoney for the lease of the house and the furniture amounted to 4000, and this was paid by the applicant out of her own money.	None
The accounts of household expenses were paid by the brother and subsequently adjusted between him and the applicant.	None
The Divisional Court without dealing with the merits of the case discharged the rule on the ground that the applicant had suppressed or misrepresented the facts material to her application.	None
The Divisional Court observed that the Court, for its own protection is entitled to say we refuse this writ of prohibition without going into the merits of the case on the ground of the conduct of the applicant in bringing the case before us.	None
On appeal, Lord CozensHardy M.R. and Warrington L.J. approved the view taken by the Divisional Court.	None
Scrutton L.,J. who agreed that the appeal should be dismissed observed and it has been for many years the rule of the Court, and one which it is of the greatest importance to maintain, that when an applicant comes to the Court to obtain relief on an ex parte statement he should make a full and fair disclosure of all the material facts facts, not law.	None
He must not misstate the law if he can help it the Court is supposed to know the law.	None
But it knows nothing about the facts, and the applicant must state fully and fairly the facts, and the penalty by which the Court enforces that obligation is that if it finds out that the facts have not been fully and fairly stated to it, the Court will set aside any action which it has taken on the faith of the imperfect statement.	None
The above noted rules have been applied by this Court in large number of cases for declining relief to a party whose conduct is blameworthy and who has not approached the Court with clean hands Hari Narain v. Badri Das, AIR 1963 SC 1558 Welcome Hotel v. State of A.P., (1983) 4 SCC 575 G. Narayanaswamy Reddy v. Government of Karnataka, (1991) 3 SCC 261 S.P. Chengalvaraya Naidu v. Jagannath, (1994) 1 SCC 1 A.V. Papayya Sastry v. Government of A.P., IV (2007)	None
SLT 777II (2007) CLT 322 (SC)(2007) 4 SCC 221 Prestige Lights Limited v. SBI, VII (2007)	None
SLT 440III (2007)	None
CLT 296 (SC)IV (2007) BC 240 (SC) (2007) 8 SCC 449 Sunil Poddar v. Union Bank of India, I (2008)	None
SLT 521I (2008) CLT 135 (SC)(2008) 2 SCC 326 K.D.	None
Sharma v. SAIL, VIII (2008)	None
SLT 2IV (2008) CLT 157 (SC)IV (2008) BC 557 (SC)(2008) 12 SCC 481 G. Jayashree v. Bhagwandas S. Patel, I (2009)	None
SLT 231II (2009) CLT 61 (SC)(2009) 3 SCC 141 and Dalip Singh v. State of U.P., IX (2009)	None
SLT 167(2010) 2 SCC 114.	None
In the last mentioned judgment, the Court lamented on the increase in the number of cases in which the parties have tried to misuse the process of Court by making false and or misleading statements or by suppressing the relevant facts or by trying to mislead the Court in passing order in their favour and observed For many centuries Indian society cherished two basic values of life i.e. satya (truth) and ahimsa (nonviolence).	None
Mahavir, Gautam Buddha and Mahatma Gandhi guided the people to ingrain these values in their daily life.	None
Truth constituted an integral part of the justicedelivery system which was in vogue in the preIndependence era and the people used to feel proud to tell truth in the Courts irrespective of the consequences.	None
However, postIndependence period has seen drastic changes in our value system.	None
The materialism has overshadowed the old ethos and the quest for personal gain has become so intense that those involved in litigation do not hesitate to take shelter of falsehood, misrepresentation and suppression of facts in the Court proceedings.	None
In the last 40 years, a new creed of litigants has cropped up.	None
Those who belong to this creed do not have any respect for truth.	None
They shamelessly resort to falsehood and unethical means for achieving their goals.	None
In order to meet the challenge posed by this new creed of litigants, the Courts have, from timetotime, evolved new rules and it is now well established that a litigant, who attempts to pollute the stream of justice or who touches the pure fountain of justice with tainted hands, is not entitled to any relief, interim or final.	None
(Emphasis supplied)	None
In our view, the appellants are not entitled to any relief because despite strong indictment by this Court in Ramjas Foundation v. Union of India, they deliberately refrained from mentioning details of the cases instituted by them in respect of the land situated at Sadhora Khurd and rejection of their claim for exemption under Clause (d) of notification dated 13.11.1959 by the High Court and this Court.17.	Reasoning
Notwithstanding the above noted conclusion, we have thought it proper to deal with the issue raised in the appeal on merits.	Reasoning
The institution of Wakf owes its origin to a rule laid down by the prophet of Islam.	Reasoning
It means the tying up of property in the ownership of God the Almighty and the devotion of the profits for the benefit of human beings.	Reasoning
When once it is declared that a particular property is Wakf, or any such expression is used as implies Wakf, or the tenor of the document shows, if there is a Wakfnama that a dedication to pious or charitable purpose is meant, the right of Wakif is extinguished and the ownership is transferred to the Almighty.	Reasoning
