 SANJIV KHANNA, J. Applications seeking intervention impleadment are allowed.	Decision
But, the DGFT, a statutory authority under the provisions of FTDR Act, was not authorised to authenticate issue an order amending or modifying the EXIM policy as this power vests with the Central Government in terms of subsection (2) to Section 3, readwith subsection (3) to Section 6 of the FTDR Act, which states that powers exercisable under Section 3, 5,15,16 and 19 of the FTDR Act cannot be delegated to the DGFT or any other officer subordinate to the Director General.	Facts
Section 19(3) of the FTDR Act provides that every rule or every order passed by the Central Government shall be laid, as soon as may be after it is made, before each House of the Parliament while it is in session or thereafter.	None
The impugned notifications had not been laid before the Houses of the Parliament.	Facts
The Notifications and trade notices suffer from the vires and defects mentioned by this Court in Director General of Foreign Trade and Another v. Kanak Exports and Another.	Facts
(2016) 2 SCC 226.	Facts
The notifications and the trade notices offend the right to equality and violate Article 14 of the Constitution.	Facts
The Writ Petitions filed by M s. Hira Traders were dismissed by the Madras High Court on 4 th April 2019.	Facts
The Bombay High Court dismissed akin Writ Petitions filed by M s. Taj Agro Commodities Pvt. Ltd. and others on 3 rd July 2018.	Facts
Similarly, Writ Petitions filed by M s. Premium Pulses Products and others were dismissed by the Gujarat High Court on 19 th December 2018.	Facts
The Madhya Pradesh High Court had also dismissed similar petitions including the petition filed by M s. Siddhi Vinayak and another, vide judgment dated 25 th October 2018.	Facts
Judgment of the Gujarat High Court was challenged before this Court in Special Leave Petition (Civil) No. 1922 of 2019 by M s. Kusum Agency and the same was dismissed vide order dated 28 th January 2019.	Facts
Subject matter of these Writ Petitions were the Notifications dated 5 th August 2017, 21 st August 2017 and 25 th April 2018 and the corresponding trade notices issued by the DGFT.	Facts
Notwithstanding the aforesaid dismissals, as many as 90 Writ Petitions were filed before the Rajasthan High Court at Jaipur challenging the Notifications dated 29 th March 2019 and the Trade Notice dated 16 th April 2019.	Facts
Similarly, Writ Petitions were filed before the High Courts of Delhi, Punjab and Haryana, Andhra Pradesh, Bombay and Calcutta.	Facts
In several cases interim orders were passed permitting the importers to import Peas pulses notwithstanding the fact that they had not been issued authorisation import licences or the total imports would exceed the maximum or total quantity fixed in the impugned notifications.	Facts
Before us, the importers had urged a new legal issue point which was not specifically raised in the Writ Petitions the impugned notifications were in the nature of quantitative restrictions under Section 9A of the FTDR Act, which could be only imposed by the Central Government after conducting such enquiry, as is deemed fit, and on being satisfied that the goods are imported into India in such quantities and under such conditions as to cause or threatens to cause serious injury to domestic industry.	Facts
Further, in exercise of power under subsection (3) to Section 9A the Central Government has framed the Safeguard Measures (Quantitative Restrictions) Rules, 2012, that prescribe mandatory and detailed procedure for initiation, investigation, hearing to parties and adjudication by the Authorised Officer, which statutory mandate has not been followed.	Facts
Under subrule (4) to the above Rule, the Authorised Officer has power to initiate suo moto action if he is satisfied with the information received from any source that sufficient evidence exits regarding increased imports serious injury or threat of serious injury to the domestic industry and causal link between increased imports and serious injury or threat of serious injury to the domestic industry.	Facts
Taking note of the submission, we had directed the parties to file brief written submissions and the propositions which they propose to canvass in the context of the issues to be dealt with by this Court.	Facts
The Union of India was also asked to file a Statement Note disclosing number of registered licences dealing with import of goods and quantity of average annual consumption of the concerned goods in the country.	Facts
By another order dated 2 nd July, 2020 the Union of India was directed to file an affidavit clearly stating whether the impugned notifications are in the nature of quantitative restrictions and if so whether the procedure under Section 9A of the FTDR Act read with Safeguard Measures (Quantitative Restrictions) Rules, 2012 had been followed and to produce the relevant record thereof.	Facts
We shall elaborate and decide the argument subsequently.	None
Discussion on the challenge to the role and authority of the DGFT to issue the Notifications and Trade Notice and interpretation of the words total quantity.	Issue
At the outset, we must record that the importers, and in our opinion rightly, have not raised the contention that the DGFT could not have notified the impugned notifications.	Reasoning
The notifications themselves record that they were published by the Ministry of Commerce and Industry, Department of Commerce, Directorate General of Foreign Trade.	Reasoning
The first paragraph of the notification states that they had been issued by the Central Government in exercise of powers conferred under Article 77 of the Constitution.	Reasoning
Clearly, the notifications were issued by the Central Government, and not the DGFT that had performed the ministerial act of publication.	Reasoning
The decision to amend and issue the notification was of the Central Government.	Reasoning
Neither Section 3(2) nor Section 6(3) of the FTDR Act was violated.	Reasoning
This Court in Delhi International Airport Limited v. International Lease Finance Corporation and others (2015) 8 SCC 446 , had referred to Articles 77 and 166 of the Constitution and held that the Constitution stipulates that whenever executive action is taken by way of an order or instrument it shall be expressed to be taken in the name of the President and Governor in whose name the executive power of the Union and the States, respectively, are vested.	Reasoning
Article 77 does not provide for delegation of any power, albeit under subsection (3) of Article 77, the President is to make Rules for more convenient transaction of business and allocation of same amongst Ministers.	Reasoning
Under the Government of India (Transaction of Business) Rules, 1961, the government business is divided amongst Ministers and specific functions are allocated to different Ministries.	Reasoning
The Director General of Foreign Trade is an ex officio Additional Secretary in the Government of India and is appointed by the Central Government under subsection (1) to Section 6 of the FTDR Act to advise the Central Government in formulation and carrying out the Foreign Trade Policy.	Reasoning
Wherefore, even the website of the Ministry of Commerce and Industry, Department of Commerce, states that the DGFT is an agent of the Central Government and attached office to it.	Reasoning
Further, clause (2) of Article 77 provides that validity of an order or instrument made or executed in the name of the President, authenticated in the manner specified in the Rules made by the President, shall not be called in question on the ground that it is not an order or an instrument made or executed by the President.	Reasoning
Therefore, the contention of issuance of the impugned notification sans authority, cannot be sustained.	Reasoning
FTDR Act vide Section 3(2), as elucidated and examined below, authorises the Central Government to prohibit, restrict or otherwise regulate the import or export of goods, by an order published in the Official Gazette.	Reasoning
FTDR Act vide Section 11(1) prohibits imports or exports of goods in contravention of the FTDR Act, the rules and orders made thereunder and the EXIM Policy.	None
Section 5 of the FTDR Act authorizes the Central Government to formulate and announce the EXIM Policy by notification in the Official Gazette.	None
Under Section 11(2) of the FTDR Act, when a person makes or abets or attempts to make any import or export in contravention of the FTDR Act, any rule or order made thereunder or the EXIM policy, he is liable to pay penalty upto Rs.10,000/ or five times the value of the goods, services or technology, whichever is greater.	None
Section 11 of the Customs Act,1962 provides that the Central Government may by a notification in the Official Gazette prohibit, absolutely or subject to conditions as specified, import or export of any good.	None
The listed purposes are wide and range from conservation of foreign exchange and safeguarding of balance of payments, avoiding shortage of goods, prevention of surplus of any agricultural or fisheries product, prevention of serious injury to domestic production, establishment of any industry and lastly compendiously includes any other purpose conducive to the interest of the general public.	None
Under clause (d) to Section 11 of the Customs Act goods imported or exported (or attempted to be imported or exported) contrary to any prohibition are liable to confiscation.	None
We would also without any hesitation reject the contention raised by some of the importers that the impugned notification is illegal because of vagueness or allows restricted quantity of 1/1.5 lakh MT of Peas (Pisum Sativum) including Yellow Peas, Green Peas, Dun Peas and Kaspa Peas as against a licence, meaning thereby each licensee is allowed to import the maximum quantity specified in the notification.	Reasoning
In other words, the total quantity specified in the notification is per licensee and not for the total imports of the commodity specified in the notification.	Reasoning
The submission has no merit as the notification expressly uses the expression total quantity of the commodity specified which could be imported.	Reasoning
There is no ambiguity or vagueness in the notifications, relevant portions of which have been quoted above.	Reasoning
Even otherwise the expression total quantity cannot be construed as quantity per licence issued as the number of licences issued concerning the subject goods could be numerable (as per the Union of India 2248,1016 and 2915 licences were issued in 201920 for import of Tur, Moong and Urad dals against restricted quota of 4,1.5 and 4 lakh MT, respectively).	Reasoning
If each licence holder is allowed to import 1/1.5 lakh MT of Peas, the total import would well exceed the total annual consumption after we account for the production within India.	Reasoning
In our opinion, the plea and interpretation of the importers if accepted will not only be contrary to the express language of the notification but would frustrate the intent and object of restricting the imports of the stated goods by prescribing a quota.	Reasoning
We decline and would not accept this farfetched and somewhat drivel interpretation of simple and straight forward words.	Reasoning
We would also reject the contention raised by the importers that the Trade Notices issued by the DGFT violate Sections 3 and 5 read with subsection (3) of Section 6 of the FTDR Act as they had the effect of superseding the Notifications or imposing a new criterion and eligibility condition not envisaged by the notifications.	Reasoning
The legal effect of the notifications was to amend the EXIM policy whereby the specified commodities would henceforth not be free (importable without restriction) but would fall in the restricted category.	Reasoning
Once the commodities were shifted to the restricted category, the requirement of licence would flow from the mandate of Section 3 of the FTDR Act read with Rule 4 of the Foreign Trade (Regulation) Rules, 1993.	Reasoning
Rule 4 reads as under Application for grant of licences A person may make an application for the grant of a licence to import or export goods in accordance with the provisions of the Policy or an Order made under section 3.	None
Further, the EXIM Policy regulates the restricted goods under Paragraphs 2.04, 2.08 and 2.10 of Policy, which read as under 2.04 Authority to specify Procedures DGFT may specify procedure to be followed by an exporter or importer or by any licensing Regional Authority (RA) or by any other authority for purposes of implementing provisions of FT (DR) Act, the Rules and the Orders made there under and FTP.	None
Such procedure, or amendments, if any, shall be published by means of a Public Notice.	None
xx	None
xx xx	None
2.08 Export Import of Restricted goods Services Any goods service, the export or import of which is Restricted may be exported or imported only in accordance with an Authorisation Permission or in accordance with the procedure prescribed in a Notification Public Notice issued in this regard.	None
xx xx	None
xx	None
2.10 Actual User Condition Goods which are importable freely without any Restriction may be imported by any person.	None
However, if such imports require an Authorisation, actual user alone may import such good(s) unless actual user condition is specifically dispensed with by DGFT.	None
Paragraph 2.08 states that any goods or services, import or export of which is restricted, can be exported or imported only in accordance with the authorisation permission or in accordance with the procedure prescribed in the notification public notice in this regard.	None
Paragraph 2.04 states that the DGFT may specify procedures to be followed by an exporter or an importer or by a licencing regional authority, etc. for the purpose of implementing provisions of the FTDR Act, the rules and orders made thereunder.	None
Such procedures or amendments, if any, shall be published by means of a public notice.	None
Paragraph 2.10 sets the matter beyond controversy as it states that the goods which are freely importable without a restriction may be imported by any person.	None
However, if goods require authorisation, actual user alone may import such goods.	Reasoning
However, the DGFT can dilute and dispense with the actual user condition.	Reasoning
The effect of the Notifications, as noticed and beyond doubt, is to bring the specified commodities from free to the restricted category and therefore the imports in question would require a prior authorisation for import.	Reasoning
The requirement of licence is nothing but authorisation.	Reasoning
Therefore, in terms of paragraph 2.10, the imports of the specified commodities would only be by the actual user, unless the actual user condition was specifically dispensed with or diluted by the DGFT.	Reasoning
The Directorate by specifying that the licence would be issued to the miller or refiner has, therefore, just clarified that the actual user alone will be permitted to import the restricted goods mentioned in the notification for which a prior authorisation or licence is required.	Reasoning
The importers are traders and it is not the case of any of the importers that they are the actual users.	Reasoning
Further, none of the importers have applied for a licence or authorisation for import of the restricted commodities.	Reasoning
Violation of clause 9.03 of the EXIM Policy defining the expression Actual User, is neither alleged nor argued before us.	Reasoning
The importers have raised the contention that the expression if such imports used in the second sentence of paragraph 2.10 only qualifies the first sentence of paragraph 2.10.	Reasoning
We do not accept the contention, for paragraph 2.10 consists of two parts.	Reasoning
The first part relates to goods which are freely importable without any licence and states that such goods that can be imported by any person.	Reasoning
The second part refers to such imports which require authorisation and not the imports which are freely importable without any restriction.	Reasoning
Actual user condition, therefore, applies by default when imports require an authorisation.	Reasoning
However, the DGFT can specifically dispense with or dilute the actual user condition.	Reasoning
Section 9A of the FTDR Act and its interpretation.	Issue
General Agreement on Tariff and Trade 1947 and 1994.	None
Conference at Bretton Woods, New Hampshire in 1944 lead to establishment of the International Monetary Fund and the World Bank, but the attempt to establish International Trade Organisation to develop and coordinate international trade faltered and was finally given up in 1950.	None
However, multilateral trade negotiations had continued with the objective to prepare a multilateral treaty containing general principles of international trade and a schedule of tariff reductions.	None
By the end of 1947, the work on the General Agreement on Tariff and Trade (GATT), 1947 and tariff reduction was finalised and agreed upon.	None
Interim commission of the International Trade Organisation became the GATT Secretariat based in Geneva, Switzerland.	None
On or about 8 th July 1947, Government of India became a signatory and ratified GATT1947.	None
However, GATT1947 is considered to be a failure or at best had a limited impact.	None
Most jurists and economists hold that the GATT1947 suffered from birth defects as it did not have a legal personality, lacked established procedures and organizational structure in the absence of a charter had provisional application as it had provisions permitting contracting parties to maintain legislations inforce inconsistent with the grandfathering rights and there was ambiguity and confusion about the GATTs authority and decision making ability.	None
What followed was several years of intense negotiations involving over 100 nations that finally ended in 1994 at Marrakesh, Morocco, with a multilateral international treaty of over 400 pages of basic text with substantive rules and tariff schedules.	None
The final act signed exceeded 26,000 pages.	None
This treaty popularly known as GATT1994 was signed by 128 countries including India on 1st January 1995.	None
On the same day, the World Trade Organisation (WTO), an institution with a secretariat and staff, replaced GATT and came into existence, as the international organisation for overseeing and regulating functioning of the multilateral trade system.	None
GATT1994 in nutshell is a ruleoriented package consisting of multilateral trade agreements annexed to a single document and works on the basis of single undertaking approach whereby all agreements annexed become binding on all the members as single body of law.	Reasoning
The main agreement consists of the preamble and XVI articles establishing the WTO, four annexures and declarations, decisions and understandings.	None
Annexure I to the multilateral agreement is divided into three parts.	None
Annexure 1A consists of the GATT1994 and twelve other agreements on agriculture application of sanitary and phytosanitary measures textiles and clothing technical barriers to trade trade related investment measures antidumping duty rules of customs valuation rules of preshipment valuation rules of origin import licensing procedures subsidies and countervailing measures and safeguards.	None
Article II of GATT 1994 limits tariff charges to those agreed in the Schedules of Concessions, while Article I lay down the principle of Most FavouredNation giving benefit of the concessions to all WTO members.	None
Article III mandates requirement of national treatment of import with respect to taxes and regulations.	None
Articles VI and XVI relate to subsidies, antidumping and countervailing duties.	None
Article VII incorporates rules on valuation for customs purposes.	None
Article XI, which we shall subsequently examine, prohibits quotas, import or export licences and other nontariff measures, with some exceptions.	None
Annexure 1A includes schedule of concessions from each major trading country and a general interpretative note that provides that in case of a conflict between provisions of GATT 1994 and another Annexure A1 agreement, the provisions of latter would control.	None
Annexure 1B consists of the General Agreement on Trade in Services.	None
Annexure 1C consists of the Agreement on Trade Related Aspects of Intellectual Property Rights.	None
Annexure 2 consists of the Understanding on Rules and Procedures Governing Settlement of Disputes, referred to as the Dispute Settlement Understanding, providing mechanism for resolution of trade disputes among WTO members.	None
Annexure 3 establishes the trade policy review mechanism, with procedure for periodic review of compliance with the WTO agreement by each member.	None
Annexure 4 consists of plurilateral trade agreements binding only on the parties that have accepted them.	None
GATT1994 also has provisions that allow and permit exceptions.	None
There are exceptions to quotas for balanceofpayments purposes in Article XII, XIII, XV and XVII, Section B, exceptions for developing countries vide Article XVIII and Part IV and exception for health, safety, protection of natural resources and other matters in Article XX.	None
Article XIX, which we would again refer to, is an exception and sometimes referred to as the escape clause, that provides emergency action where serious injury is caused or threatens domestic industry.	None
There are exceptions for national security vide Article XXI, customs unions and free trade areas vide Article XXIV, waivers by the contracting parties vide Article XXV and opt out option on onetime basis when a new member joins GATT vide Article XXXV .	None
The Marrakesh Agreement enacts and incorporates rules oriented approach regulating the conduct of the WTO members and are designed to ensure that the tariff concessions and the multilateral trade treaty works as intended and not undermined.	None
Articles XXII provides for sympathetic consideration and consultation and satisfactory solution with respect to any matter affecting the operation of GATT1994.	None
Article XXIII allows a GATT contracting party to make a complaint should it consider that another contracting party is directly or indirectly nullifying, impairing the GATT1994 or otherwise impeding attainment of its objective (a) by failure in carrying out its obligations (b) by measures, even when they are not in conflict with GATT1994 and (c) in any other situation.	None
These Articles emphasise on the need for consultation, withdrawal of conflicting measures and mutual satisfactory solution of the matter by the contracting parties concerned, consistent with the GATT1994.	None
Albeit on failure to reach a satisfactory adjustment within reasonable time or in case of (c) (supra), the matter is to be referred to the Contracting Parties to investigate and make recommendations to the offending party or make a ruling on the matter, as appropriate.	None
As the question of invocation and jurisdiction of the national or domestic court arises for consideration in the present case, we would like to slightly elaborate on the dispute resolution mechanism in Annexure 2.	None
It contains 27 Articles totalling about 143 paragraphs and four appendices.	None
For the present case, it would be suffice to record that the WTO, at the top, consists of Ministerial Conference which meets not less than every two years.	None
Next there are four councils, including the General Council which has an overall supervising authority and to carry out many functions of the Ministerial Conference.	None
In addition, we have Council for Trade Inputs, Council for Trade and Services, and Council for Trade Related Aspects of Intellectual Property Rights.	None
The General Council, as per the WTO Charter, discharges the responsibility of the Dispute Settlement Body (DSB).	None
Thus, the WTO Charter adopts a legalistic and a ruleoriented approach for resolving issues relating to violation of the GATT agreements.	None
The DSB establishes Panel(s) and on adoption of Panel (and the Appellate Body) reports, provides for implementation of the recommendation and rulings, and can authorise action for failure to comply with the recommendation(s) and ruling.	None
The DSB, though a part of the General Council, has its own Chairman and follows separate procedures.	None
The Panels are normally composed of three persons, and in exceptional cases five, who are well qualified government or nongovernment individuals selected from a roaster of persons suggested by WTO members.	None
The panel members serve in their individual capacities and not as representatives of WTO members.	None
The Appellate Body reviews Panel decisions.	None
The Appellate Body is a standing institution composed of seven persons appointed by DSB for fouryear term.	None
Members of the Appellate Body must be persons with recognised authority with demonstrated expertise in law and international trade who are not affiliated with any government.	None
Membership of the Appellate Body is broadly representative of the membership of the WTO.	None
The procedure adopted for the dispute resolution mechanism is to facilitate prompt settlement of situations with the objective and purpose that the Marrakesh Agreement is preserved and not nullified or impaired.	None
Obligations of the contracting party and effect of international treaty, namely, GATT1994 on the domestic law.	None
Application of treaties into national legal systems and the hierarchical status of the norms to be so applied are extraordinarily complex and vary from country to country depending upon constitutional and other municipal rules.	Reasoning
Further, a number of legal and constitutional issues regarding international treaties arise in domestic law, like the power to negotiate, sign and exit a binding international obligation or treaty, validity of a treaty under the national constitutional law, power to implement the treaty obligations and applicability of treaty in domestic law including the principle of invocability or justiciability as contrasted from direct applicability and hierarchy of norms in domestic law where the treaty norms conflict with the norms of the domestic law.	Reasoning
There is no uniformity in approach on these aspects as there are different national systems of treaty applications .	Reasoning
Two aspects relevant in the present case are (i) applicability of the international treaty in domestic law and (ii) invocability of the treaty in municipal law and before the municipal courts.	Reasoning
In spite of there being different constitutional and statutory approaches on applicability, the States as signatories to the international treaty are under an obligation to act in conformity and bear responsibility for breaches, be it as a consequence of legislative enactment, executive action or even judicial decisions.	Reasoning
The State cannot plead and rely upon internal law including judicial decisions as a defence to a claim for breach of an international obligation.	Reasoning
Acts of legislation, executive measures and judicial decision making are not treated as third party acts for which the State is not responsible.	Reasoning
The national law, executive mandate and action and the decisions of the domestic courts are facts which express the will and constitutes activities of the State.	Reasoning
In international law, municipal laws cannot prevail upon the treaties as internal actions must comply with the international obligation.	Reasoning
They may constitute breach of the treaty.	Reasoning
Thus, breach of a stipulation in international law cannot be justified by the State by referring to its domestic legal position.	Reasoning
This rule of international law is unexceptionable and prosaic, as the contra view would permit the international obligations to be evaded by the simple method of domestic legislation, executive action or judicial decision.	Reasoning
Contracting States are under an obligation to act in conformity with the rules of international law and bear responsibility for breaches whether committed by the legislature, executive or even judiciary.	Reasoning
In a way, therefore, international treaties are constraint on sovereign activity, albeit voluntarily agreed.	Reasoning
For the purpose of GATT1994, municipal laws are evidences of fact, including evidence of conduct in violation of the norms and objective of the treaty.	Reasoning
At the same time, failure to enact an internal domestic law in conformity with the international obligation is not a breach of international law, unless there is such requirement and obligation created by the international treaty.	Reasoning
In the absence of any such binding clause, breach arises only when the State concerned fails to observe its obligation on a specific occasion.	Reasoning
Various theories have been put forward to explain applicability of international customary and treaty law in domestic law.	None
The dualist position is that the international municipal law operates separately and before any rule or principle of international law can have effect within the domestic jurisdiction, it must be expressly or specifically transformed into municipal law by use of appropriate constitutional machinery.	None
Dualism stresses that international law and municipal law exist separately and cannot have effect on or overrule the other.	None
Consequently, the municipal laws and international laws can operate simultaneously as they regulate different subject matters.	None
International law is between sovereign States, while the municipal law applies within the State and regulates legal relationship between the citizens subjects inter se and the citizen subject and the State.	None
Monistic legal systems include international treaties in domestic law.	None
Monism takes the form of assertion of the supremacy of the international law even within the national sphere, with the understanding and belief that an individual is a subject of international law.	None
International norms provide the basic norms for the national legal order, and both are a part of the same systems of norms.	None
Most jurists draw distinction between direct application of treaties in domestic law, and national legal systems that mandate and require act of transformation for an international treaty to apply and be a part of domestic law.	Reasoning
Direct application means and mandates that the treaty norms, either wholly or to some extent, are directly treated as norms of domestic law and enjoy the statutory law status by default in the domestic legal system.	Reasoning
The term direct application will also cover situations in which government or different levels of government utilise treaty norms as part of domestic jurisprudence and is not limited to situations in which private parties can sue on the basis of the treaty norms.	Reasoning
As explained below, there is distinction between direct application and invocability.	Reasoning
Act of transformation principle means and implies that an international treaty is not directly applicable in the domestic law system and requires provision in the domestic rules before it is applied.	Reasoning
Transformation is a word of wide amplitude and does not refer to mere implementation as it includes the right of the country to adopt, amend or modify the treaty language into domestic jurisprudence.	Reasoning
The act of transformation is different from direct application as in the former the treaty is not received and treated as part of domestic jurisprudence until it is published and made part of the domestic jurisdiction in the same manner as other law.	Reasoning
The Constitution of Netherlands is generally regarded as monistic since it expressly provides that certain treaties are directly applied and the treaties are superior to all law including constitutional laws.	None
The 1958 Constitution of France also calls for the direct application and a higher status for treaties than later legislations.	None
Similar provisions are to be found in different ways in the Constitutions of Belgium and Switzerland.	None
Under the United States jurisprudence, a differentiation is made between self executing treaties which can be directly applied and nonself executing treaties .	None
Courts have ruled that a directly self executing treaty has same status as federal laws and the latest in time therefore prevails.	None
Consequently, a later internal federal statue will prevail over the international agreement.	None
GATT1994 in the United States legal system is a nonselfexecuting treaty.	None
The European Union is established by two treaties namely the Treaty of European Union and the Treaty on the Functioning of the European Union.	None
Member States have attributed the European Union with competence that may either apriori render the pertinent state activity incompatible with European law or may, through use of such legal title, preempt the states from continuing to act or legislate.	None
This could lead to exclusive European Union external competence even in the area of shared internal competence.	None
European Union Law enjoys primacy over the laws of the member states and may have direct effect.	None
Union legislators are on equal footing and are directly elected to the European Parliament and the Council for the European Union.	None
However, both European Union and member States are members of the WTO and are contracting parties to GATT1994.	None
International agreements concluded by European Union become integral part of the European Unions legal order and are hierarchically positioned between the two founding treaties and the ordinary secondary legislation, which principle applies to GATT1994.	None
On this basis it has been held that the European Union law is to be interpreted in light of the WTO obligation to ensure GATT1994 consistent interpretation of the European Union legislation.	None
At the same time, authors and jurists have observed that individuals and member States challenge for GATT 1994 incompatibility secondary legislation have received different answers as in some cases it has been held that international agreement will only be granted direct effect if the provisions are capable of conferring rights on citizens of the community which they can invoke before the court .	None
(Aspect of invocability has been separately examined below.)	None
United Kingdom, being a parliamentary democracy, the treaties generally do not have direct statute like application, though they may have other internal effects.	None
United Kingdom and other parliamentary democracies, like Canada and Australian systems, are generally considered as prime example of a dualist system.	None
In United Kingdom, the Crown is the constitutional authority to enter into treaties and this prerogative power cannot be infringed by the courts.	None
Further, treaties cannot operate by themselves and require passing off an enabling statute.	None
