 	Reasoning
In the latter case, learned Counsel pointed out, it has been held that when wheat is ground into flour, wheat is consumed in the manufacture of wheatflour and a different product emerges and similarly, when wheatflour is baked as a bread, there emerges yet another different goods, learned Counsel, therefore, submitted that on the same analogy when pepper and turmeric are ground into powder, they change their shape and emerge as different goods.	Arguments of Respondent
We are of the opinion that so far as whole black and white pepper and pepper powder is concerned, they are the same goods, whether applying the functional test or the test of common parlance commercial parlance.	Reasoning
The analogy of paddy and rice or of wheat and wheat powder is not apt.	Reasoning
Nobody consumes paddy as it is.	Reasoning
Similarly, no one eats whole wheat.	Reasoning
They are consumed after milling them into rice or flour, as the case may be.	Reasoning
But so far as the pepper is concerned, it is used equally in whole as well as well powdered form.	Reasoning
It is for this reason perhaps that the entry in Notification No. 885F.T. dated May 1, 1955 speaks of Black and while pepperwhole, broken, ground or powdered or of any other form or description whatsoever.	Reasoning
It is equally significant that the Notification No. l915F.T. dated May 10, 1963 refers to these commodities as specified in Notification No. 885F.T. dated 1st May, 1955.	Reasoning
Black and white pepper as specified in Notification No. 885 means black and white pepper, whether whole, powdered, broken or in any other form.	Reasoning
So far as turmeric and turmeric powder is concerned, the position is not identical, applying the functional test.	Reasoning
But inasmuch as turmeric is also described in Notification No. 885 in the same manner as black and white pepper and also because Notification No. 1915 refers to it with reference to the said earlier Notification, we are inclined to say that turmeric and turmeric powder must also be treated as same goods.	Reasoning
Sri Santosh Hegde, learned Counsel for the State of West Bengal submitted that the use of the words that is to say in items (2) and (3) in Notification No. 885F.T. serve to indicate that broken, ground or powdered pepper is different from pepper.	Arguments of Respondent
Support is sought to be derived from the decision of this Court in Rajasthan Flour Mills Association where the meaning of the said words was dealt with reference to Section 14(i) of the Central Sales Tax Act.	Arguments of Respondent
It was held in the said decision that the said words had the effect of limiting the operation of Section 14 to the goods specifically mentioned thereunder and not to their products.	Reasoning
In other words, it was held that when Section 14(i)(iii) mentioned wheat, it means wheat alone and not the products of wheat like flour, maida and suji.	Reasoning
We do not see how the said decision assists the argument of the learned Counsel.	Reasoning
In items (2) and (3) of Notification No. 885F.T., the words that is to say seem to refer to the botanical expression following the said words.	Reasoning
He that as it may, the said words cannot, by any stretch of imagination, be taken to indicate that broken, powdered or any other form of pepper are different goods from pepper.	Reasoning
The appeals are allowed accordingly.	Decision
The judgment of the West Bengal Taxation Tribunal is set side.	Decision
There shall be no order as to costs.	Decision
