 	Arguments of Respondent
The DJB and NDMC are directed to hold an inquiry into deaths of sewer workers referred to in paragraphs 15 and 16 of the written submission of the petitioner dated 22nd July, 2008 and submit a report to this Court within a period of eight weeks.	None
If it is found that the contract workers in question were working under the contractors employed by NDMC DJB, exgratia compensation of Rs.	None
One lac shall be released forthwith to the families of the victims subject to right of recovery from contractors in accordance with law.(p)	None
The respondents shall place on record a map showing the areas within the NCD (1) where no sewage facilities are available (2) where modern machinery cannot enter due to narrow lanes or otherwise (3) the areas serviced by modern machinery and (4) critical area where frequent deaths, accidents and blockages occur, it shall be done within three months from today.(q)	None
Lastly, the respondents are directed to place on record the proposals and plans to phase out manual work and replace it with mechanized sewer cleaning, as envisaged by DJB as well as NDMC, which shall be done within three months.10.	None
In order to ensure the compliance of the above directions, we constitute a Committee consisting of(i)	None
Mr. S.R. Shankaran, IAS retired Chief Secretary to the Government of Tripura, Chairman(ii)	None
One officer each to be nominated by NDMC, DDA and DJB respectively, who shall not be less than the rank of Under Secretary to the Government of India.(iii) Joint Secretary of the Social Welfare Department, Government of NCT of Delhi to be nominated by the Secretary of that Department who shall be the Convener of the committee.(iv)	None
One representative of the petitioner organization.	None
While the Committee constituted by the High Court was examining various issues concerning the sewage workers including their health and safety, Hindustan Times (Metro edition) dated 26.3.2009 reported that as many as 6 sewage workers had died in Delhi in the month of March 2009 due to inhaling of toxic gasses in the manholes because they did not have protective gears.	Facts
Two of the workers died in the area of Alipur (Narela), two in the area of Bawana and one each in Sector 6, Narela and Delhi Zoo, Sunder Nagar, New Delhi.	Facts
Four of these deaths occurred within the jurisdiction of appellant  Delhi Jal Board, Delhi Development Authority and Delhi State Industrial Development Corporation and two deaths occurred in private farm house  Katyal Farm House, Bakhtawarpur Road, Narela.7.	Facts
After taking cognizance of the aforesaid report, the Division Bench of the High Court directed appellant  Delhi Jal Board and the Delhi Development Authority to file their respective affidavits.	Facts
Notices were also issued to Delhi State Industrial Development Corporation, the owners of private farm house and the police department.8.	Facts
In the affidavit filed by him, Sri Sukhai Ram, Chief Engineer, Delhi Jal Board claimed that the person who died on 15.3.2009 was a painter and not a sewage beldar.	Facts
He gave out that the victim was engaged by a sub contractor, namely, Kanta Prasad who, in turn, had been engaged by M s. AARSELF MichiganJV, to whom contract was awarded for rehabilitation of sewer in the zoo area.	Facts
According to Shri Sukhai Ram, the victim fell into the sewer because he became unconscious after inhaling the fumes of epoxy.	Facts
He also stated that a sum of Rs.1.71 lacs was paid to the family of the victim by the contractor.	Facts
In the affidavits filed on behalf of the Delhi Development and the Delhi State Industrial Development Corporation, it was claimed that the deceased workers were not employed by or through them.	Facts
However, during the course of hearing, learned counsel appearing on behalf of the appellant and other authorities conceded that as per the FIRs.	Facts
, the workers had died because they were not provided with protective gears before being asked to work in the manholes.9.	Facts
After considering the affidavits filed by the State agencies and the arguments made before it, the Division Bench of the High Court passed order dated 21.4.2009 (impugned order), the relevant portions of which read as under On going through the FIR, however, it is clearly seen that the affidavit filed on behalf of DJB is completely misleading.	Facts
It is seen from the FIR that the victim Rajan and another workman, namely, Raj Kumar went inside the sewer through stairs.	Facts
Before going down they had asked the official of the contractor for safety equipments and oxygen masks, but the official of the contractor did not pay heed to their requests.	Facts
It is further seen from the FIR that they were working in the same manner for the last one week but despite repeated requests made to the contractor they were not provided with safety equipments and oxygen masks.	Facts
It is further seen that they were painting the sewer and due to presence of toxic gases and lack of oxygen in the sewer, Rajan became unconscious and ultimately declared to be dead when he was taken to the hospital.	Facts
The other workman was feeling giddy and fell down and sustained injuries on his face.	Facts
Learned counsel appearing for the DJB conceded that protective equipments were not provided by the DJB in spite of the directions issued by this Court vide order dated 20th August, 2008.	Facts
According to him the responsibility was of the contractor to provide safety equipments as per the contract.	Facts
It is clear that the sewage workers were left at the mercy of the contractor who failed to take basic precautions resulting in death of workman Rajan.	Facts
Insofar as the death that occurred within the jurisdiction of DDA, it has been stated in its affidavit that no work of de silting of sewage lines or otherwise was in progress in the concerned division of DDA in which the accident took place.	Facts
It was stated that possibly some local residents had employed a person by the name Rakesh Kumar on their own to check the particular manhole, in which the incident took place.	Facts
During the course of arguments, however, learned counsel for DDA conceded that the affidavit does not reflect the correct position.	Facts
He admitted that Rakesh Kumar Saini was entrusted with the work of desilting of the sewage lines, but according to him the contract was completed in December, 2008.	Facts
Further, according to him though the contract provided for a warranty period six months, the contractor could not have carried out any further work in the sewage line without prior permission of the DDA.	Facts
Counsel states that the DDA had not provided protective gears and equipments as directed by this Court because under the contract it was the responsibility of the contractor to provide the protective gears and equipments.	Facts
Insofar as DSIDC is concerned, it is seen from the FIR that four workers were involved in the incident.	Facts
Two workers namely, Manpal and Ram Braj Yadav died while two others namely, Shyambir Sarvesh and Brajpal Yadav were injured.	Facts
They were working under the contractor engaged by the DSIDC i.e. M s Arun Kumar Goel.	Facts
It is seen from the FIR that the workers were not provided with protective gears and safety equipments.	Facts
As already noted, two deaths occurred in Katyal Farms House, Bhaktwarpur Road, Narela.	Facts
It is seen from the FIR that the workers who died while carrying out the work of cleaning the sewer were employees of the contractor by name Sunil, engaged by the Farm House owners.	Facts
Learned counsel appearing for the farm house owners state that the owners have paid a sum of Rs. 1 Lac in exgratia to the families of each of the victims.	Facts
At the outset it must be stated that both DJB and DDA have not complied with the directions issued by this Court on 20 August, 2008, particularly directions for providing protective gears and equipment and for issuing employment cards to the contractors workers.	Facts
Let notice be issued to the CEO, DJB and the Vice Chairman, DDA to show cause as why action for contempt should not be initiated against them under the Contempt of Courts Act for violating the directions issued by this Court vide order dated 20th August, 2008.	Facts
Notice shall be returnable on 27th August, 2009.DDA and DSIDC are directed to deposit the amount of compensation of Rs.2.5 lacs per worker with the High Court Legal Services Committee (DHCLSC) for being paid to the families of the victims within four weeks.	Facts
It will be open to the DDA DSIDC to adjust recover the amount paid from the contractor.	Facts
According to the DJB, the contractor has already paid a sum of Rs.1.71 lacs to the victims families.	Facts
DJB is directed to deposit the balance amount to compensation i.e. Rs.79,000/ with the DHCLSC within four weeks.	Facts
DHCLSC will ascertain whether the amount of Rs.1.71 lacs has been received by the victims families as stated by the DJB.	Facts
The owners of Katyal Farm House shall deposit a sum of Rs.1.5 lacs per worker, i.e., in all Rs.3 lacs, with DHCLSC.	Facts
DHCLSC will ascertain whether the victims families have received the amount of Rs. 1 lac as claimed by the farm house owners.	Facts
The CEO of DJB, Vice Chairman of DDA and ManagingDirector of DSIDC are directed to file their respective affidavits before the Committee within four weeks confirming that their respective affidavits before the Committee within four weeks confirming that their organizations have complied with all the directions issued by this Court from time to time and if there are any shortcomings, to specify them and also to give an undertaking in writing before the Committee that all shortfalls shall be rectified within a period to be fixed by the Committee.	Facts
All the three organizations are directed to file documents before the Committee indicating(i) That all the muster roll workers and the contract workers have been provided with protective gears.(ii) That all the muster roll workers and the contract workers have been provided provident fund.(iii)	Facts
That all the muster roll workers have been given employment card.(iv)	Facts
That medical examination, as directed by this Court, is being conducted in respect of contract workers fee of cost and copies of the medical records may also be furnished to the petitioner union.	Facts
Learned counsel for the appellant, who had the tacit support of the learned counsel representing the Government of National Capital Territory of Delhi, New Delhi Municipal Council and the Delhi Development Authority, argued that the impugned order is liable to be set aside because by entertaining the writ petition filed by respondent No.1 in the name of public interest litigation and passing orders dated 20.8.2008 and 21.4.2009, the High Court transgressed the limits of its jurisdiction under Article 226 of the Constitution and usurped the legislative power of the State.	Arguments of Petitioner
Learned counsel referred to the directions contained in the two orders and argued that the High Court does not have the jurisdiction to directly or indirectly alter the terms of agreement entered into between the appellant and the contractor  M s. AARSELF MichiganJV.	Arguments of Petitioner
Learned counsel further argued that the High Court committed serious error by directing the appellant to pay compensation to the family of the worker ignoring that he was employed by M s. AARSELF MichiganJV to whom the contract for rehabilitation of sewer in the zoo area had been awarded.	Arguments of Petitioner
Learned counsel emphasized that as per the terms of the agreement, it was the duty of the contractor to provide safety equipments to the workers engaged in sewage operations and the appellant cannot be made liable for the negligence, if any, of the contractor.	Arguments of Petitioner
Learned counsel then referred to affidavit dated 18.4.2009 filed by the contractor to show that necessary safety equipments were put in place and argued that the appellant and other public authorities cannot be held liable for the accidental deaths.	Arguments of Petitioner
Learned counsel lastly argued that even if the High Court felt that it was the responsibility of the appellant and other public authorities to compensate the victims of accident, there was no occasion for directing issue of notice to the higher functionaries of the appellant and the Delhi Development Authority to show cause against the proposed initiation of proceedings under the Contempt of Courts Act, 1971 (for short, the 1971 Act) on the ground of alleged violation of the directions contained in order dated 20.8.2008.	Arguments of Petitioner
Shri Colin Gonsalves, learned senior counsel appearing for respondent No.1 supported the impugned order and the directions given by the High Court for ensuring safety of the persons employed by or through the appellant and other State agencies for doing hazardous work by asserting that they cannot be absolved of their liability to compensate the victims of accidents merely because the work of laying and maintaining the sewage system has been outsourced.	Arguments of Respondent
Learned senior counsel submitted that the appellant is really not aggrieved by the direction given for payment of compensation, but is bothered by the notice issued to its Chief Executive Officer for initiation of proceedings under the 1971 Act.	Arguments of Respondent
He submitted that this Court should not entertain the appellants grievance against such directions because the concerned functionary can show to the High Court that he has not committed contempt within the meaning of Section 2(b) of the 1971 Act.	Arguments of Respondent
In the light of the arguments made by the learned counsel, the following three questions arise for our consideration Whether the High Court was justified in entertaining the writ petition filed by respondent No.1 by way of public interest litigation for compelling the respondents to take effective measures for safety of sewage workers and ordering payment of compensation to the families of the victims of accidents taking place during sewage operations, Whether the directions given by the High Court amount to usurpation of the legislative power of the State, and (3) Whether the High Court was entitled to issue interim direction for payment of compensation to the families of deceased workers.	Issue
Re Question No.1 At the threshold, we deem it necessary to erase the impression and misgivings of some people that by entertaining petitions filed by social action groups activists workers and NGOs for espousing the cause of those who, on account of poverty, illiteracy and or ignorance and similar other handicaps, cannot seek protection and vindication of their constitutional and or legal rights and silently suffer due to actions and or omissions of the State apparatus and or agencies instrumentalities of the State or even private individuals, the superior Courts exceed the unwritten boundaries of their jurisdictions.	Reasoning
When the Constitution of India was adopted, the people of this country resolved to constitute India into a Sovereign Democratic Republic.	Reasoning
They also resolved to secure to all its citizens justice, social, economic and political liberty of thought, expression, belief, faith and worship equality of status and of opportunity and to promote among them all fraternity assuring the dignity of the individual and the unity and integrity of the nation.	None
For achieving the goals set out in the preamble, the framers of the Constitution identified and recognized certain basic rights of the citizens and individuals and pooled them in Part III, which has the title Fundamental Rights and simultaneously incorporated Directive Principles of State Policy which, though not enforceable by any Court are fundamental in governance of the country and the State is under obligation to comply with the principles embodied in PartIV in making laws.	None
Article 38, which was renumbered as Clause (1) thereof by the Constitution (Fortyfourth Amendment) Act, 1978 declares that the State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice, social, economic and political, shall inform all the institutions of the national life.	None
Clause (2) of this Article, which was inserted by the same Amending Act declares that State shall, in particular, strive to minimize the inequalities in income, and endeavour to eliminate inequalities in status, facilities and opportunities, not only amongst individuals, but also amongst groups of people residing in different areas or engaged in different vocations.	None
Article 39(e) mandates that the State shall, in particular, direct its policy towards securing that the health and strength of workers, men and women, and the tender age of children are not abused and that citizens are not forced by economic necessity to enter avocations unsuited to their age or strength.	None
Article 39A which was inserted by the Constitution (Fortysecond Amendment) Act, 1976 lays down that the State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, and shall, in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities.	None
Article 42 enjoins the State to make provision for securing just and humane conditions of work and for maternity relief.	None
In last 63 years, Parliament and State Legislatures have enacted several laws for achieving the goals set out in the preamble but their implementation has been extremely inadequate and tardy and benefit of welfare measures enshrined in those legislations has not reached millions of poor, downtrodden and disadvantaged sections of the society and the efforts to bridge the gap between the haves and havenots have not yield the desired result.	None
The most unfortunate part of the scenario is that whenever one of the three constituents of the State i.e., judiciary, has issued directions for ensuring that the right to equality, life and liberty no longer remains illusory for those who suffer from the handicaps of poverty, illiteracy and ignorance and directions are given for implementation of the laws enacted by the legislature for the benefit of the havenots, a theoretical debate is started by raising the bogey of judicial activism or judicial overreach and the orders issued for benefit of the weaker sections of the society are invariably subjected to challenge in the higher Courts.	None
In large number of cases, the sole object of this litigative exercise is to tire out those who genuinely espouse the cause of the weak and poor.	None
This Court has time and again emphasized the importance of the petitions filed pro bono publico for protection of the rights of less fortunate and vulnerable sections of the society.	None
In Peoples Union for Democratic Rights v. Union of India (1982) 3 SCC 235 , this Court said We wish to point out with all the emphasis at our command that public interest litigation which is a strategic arm of the legal aid movement and which is intended to bring justice within the reach of the poor masses, who constitute the low visibility area of humanity, is a totally different kind of litigation from the ordinary traditional litigation which is essentially of an adversary character where there is a dispute between two litigating parties, one making claim or seeking relief against the other and that other opposing such claim or resisting such relief.	None
Public interest litigation is brought before the court not for the purpose of enforcing the right of one individual against another as happens in the case of ordinary litigation, but it is intended to promote and vindicate public interest which demands that violations of constitutional or legal rights of large numbers of people who are poor, ignorant or in a socially or economically disadvantaged position should not go unnoticed and unredressed.	None
That would be destructive of the rule of law which forms one of the essential elements of public interest in any democratic form of Government.	None
The rule of law does not mean that the protection of the law must be available only to a fortunate few or that the law should be allowed to be prostituted by the vested interests for protecting and upholding the status quo under the guise of enforcement of their civil and political rights.	None
The poor too have civil and political rights and the rule of law is meant for them also, though today it exists only on paper and not in reality.	None
If the sugar barons and the alcohol kings have the fundamental right to carry on their business and to fatten their purses by exploiting the consuming public, have the chamars belonging to the lowest strata of society no fundamental right to earn an honest living through their sweat and toil?	None
The former can approach the courts with a formidable army of distinguished lawyers paid in four or five figures per day and if their right to exploit is upheld against the Government under the label of fundamental right, the courts are praised for their boldness and courage and their independence and fearlessness are applauded and acclaimed.	None
But, if the fundamental right of the poor and helpless victims of injustice is sought to be enforced by public interest litigation, the so called champions of human rights frown upon it as waste of time of the highest court in the land, which, according to them, should not engage itself in such small and trifling matters.	None
Moreover, these selfstyled human rights activists forget that civil and political rights, priceless and invaluable as they are for freedom and democracy, simply do not exist for the vast masses of our people.	None
Large numbers of men, women and children who constitute the bulk of our population are today living a sub human existence in conditions of abject poverty utter grinding poverty has broken their back and sapped their moral fibre.	None
They have no faith in the existing social and economic system.	None
Public interest litigation, as we conceive it, is essentially a cooperative or collaborative effort on the part of the petitioner, the State or public authority and the court to secure observance of the constitutional or legal rights, benefits and privileges conferred upon the vulnerable sections of the community and to reach social justice to them.	None
The State or public authority against whom public interest litigation is brought should be as much interested in ensuring basic human rights, constitutional as well as legal, to those who are in a socially and economically disadvantaged position, as the petitioner who brings the public interest litigation before the court.	None
The State or public authority which is arrayed as a respondent in public interest litigation should, in fact, welcome it, as it would give it an opportunity to right a wrong or to redress an injustice done to the poor and weaker sections of the community whose welfare is and must be the prime concern of the State or the public authority.	None
There is a misconception in the minds of some lawyers, journalists and men in public life that public interest litigation is unnecessarily cluttering up the files of the court and adding to the already staggering arrears of cases which are pending for long years and it should not therefore be encouraged by the court.	None
This is, to our mind, a totally perverse view smacking of elitist and status quoist approach.	None
Those who are decrying public interest litigation do not seem to realise that courts are not meant only for the rich and the welltodo, for the landlord and the gentry, for the business magnate and the industrial tycoon, but they exist also for the poor and the downtrodden, the havenots and the handicapped and the halfhungry millions of our countrymen.	None
So far the courts have been used only for the purpose of vindicating the rights of the wealthy and the affluent.	None
It is only these privileged classes which have been able to approach the courts for protecting their vested interests.	None
It is only the moneyed who have so far had the golden key to unlock the doors of justice.	None
No State has a right to tell its citizens that because a large number of cases of the rich and the welltodo are pending in our courts, we will not help the poor to come to the courts for seeking justice until the staggering load of cases of people who can afford, is disposed of.	None
The time has now come when the courts must become the courts for the poor and struggling masses of this country.	None
They must shed their character as upholders of the established order and the status quo.	None
They must be sensitised to the need of doing justice to the large masses of people to whom justice has been denied by a cruel and heartless society for generations.	None
The realisation must come to them that social justice is the signature tune of our Constitution and it is their solemn duty under the Constitution to enforce the basic human rights of the poor and vulnerable sections of the community and actively help in the realisation of the constitutional goals.	None
(emphasis supplied)	None
In Hussainara Khatoon (IV) v. State of Bihar (1980) 1 SCC 98 , P.N. Bhagwati, J. (as he then was) observed Today, unfortunately, in our country the poor are priced out of the judicial system with the result that they are losing faith in the capacity of our legal system to bring about changes in their life conditions and to deliver justice to them.	None
The poor in their contact with the legal system have always been on the wrong side of the line.	None
They have always come across law for the poor rather than law of the poor.	None
The law is regarded by them as something mysterious and forbiddingalways taking something away from them and not as a positive and constructive social device for changing the social economic order and improving their life conditions by conferring rights and benefits on them.	None
The result is that the legal system has lost its credibility for the weaker sections of the community.	None
In Municipal Council, Ratlam v. Vardhichan (1980) 4 SCC 162 , Krishna Iyer, J. said The truth is that a few profound issues of processual jurisprudence of great strategic significance to our legal system face us and we must zeroin on them as they involve problems of access to justice for the people beyond the blinkered rules of standing of BritishIndian vintage.	None
If the centre of gravity of justice is to shift, as the Preamble to the Constitution mandates, from the traditional individualism of locus standi to the community orientation of public interest litigation, these issues must be consideredxxx	None
xxx xxx Why drive common people to public interest action?	None
Where directive principles have found statutory expression in dos and donts the court will not sit idly by and allow municipal government to become a statutory mockery.	None
The law will relentlessly be enforced and the plea of poor finance will be poor alibi when people in misery cry for justice.	None
In State of Uttaranchal v. Balwant Singh Chaufal (2010) 3 SCC 402 ), this Court examined various facets of public interest litigation in the backdrop of criticism from within and outside the system.	None
Dalveer Bhandari, J. made lucid analysis of the concept and development of public interest litigation in the following three phases Phase I.It deals with cases of this Court where directions and orders were passed primarily to protect fundamental rights under Article 21 of the marginalised groups and sections of the society who because of extreme poverty, illiteracy and ignorance cannot approach this Court or the High Courts.	None
Phase II.It deals with the cases relating to protection, preservation of ecology, environment, forests, marine life, wildlife, mountains, rivers, historical monuments, etc. etc.	None
Phase III.It deals with the directions issued by the Courts in maintaining the probity, transparency and integrity in governance.	None
While dealing with the first phase of development, the Court referred to large number of precedents and recorded its conclusion in the following words We would not like to overburden the judgment by multiplying these cases, but a brief resume of these cases demonstrates that in order to preserve and protect the fundamental rights of marginalised, deprived and poor sections of the society, the courts relaxed the traditional rule of locus standi and broadened the definition of aggrieved persons and gave directions and orders.	None
We would like to term cases of this period where the Court relaxed the rule of locus standi as the first phase of the public interest litigation.	None
The Supreme Court and the High Courts earned great respect and acquired great credibility in the eyes of public because of their innovative efforts to protect and preserve the fundamental rights of people belonging to the poor and marginalised sections of the society.	None
These judgments are complete answer to the appellants objection to the maintainability of the writ petition filed by respondent No.1.	None
What the High Court has done by entertaining the writ petition and issuing directions for protection of the persons employed to do work relating to sewage operations is part of its obligation to do justice to the disadvantaged and poor sections of the society.	None
We may add that the superior Courts will be failing in their constitutional duty if they decline to entertain petitions filed by genuine social groups, NGOs and social workers for espousing the cause of those who are deprived of the basic rights available to every human being, what to say of fundamental rights guaranteed under the Constitution.	None
It is the duty of the judicial constituent of the State like its political and executive constituents to protect the rights of every citizen and every individual and ensure that everyone is able to live with dignity.	None
Given the option, no one would like to enter the manhole of sewage system for cleaning purposes, but there are people who are forced to undertake such hazardous jobs with the hope that at the end of the day they will be able to make some money and feed their family.	None
They risk their lives for the comfort of others.	None
Unfortunately, for last few decades, a substantial segment of the urban society has become insensitive to the plight of the poor and downtrodden including those, who, on account of sheer economic compulsions, undertake jobs works which are inherently dangerous to life.	None
