 	Issue
The High Court discussed the question whether morality can be a ground for imposing restriction on fundamental rights, referred to the judgments in Gobind v. State of Madhya Pradesh and another (1975) 2 SCC 148 , Lawrence v. Texas 539 U.S. 558 (2003), Dudgeon v. UK, European Court of Human Rights Application No.7525/1976, Norris v. Republic of Ireland, European Court of Human Rights Application No. 10581/1983, The National Coalition for Gay and Lesbian Equality v. The Minister of Justice, South African Constitutional Court 1999 (1) SA 6, the words of Dr. Ambedkar quoting Grotius while moving the Draft Constitution, Granville Austin in his treatise The Indian Constitution Cornerstone of A Nation, the Wolfenden Committee Report, 172nd Law Commission of India Report, the address of the Solicitor General of India before United Nations Human Rights Council, the opinion of Justice Michael Kirby, former Judge of the Australian High Court and observed Thus popular morality or public disapproval of certain acts is not a valid justification for restriction of the fundamental rights under Article 21.	Facts
Popular morality, as distinct from a constitutional morality derived from constitutional values, is based on shifting and subjecting notions of right and wrong.	Facts
If there is any type of morality that can pass the test of compelling state interest, it must be constitutional morality and not public morality.	None
The argument of the learned ASG that public morality of homosexual conduct might open floodgates of delinquent behaviour is not founded upon any substantive material, even from such jurisdictions where sodomy laws have been abolished.	Facts
Insofar as basis of this argument is concerned, as pointed out by Wolfenden Committee, it is often no more than the expression of revulsion against what is regarded as unnatural, sinful or disgusting.	Facts
Moral indignation, howsoever strong, is not a valid basis for overriding individuals fundamental rights of dignity and privacy.	Facts
In our scheme of things, constitutional morality must outweigh the argument of public morality, even if it be the majoritarian view.	Facts
In Indian context, the latest report (172nd) of Law Commission on the subject instead shows heightened realization about urgent need to follow global trends on the issue of sexual offences.	Facts
In fact, the admitted case of Union of India that Section 377 IPC has generally been used in cases of sexual abuse or child abuse, and conversely that it has hardly ever been used in cases of consenting adults, shows that criminalization of adult same sex conduct does not serve any public interest.	Facts
The compelling state interest rather demands that public health measures are strengthened by decriminalization of such activity, so that they can be identified and better focused upon.	Facts
For the above reasons we are unable to accept the stand of the Union of India that there is a need for retention of Section 377 IPC to cover consensual sexual acts between adults in private on the ground of public morality.	Facts
The High Court then considered the plea of respondent No.1 that Section 377 is violative of Article 14 of the Constitution, referred to the tests of permissible classification as also the requirements of reasonableness and nonarbitrariness as laid down by this Court and held that the classification created by Section 377 IPC does not bear any rational nexus to the objective sought to be achieved.	Facts
The observations made by the High Court on this issue are extracted below It is clear that Section 377 IPC, whatever its present pragmatic application, was not enacted keeping in mind instances of child sexual abuse or to fill the lacuna in a rape law.	Facts
It was based on a conception of sexual morality specific to Victorian era drawing on notions of carnality and sinfulness.	Facts
In any way, the legislative object of protecting women and children has no bearing in regard to consensual sexual acts between adults in private.	Facts
The second legislative purpose elucidated is that Section 377 IPC serves the cause of public health by criminalizing the homosexual behaviour.	Facts
As already held, this purported legislative purpose is in complete contrast to the averments in NACOs affidavit.	Facts
NACO has specifically stated that enforcement of Section 377 IPC adversely contributes to pushing the infliction underground, make risky sexual practices go unnoticed and unaddressed.	Facts
Section 377 IPC thus hampers HIV AIDS prevention efforts.	Facts
Lastly, as held earlier, it is not within the constitutional competence of the State to invade the privacy of citizens lives or regulate conduct to which the citizen alone is concerned solely on the basis of public morals.	Facts
The criminalization of private sexual relations between consenting adults absent any evidence of serious harm deems the provisions objective both arbitrary and unreasonable.	Facts
The state interest must be legitimate and relevant for the legislation to be nonarbitrary and must be proportionate towards achieving the state interest.	Facts
If the objective is irrational, unjust and unfair, necessarily classification will have to be held as unreasonable.	Facts
The nature of the provision of Section 377 IPC and its purpose is to criminalise private conduct of consenting adults which causes no harm to anyone else.	Facts
It has no other purpose than to criminalise conduct which fails to conform with the moral or religious views of a section of society.	Facts
The discrimination severely affects the rights and interests of homosexuals and deeply impairs their dignity.	Facts
The High Court took note of the Declaration of Principles of Equality issued by the Equal Rights Trust in April, 2008.	Facts
It referred to the judgments in The National Coalition for Gay and Lesbian Equality v. The Minister of Justice, Lawrence v. Texas, Romer v Evans, Vriend v. Alberta and held Section 377 IPC is facially neutral and it apparently targets not identities but acts, but in its operation it does end up unfairly targeting a particular community.	Facts
The fact is that these sexual acts which are criminalised are associated more closely with one class of persons, namely, the homosexuals as a class.	Facts
Section 377 IPC has the effect of viewing all gay men as criminals.	Facts
When everything associated with homosexuality is treated as bent, queer, repugnant, the whole gay and lesbian community is marked with deviance and perversity.	Facts
They are subject to extensive prejudice because what they are or what they are perceived to be, not because of what they do.	Facts
The result is that a significant group of the population is, because of its sexual nonconformity, persecuted, marginalised and turned in on itself.	Facts
Sachs, J. in The National Coalition for Gay and Lesbian Equality v. The Minister of Justice, para 108.13.	Facts
The High Court also discussed the case of Anuj Garg v. Hotel Association of India in detail and made reference to the principles of strict scrutiny and proportionality review as borrowed from the jurisprudence of the US Supreme Court, the Canadian and European Courts and proceeded to observe On a harmonious construction of the two judgments, the Supreme Court must be interpreted to have laid down that the principle of strict scrutiny would not apply to affirmative action under Article 15(5) but a measure that disadvantages a vulnerable group defined on the basis of a characteristic that relates to personal autonomy must be subject to strict scrutiny.	Facts
Thus personal autonomy is inherent in the grounds mentioned in Article 15.	Facts
The grounds that are not specified in Article 15 but are analogous to those specified therein, will be those which have the potential to impair the personal autonomy of an individual.	Facts
This view was earlier indicated in Indra Sawhney v. Union of India, (1992) Supp.	Facts
3 SCC 217.As held in Anuj Garg, if a law discriminates on any of the prohibited grounds, it needs to be tested not merely against reasonableness under Article 14 but be subject to strict scrutiny.	Facts
The impugned provision in Section 377 IPC criminalises the acts of sexual minorities particularly men who have sex with men and gay men.	Facts
It disproportionately impacts them solely on the basis of their sexual orientation.	Facts
The provision runs counter to the constitutional values and the notion of human dignity which is considered to be the cornerstone of our Constitution.	Facts
Section 377 IPC in its application to sexual acts of consenting adults in privacy discriminates a section of people solely on the ground of their sexual orientation which is analogous to prohibited ground of sex.	Facts
A provision of law branding one section of people as criminal based wholly on the States moral disapproval of that class goes counter to the equality guaranteed under Articles 14 and 15 under any standard of review.	Facts
A constitutional provision must be construed, not in a narrow and constricted sense, but in a wide and liberal manner so as to anticipate and take account of changing conditions and purposes so that the constitutional provision does not get atrophied or fossilized but remains flexible enough to meet the newly emerging problems.	Facts
Francis Coralie Mullin v. Union Territory of Delhi (1981) 1 SCC 608 , Para 6 of SCC.	Facts
Finally, the High Court elaborated upon the scope of the Courts power to declare a statutory provision invalid, referred to the judgments in State of Madras v. V.G. Row, R. (Alconbury Ltd.) v. Environment Secretary, 2001 2 WLR 1389, West Virginia State Board of Education v. Barnette, 319 US 624 (1943),	None
I.R. Coelho (Dead) by LRs v. State of Tamil Nadu Ors., (2007) 2 SCC 1 and Raja Ram Pal v. Honble Speaker, Lok Sabha Ors., (2007) 3 SCC 184 , Peerless General Finance Investment Co. Ltd. v. Reserve Bank of India, (1992) 2 SCC 343 and held It is true that the courts should ordinarily defer to the wisdom of the legislature while exercising the power of judicial review of legislation.	Facts
But it is equally well settled that the degree of deference to be given to the legislature is dependent on the subject matter under consideration.	Facts
When matters of high constitutional importance such as constitutionally entrenched human rights are under consideration, the courts are obliged in discharging their own sovereign jurisdiction, to give considerably less deference to the legislature than would otherwise be the case.	Facts
In the present case, the two constitutional rights relied upon i.e. right to personal liberty and right to equality are fundamental human rights which belong to individuals simply by virtue of their humanity, independent of any utilitarian consideration.	Facts
A Bill of Rights does not confer fundamental human rights.	Facts
It confirms their existence and accords them protection.	Facts
After the conclusion of oral hearing, learned ASG filed his written submissions in which he claimed that the courts have only to interpret the law as it is and have no power to declare the law invalid.	Facts
According to him, therefore, if we were to agree with the petitioner, we could only make recommendation to Parliament and it is for Parliament to amend the law.	Facts
We are constrained to observe that the submission of learned ASG reflects rather poorly on his understanding of the constitutional scheme.	Facts
It is a fundamental principle of our constitutional scheme that every organ of the State, every authority under the Constitution derives its power or authority under the Constitution and has to act within the limits of powers.	Facts
The judiciary is constituted as the ultimate interpreter of the Constitution and to it is assigned the delicate task of determining what is the extent and scope of the power conferred on each branch of government, what are the limits on the exercise of such power under the Constitution and whether any action of any branch transgresses such limits.	Facts
The role of the judiciary is to protect the fundamental rights.	Facts
A modern democracy while based on the principle of majority rule implicitly recognizes the need to protect the fundamental rights of those who may dissent or deviate from the majoritarian view.	Facts
It is the job of the judiciary to balance the principles ensuring that the government on the basis of number does not override fundamental rights.	Facts
After the enunciation of the basic structure doctrine, full judicial review is an integral part of the constitutional scheme.	Facts
To quote the words of Krishna Iyer, J. The compulsion of constitutional humanism and the assumption of full faith in life and liberty cannot be so futile or fragmentary that any transient legislative majority in tantrums against any minority by three quick readings of a Bill with the requisite quorum, can prescribe any unreasonable modality and thereby sterilise the grandiloquent mandate.	Facts
The order of the High Court has been challenged by large number of organizations and individuals including Joint Action Council Kannur and Shri B.P. Singhal, who were interveners before the High Court.	None
During the pendency of the special leave petitions several individuals and organisations filed IAs for permission to intervene.	Facts
All the IAs were allowed vide order dated 7.2.2011 and the applicants were permitted to act as interveners.	Facts
The details of the parties and interveners before this Court are as underCase NumberNameDescription before the CourtDetailsSLP (C) No. 15436/2009 (CC No. 9255/2009)Suresh KumarKoushal Anr.	Facts
Petitioners (Not parties before the High Court)Petitioners are citizens of India who believe they have the moral responsibility and duty in protecting cultural values of Indian society.?Samajik Ekta PartyIntervener IA	Facts
No. 4/2009The applicant is a political party registered by the Election Commission of India under Sec 29A, Representation of People Act, 1951 vide order dt.	Facts
20.4.1995.	Facts
It is interested in the welfare of the citizens, their rights, functioning of the State and interest of public at large.?Mr.	Facts
Shyam BenegalIntervener IA No.	Facts
6/2009The applicant is a film maker and a citizen.	Facts
He seeks impleadment in the SLP in light of the fact that due to the misunderstanding and confusion of thought with regard to homosexuality, all points of view must be projected before this Honble Court.?Trust God MissionariesInterveners IA No.	Facts
7/2010The applicant is a registered charitable trust having the main aim to preserve and protect life for humanity and earth and takes support from human rights, social and religious organisations, such as CBCI, NCCI and KCBC, etc.	Facts
The applicant claims to be vitally interested in the outcome of the appeal and is an affected party.?Minna Saran Others (Parents of LGBT	Facts
Children)Interveners IA No.	Facts
8/2010The applicants are parents of lesbian, gay, bisexual and transgender persons from different professional, sociocultural backgrounds and different regions of India.	Facts
They have a direct and immediate stake in the proceedings and are necessary and proper parties.	Facts
No prejudice will be caused to the petitioners if the applicants are impleaded but the applicants will sufferer irreparable harm and damage as criminalisation not only affects the LGBT persons but also their families.	Facts
Their struggles of having to understand sexuality at odds with Section 377 IPC have resulted in accepting their childrens sexuality and they are acutely aware of the social stigma prejudice, myths and stereotypes that surround the subject of homosexuality in India.?Dr.	Facts
Shekhar Seshadri Others (Professor of Psychiatry at the NationalInstitute of Mental Health and Neuro Sciences, Bangalore)Interveners  IA No.	Facts
9/2010The Applicants are mental health professionals who have been practising as psychiatrists, clinical psychologists and behavioral psychologists in the field of mental health in reputed medical institutions throughout India.	Facts
They claim to have had considerable expertise in addressing the mental health concerns of Lesbian, Gay, Bisexual and Transgender persons.	Facts
The Applicants submit that sexual orientation is an immutable characteristic and is present at birth.?Nivedita Menon Others (Professor in Political Thought, Jawaharlal NehruUniversity)Interveners  I.A.	Facts
No. 10/2010The	Facts
Applicants are academicians who wish to contribute to the debate on the issues raised by the judgment and to draw attention to the mental distress caused to the LGBT community.?Ratna Kapur Ors.	Facts
Interveners IA	Facts
No. 13/2011The applicants are law professors, teachers and research associates with Jindal Global Law School working in different fields of law such as jurisprudence, human rights, sexuality studies and law, criminal justice, and cultural studies and law, and feminist legal theory.	Facts
They are concerned with the correct interpretation of statutes and the constitutional validity of Section 377 IPC.SLP (C)	Facts
No. 24334/2009DelhiCommission for Protection of Child RightsPetitioner (Not parties before the High Court)The petitioner has been constituted under the Commissions for Protection of Child Rights Act, 2005 read with GoI MHA notification dt. 15.1.2008.	Facts
Under Sec 13(1j)	Facts
the Commission is empowered to take suo moto notice of deprivation and violation of child rights, non implementation of laws providing for protection and development of children, and non compliance of policy decisions, guidelines or instructions aimed at mitigating hardship and ensuring welfare of children and providing relief.	Facts
Its functions include study and monitor matters relating to constitutional and legal rights of children examine and review safeguards for protection of child rights and effective implementation of the same review existing law and recommend amendments look into complaints of taking suo moto action in cases involving violation of child rights monitor implementation of laws present reports to the Central Government.	Facts
It is the moral duty of the Commission to protect the best interest of children and provide them with an atmosphere where the freedom and dignity of all children is safe and a child may bloom without any fear of abuse, exploitation and deprivation.	Facts
CC No. 13105/2009Ram	Facts
MurtiPetitioner (not party before the High CourtHe is a citizen of India and has a duty to report if something illegal is happening.	Facts
SLP (C) No. 22267/2009B.P. SinghalPetitioner (Respondent 7 Intervenerbefore the High Court?SLP (C)	Facts
No. 34187/2009B. Krishna BhatPetitioner (not a party before the High Court)The petitioner is a citizen of India and a public spirited individual, social worker and environmentalist who believes in the Rule of Law and has successfully prosecuted a number of PILs in Karnataka High Court, other High Courts and theSupreme Court on issues of protection of green belt, illegal extraction of monies from citizens of Bangalore, property taxes, illegal mining, stray dog menace, development of tanks, shifting of slaughter house, caste based reservation, etc.SLP (C)	Facts
No. 286/2010Joint Action Council, KannurPetitioner (respondent 6 Intervener before the High Court)?SLP (C) No. 872/2010The	Facts
Tamil Nadu Muslim MunnetraKazhagamPetitioner (not a party before the High Court)The petitioner is a registered trust working for the betterment of the poor and downtrodden in general and for those belonging to the minority Muslim community in particular.	Facts
It is a mass based voluntary organisation of Muslims of Tamil Nadu functioning since 1955 in Tamil Nadu.	Facts
The president appeared before the UN Minority Rights Working Group and the organisation has set up a Tsunami Relief Fund of Rs 7 million.	Facts
It has worked against spread of AIDS and has worked in blood donation and has been given two awards by the Tamil Nadu State AIDS Control Board.	Facts
SLP (C) No. 873/2010RazaAcademyPetitioner (not a party before the High Court)The petitioner is an organization working for welfare of the general public and it has done tremendous work in public interest.	Facts
SLP (C) No. 36216/200Krantikati Manuvadi Morcha Party Anr.	Facts
Petitioner (not a party before the High Court)Krantikari Manuwadi Morcha (Revolutionary Manuist Front), is a Hindutva political organisation in India.	Facts
It is one of the registered unrecognized political parties in India.	Facts
The president of KMM is Ram Kumar Bhardwaj, grandson of freedom fighter Rudra Dutt Bhardwaj.	Facts
CC No. 19478/2009Utkal ChristianCouncil rep. by Secretary Miss Jyotsna Rani PatroPetitioner (not a party before the High Court)Note There is no information on the petitioner in the SLP.CC No. 425/2010All	Facts
India MuslimPersonal Law BoardPetitioner (not a party before the High Court)The petitioner is a registered society established to protect and preserve Muslim Personal Laws.	Facts
It strives to uphold the traditional values and ethos of the Muslimcommunity and promotes essential values of Islam and also a national ethos among Muslims.	Facts
The members of the society are religious scholars (ulemas), Muslim intellectuals and professionals from different disciplines.	Facts
SLP (C) No. 20913/2009Sh.	Facts
S.K. TijarawalaPetitioner (not a party before the High Court)Petitioner is spokesperson of Yoga Guru Swami Ramdev Ji is running a social welfare trust in the name of Bharat Swabhiman Patanjali Yogpeeth Trust.	Facts
Petitioner is an eminent social worker and writer interested in protecting culturalvalues of the Indian society.	Facts
SLP (C) No.	Facts
20914/2009Apostolic Churches Alliance rep. by its bishop Sam T. VarghesePetitioner (not a party before the High Court)With a desire to promote unity, build relationships, and see increased cooperation amongst Churches, a few pastors from growing independent churches in Kerala have come together and formed a body called the Apostolic Churches Alliance (ACA).	Facts
The Alliance has been formed with the primary purpose of addressing spiritual, legal or any other kind of issue which may be relevant to the Churches at any given time or place.	Facts
The ACA is a registered body with nine Pastors as members of the Core Group and is in its early stages of growth.	Facts
Pastor Sam T. Varghese of Life Fellowship, Trivandrum, serves asits General Overseer.	Facts
SLP (C) No. 25364/2009Prof.	Facts
Bhim SinghPetitioner (not a party before the High Court)?CC No. 14042/2009Sanatan Dharam Pritinidhi Sabha Delhi (Registered)Petitioner (not a party before the High Court)?	Facts
ARGUMENTS 16.1	None
Shri Amrendra Sharan, Senior Advocate appearing for the appellant in Civil Appeal arising out of SLP(C)	Arguments of Petitioner
No.24334/2009 Delhi Commission for Protection of Child Rights led arguments on behalf of those who have prayed for setting aside the impugned order.	Arguments of Petitioner
He was supported by Shri V. Giri, Senior Advocate appearing for Apostolic Churches Alliance SLP(C)	Arguments of Petitioner
No. 20914/2009 and Utkal Christian Council SLP(C) No.19478/2009, Shri K. Radhakrishnan, Senior Advocate appearing for intervener Trust God Missionaries, and S Shri Sushil Kumar Jain, counsel for the appellant  Kranthikari Manuvadi Morcha Party (SLP(C) No.36216/2009), Huzefa Ahmadi appearing for All India Muslim Personal Law Board (SLP(C) No. CC425/2010), Purshottaman Mulloli appearing in person for Joint Action Council, Kannur (SLP (C) No.286/2010), Ajay Kumar for the appellant S.K. Tijarawala (SLP(C) No.20913/2009), Praveen Agrawal, counsel for the appellant Suresh Kumar Koushal (SLP(C) No.15436/2009, H.P. Sharma, counsel for the appellant B.P. Singhal (SLP(C) No.22267/2009), K.C. Dua, counsel for appellant S.D. Pritinidhi Sabha Delhi (SLP(C)	Arguments of Petitioner
No.CC 14042/2009), P.V. Yogeswaran for appellant Bhim Singh (SLP(C) No.25346/2009), Lakshmi Raman Singh, counsel for appellant Tamil Nadu Muslim Munn.	Arguments of Petitioner
Kazhgam and Mushtaq Ahmad, counsel for appellant  Raza Academy (SLP(C) No.873/2010).	Arguments of Petitioner
Shri Amarendra Sharan made the following arguments16.2 That the High Court committed serious error by declaring Section 377 IPC as violative of Articles 21, 14 and 15 of the Constitution insofar as it criminalises consensual sexual acts of adults in private completely ignoring that the writ petition filed by respondent no.1 did not contain foundational facts necessary for pronouncing upon constitutionality of a statutory provision.	Arguments of Petitioner
Learned counsel extensively referred to the averments contained in the writ petition to show that respondent no.1 had not placed any tangible material before the High Court to show that Section 377 had been used for prosecution of homosexuals as a class and that few affidavits and unverified reports of some NGOs relied upon by respondent no.1 could not supply basis for recording a finding that homosexuals were being singled out for a discriminatory treatment.16.3 The statistics incorporated in the affidavit filed on behalf of NACO were wholly insufficient for recording a finding that Section 377 IPC adversely affected control of HIV AIDS amongst the homosexual community and that decriminalization will reduce the number of such cases.16.4	Arguments of Petitioner
The High Court is not at all right in observing that Section 377 IPC obstructs personality development of homosexuals or affects their selfesteem because that observation is solely based on the reports prepared by the academicians and such reports could not be relied upon for grant of a declaration that the section impugned in the writ petition was violative of Articles 14 and 15 of the Constitution.	Arguments of Petitioner
In support of these arguments, learned counsel relied upon the judgments in Southern Petrochemical Industries v. Electricity Inspector (2007) 5 SCC 447 , Tamil Nadu Electricity Board v. Status Spinning Mills (2008) 7 SCC 353 and Seema Silk and Sarees v. Directorate of Enforcement (2008) 5 SCC 580.	Arguments of Petitioner
16.5	Arguments of Petitioner
That Section 377 IPC is gender neutral and covers voluntary acts of carnal intercourse against the order of nature irrespective of the gender of the persons committing the act.	Arguments of Petitioner
They pointed out that the section impugned in the writ petition includes the acts of carnal intercourse between man and man, man and woman and woman and woman and submitted that no Constitutional right vests in a person to indulge in an activity which has the propensity to cause harm and any act which has the capacity to cause harm to others cannot be validated.	Arguments of Petitioner
They emphasized that anal intercourse between two homosexuals is a high risk activity, which exposes both the participating homosexuals to the risk of HIV AIDS and this becomes even grave in case of a male bisexual having intercourse with female partner who may not even be aware of the activity of her partner and is yet exposed to high risk of HIV AIDS.	Arguments of Petitioner
