 	Facts
In some of the other appeals, the Appellants have challenged the orders passed by the Designated Judge rejecting their applications for appointment of Arbitrator under the relevant clause of their respective agreements.	Facts
In the 5 appeals, Karnataka Neeravari Nigam Limited and Krishna Bhagya Jala Nigam Limited have challenged the orders passed by the Designated Judge for appointment of the Chief Engineer as an Arbitrator and directed him to adjudicate the matter in dispute.	Facts
THE ARGUMENTS Mrs. Kiran Suri, Senior Advocate and other Learned Counsel appearing for the contractors argued that the impugned orders are liable to be set aside because the learned Designated Judge and the Division Bench of the High Court misconstrued the relevant clauses of the agreements.	Arguments of Petitioner
She further argued that in view of the judgment of the Division Bench of the High Court in Karnataka State Road Transport Corporation and Anr.	Arguments of Petitioner
v. M. Keshava	Arguments of Petitioner
Raju 2004 (1) Arb.	Arguments of Petitioner
LR 507 and of this Court in Smt.	Arguments of Petitioner
Rukmanibai Gupta v. Collector, Jabalpur and Ors.	Arguments of Petitioner
(1980) 4 SCC 556 , Krishna Bhagya Jala Nigam Limited v. G. Harishchandra Reddy and Anr.	Arguments of Petitioner
(2007) 2 SCC 720 , Punjab State and Ors.	Arguments of Petitioner
v. Dina Nath (2007) 5 SCC 28 , State of Orissa and Ors.	Arguments of Petitioner
v. Bhagyadhar Dash (2011) 7 SCC 406 , Bharat Bhushan Bansal v. U.P. Small Industries Corporation Ltd., Kanpur (1999) 2 SCC 166 and K.K. Modi v. K.N. Modi and Ors.	Arguments of Petitioner
(1998)	Arguments of Petitioner
3CC 573, the judgment in Mysore Construction Co. v. Karnataka Power Corporation Limited (supra) cannot be treated as laying down correct law.	Arguments of Petitioner
Mrs. Suri also relied upon Section 20 of the Arbitration Act, 1940 (for short, the 1940 Act) and argued that Clause 29 of the agreement executed between Appellant P. Dasaratharama Reddy Complex and the Government of Karnataka and similar clauses contained in other agreements provide for resolution of disputes by arbitration and the High Court committed serious error by refusing to appoint an Arbitrator.	Arguments of Petitioner
9.	None
Shri Naveen R. Nath, Learned Counsel, who appeared on behalf of Krishna Bhagya Jala Nigam Limited and Karnataka Neeravari Nigam Limited, who are the Appellants in the five appeals and Respondents in some of the other cases argued that Clause 29 of the agreement executed between the Appellant and the Government of Karnataka in Civil Appeal No. 1586 of 2004 and similar clauses in other agreements are in the nature of departmental dispute resolution mechanism and the same cannot be treated as an arbitration clause.	Arguments of Respondent
He pointed out that Clause 29 and similar clauses contained in other agreements neither postulate hearing of the parties by the Chief Engineer nor he can adjudicate the dispute.	Arguments of Respondent
Shri Nath pointed out that the relevant clauses in the agreements entered into between the parties provide for settlement of disputes through Court and, therefore, the decision, if any, taken by the Chief Engineer cannot be treated as an award of the Arbitrator.	Arguments of Respondent
We have considered the respective submissions.	None
Clause 29 of the Agreement entered into between the parties (the Appellant and the Respondents in Civil Appeal No. 1586/2004) and majority of other cases read as under Clause29 (a)	None
If any dispute or difference of any kind whatsoever were to arise between the Executive Engineer Superintending Engineer and the Contractor regarding the following matters namely, The meaning of the specifications designs, drawings and instructions herein before mentioned The quality of workmanship or material used on the work and Any other questions, claim right, matter, thing, whatsoever, in any way arising out of or relating to the contract designs, drawings, specifications estimates, instructions, or orders, or those conditions or failure to execute the same whether arising during the progress of the work, or after the completion, termination or abandonment thereof, the dispute shall, in the first place, be referred to the Chief Engineer who has jurisdiction over the work specified in the contract.	None
The Chief Engineer shall within a period of ninety days from the date of being requested by the Contractor to do so, given written notice of his decision to the contractor.	None
Chief Engineers decision final Subject to other form of settlement hereafter provided, the Chief Engineers decision in respect of every dispute or difference so referred shall be final and binding upon the Contractor.	None
The said decision shall forthwith be given effect to and contractor shall proceed with the execution of the work with all due diligence.	None
Remedy when Chief Engineers decision is not acceptable to Contract In case the decision of the Chief Engineer is not acceptable to the contractor, he may approach the Law Courts at for settlement of dispute after giving due written notice in this regard to the Chief Engineer within a period of ninety days from the date of receipt of the written notice of the decision of the Chief Engineer.	Reasoning
Time limit for notice to approach law Court by Contractor If the Chief Engineer has given written notice of his decision to the Contractor and no written notice to approach the law court has been communicated to him by the Contractor within a period of ninety days from receipt of such notice, the said decision shall be final and binding upon the Contractor.	None
Time limit for notice to approach law court by contractor when decision is not given by CE as at (b) If the Chief Engineer fails to give notice of his decision within a period of ninety days from the receipt of the Contractors request in writing for settlement of any dispute or difference as aforesaid, the contractor may within ninety days after the expiry of the first named period of ninety days approach the Law Courts at giving due notice to the Chief Engineer.	None
Contractor to execute and complete work pending settlement of disputes Whether the claim is referred to the Chief Engineer or to the Law Courts, as the case may be, the contractor shall proceed to execute and complete the works with all due diligence pending settlement of the said dispute or differences.	None
Obligations of the Executive Engineer and Contractor shall remain unsettled during consideration of dispute.	None
The reference of any dispute or difference to the Chief Engineer or the Law Court may proceed notwithstanding that the works shall then be or be alleged to be complete, provided always that the obligations of the Executive Engineer and the Contractor shall not be altered by reason of the said dispute or difference being referred to the Chief Engineer or the Law Court during the Progress of the works.	None
(Emphasis supplied)	None
Clause 7 of the Agreement, which was subject matter of consideration in Civil Appeal No. 4187/2004  	None
C.C. Kondaiah v. the Secretary, Nagarika Yogbakashema Mathu Gruha Nirmana Sahakara Sangha, reads thus In all matters of dispute arising out of this contract agreement regarding the quality of materials, work, etc., the decision of the Board of Directors of the Sangha, shall be final and binding on the part of the Contractor.	None
Clause 66 of the contract, which is subject matter of consideration in the appeals arising out of SLP(C)Nos. 31975/2011 and 13528/2012, reads thus Clause 66 SETTLEMENT of DISPUTES If any disputes or difference of any kind whatsoever and contractor in connection with, or raising out of the contract or the execution of works, whether during the progress of the works or after their completion and whether before or after the termination abandonment or breach of the contract, it shall, in the first place, be referred to and settled by the Engineer who shall, within a period of forty five days from the date of being requested by the contractor to do so, give written notice of his decision to the contractor.	None
Subject to other form of settlement hereafter provided, such decision in respect of every dispute or difference so referred shall be final and binding upon the contractor.	None
The said decision shall forthwith be given effect to, and the contractor shall proceed with the execution of the works with all due diligence.	None
In case the decision of the Engineer is not acceptable to the contractor, he may approach the law courts for settlement of dispute after giving due written notice in this regard to the Engineer within a period of forty five days form the date of receipt of the written notice of the decision of the Engineer.	None
If the Engineer has given written notice of his decision to the contractor and no written notice to approach the law courts has been communicated to him by the contractor within a period of forty five days from receipt of such notice, the said decision shall be final and binding upon the contractor.	None
If the Engineer shall fail to give notice of his decision within a period of forty five days form the receipt of the contractors request in writing for settlement of any dispute or difference as aforesaid, the contractor may within forty five days after the expiration of the first named period of forty five days approach the law courts, giving due notice to the Engineer.	None
Whether the claim is referred to the Engineer or the law courts, as the case may be, the contractor shall proceed to execute and complete the works with all due diligence pending settlement of the said dispute or differences.	None
The reference of any dispute or difference to the engineer or law courts may proceed not withstanding that the works shall then be or be alleged to be complete, provided always that the obligations of the Engineer and the contractor shall not be altered by reason of the said dispute or difference being referred to the engineer or law courts during the progress of the works.	None
Neither party is entitled to bring a claim to resolution of disputes if the dispute or differences are not notified in writing within thirty (30) days after expiration of the maintenance period.	None
(Emphasis supplied)	None
Clause 67 of the contract, which is subject matter of consideration in the appeal arising out of SLP(C)	None
No. 12553/2006, reads thus SETTLEMENT OF DISPUTES If any dispute or difference of any kind whatsoever shall arise between the Engineer and the Contractor in connection with, or arising out of the Contract, or the execution of works, whether during the progress of the works or after their completion and whether before or after the termination, abandonment or breach of the Contract, it shall, in the first place, be referred to and settled by the Engineer who shall, within a period of ninety days from the date of being requested by the Contractor to do so, give written notice of his decision of the Contractor.	None
Subject to other form of settlement hereafter provided, such decision in respect of every dispute or difference so referred shall be final and binding upon the Contractor.	None
The said decision shall forthwith be given effect to, and the Contractor shall proceed with the execution of the works with all due diligence.	None
In case the decision of the Engineer is not acceptable to the Contractor, he may approach the law Courts at Bangalore for settlement of dispute after giving due written notice in this regard to the Engineer within a period of ninety days from the date of receipt of the written notice of the decision of the Engineer.	None
If the Engineer has given written notice of his decision to the Contractor and no written notice to approach the law courts has been communicated to him by the Contractor within a period of ninety days from receipt of such notice, the said decision shall be final and binding upon the contractor.	None
If the Engineer shall fail to give notice of his decision within a period of ninety days from the receipt of the Contractors request in writing for settlement of any dispute of difference as aforesaid, the Contractor may within ninety days after the expiration of the first named period of ninety days approach the law Courts at Bangalore, giving due notice to the Engineer.	None
However the claim is referred to the Engineer or to the law Courts, as the case may be, the Contractor shall proceed to execute and complete the works with all due diligence pending settlement of the said dispute or differences.	None
The reference of any dispute or difference to the Engineer or law Courts may proceed not withstanding that the works shall then be or be alleged to be complete, provided always that the obligations of the Engineer and the Contractor shall not be altered by reason of the said dispute or difference being referred to the Engineer or law Courts during the progress of the works.	None
(Emphasis supplied)	None
In Mysore Construction Co. v. Karnataka Power Corporation Limited and Ors.	Reasoning
(supra), the learned Designated Judge referred to the passage from Russell on Arbitration (19th Edition, page 59), the judgments of this Court in K.K. Modi v. K.N. Modi and Ors.	Reasoning
(supra), Chief Conservator of Forests, Rewa v. Ratan Singh Hans AIR 1967 SC 166 Smt.	Reasoning
Rukmanibai Gupta v. the Collector, Jabalpur (supra) State of Uttar Pradesh v. Tipper Chand (1980) 2 SCC 341 State of Orissa v. Damodar Das (1996) 2 SCC 216 Bharat Bhushan Bansal v. Uttar Pradesh Small Industries Corporation Limited, Kanpur (1999) 2 SCC 166 and observed The above decisions make it clear that an agreement or a clause in an agreement can be construed as an arbitration agreement, only if, it provides for or contemplates reference of disputes or difference by either party to a private forum (other than a Court or Tribunal) or decision it provides either expressly or impliedly, for an enquiry by the private forum giving due opportunity to both parties to put forth their cases and it provides that the decision of the forum is final and binding upon the parties, without recourse to any other remedy and both would abide by such decision.	None
Where there is no provision either for reference of disputes to a private forum, or for a fair and judicious enquiry, or for a decision which is final and binding on parties to the dispute, there is no arbitration agreement.	Reasoning
The learned Designated Judge then analysed Clause 29 (old Clause 67) and recorded his observations in the following words The heading of the clause is settlement of disputes.	Reasoning
There is no reference to either arbitration or Arbitrator.	None
Clause (a) provides that if any dispute or difference of any kind whatsoever to arise between the Executive Engineer Superintending Engineer and the Contractor, regarding the matters mentioned therein, the dispute shall in the first place be referred to Chief Engineer, who has jurisdiction over the work specified in the contract.	Reasoning
Thus the reference to the Chief Engineer is only the first phase of the process of settlement of disputes and not the final phase of the settlement of disputes.	Reasoning
This is evident from the provision that when a dispute arises, it should in the first place, be referred to the Chief Engineer for decision.	Reasoning
The reference is to a person, who has jurisdiction over the contract work and not to an independent Authority nor to an officer of the Corporation, who has no connection or control over the work.	Reasoning
In other words, the decision of Chief Engineer is a decision by a person who has overall supervision and charge of the execution of the work.	Reasoning
This gives an indication that the decision of the Chief Engineer is not intended to be an adjudication of the rights of the parties to the dispute, but intended to be a decision of one party in regard to the claim of the other party, to enable the other party to seek relief in a Court of law, if he is not satisfied with the decision.	Reasoning
Subclause (b) provides that subject to other form of settlement provided in the ensuing subclause, the Chief Engineers decision in respect of every dispute or difference so referred, shall be final and binding upon the Contractor.	Reasoning
This clause makes it clear that the final remedy of the Contractor is to approach the law Court for decision on the dispute.	Reasoning
It is also significant that the decision given by the Chief Engineer is made final and binding upon the Contractor (subject to other remedies specified) and not KPC.	Reasoning
Any decision, which is made binding only on one party and not on both the parties, cannot be an adjudicatory decision.	Reasoning
The very principle of adjudication of a dispute is that it is binding on both the parties.	None
Clause (c) provides that if the Contractor is not satisfied with the decision of the Chief Engineer, he can approach the law Court at Karwar for settlement of the dispute The clause requires the Contractor to approach the law Court for settlement of disputes.	Reasoning
If as contended by the Petitioner, the disputes are to be settled by way of arbitration by the Chief Engineer, acting as Arbitrator, then the question of one of the parties being permitted to approach the law Courts for settlement of the disputes does not arise.	Reasoning
If the Chief Engineer is the Arbitrator and his decision is an award, then a party can approach the Civil Court only for setting aside the award and not for settlement of the disputes.	Reasoning
This provision makes it clear that the decision of the Chief Engineer is not intended to be a decision by way of adjudication of the disputes differences between the parties by way of arbitration but is intended to be merely a decision of the party (employer) which, when intimated to the other side, gives rise to a cause of action to the other party (Contractor) to approach the Civil Court for adjudication of its dispute claim.	Reasoning
Similarly, Subclause (d) which provides that if the Chief Engineer does not give his decision within a particular period, the Contractor can approach the Civil Court for settlement of the dispute, again demonstrates that no finality is intended to be attached to the decision of the Chief Engineer and the final adjudication should be by the Civil Court and not by the Chief Engineer.	Reasoning
The scheme of Clause 29 (or old Clause 67) therefore is, whenever the Contractor has a claim which is not settled by the Executive Engineer or Superintending Engineer, he has to make the claim before the Chief Engineer.	Reasoning
If the Chief Engineer examines the matter and gives his decision which is not acceptable to the Contractor, or if the Chief Engineer does not give his decision within the time specified, the Contractor has to approach the Civil Court, by filing a civil suit and get his disputes claims adjudicated, on merits.	Reasoning
Use of words to approach the Civil Court for settlement of disputes makes it clear that final adjudicating authority in the case of a dispute is the Civil Court and not the Chief Engineer.	Reasoning
Thus, the Intention of the parties is not to refer any dispute for adjudication by way of arbitration but to get adjudicated the dispute only through the normal procedure of approaching law Courts.	Reasoning
The said clause does not also contemplate or require the Chief Engineer to hold any enquiry or hear the parties before deciding the matter.	Reasoning
On the other hand, the clause merely requires the Chief Engineer to consider the claim of the Contractor and give his decision thereon.	Reasoning
Such decision being on behalf of KPC, the Contractor can either accept it or approach the Civil Court for adjudication.	Reasoning
Thus the Petitioner has failed to make out two of the three ingredients  requirement of enquiry by the named Authority and requirement of finality by a binding decision.	Reasoning
The distinction between an expert determination and arbitration has been spelt out in Russell on Arbitration, 21st Edn., in the following words Many cases have been fought over whether a contracts chosen form of dispute resolution is expert determination or arbitration.	Reasoning
This is a matter of construction of the contract, which involves an objective enquiry into the intentions of the parties.	Reasoning
First, there are the express words of the disputes clause.	Reasoning
If specific words such as arbitrator, arbitral tribunal, arbitration or the formula as an expert and not as an arbitrator are used to describe the manner in which the dispute resolver is to act, they are likely to be persuasive although not always conclusive Where there is no express wording, the court will refer to certain guidelines.	Reasoning
of these, the most important used to be, whether there was an issue between the parties such as the value of an asset on which they had not taken defined positions, in which case the procedure was held to be expert determination or a formulated dispute between the parties where defined positions had been taken, in which case the procedure was held to be an arbitration.	Reasoning
This imprecise concept is still being relied on.	Reasoning
It is unsatisfactory because some parties to contract deliberately choose expert determination for dispute resolution.	Reasoning
The next guideline is the judicial function of an arbitral tribunal as opposed to the expertise of the expert An arbitral tribunal arrives at its decision on the evidence and submissions of the parties and must apply the law or if the parties agree, on other consideration an expert, unless it is agreed otherwise, makes his own enquiries, applies his own expertise and decides on his own expert opinion A clause substantially similar to the clauses referred to hereinabove was interpreted by a three Judge Bench in State of U.P v. Tipper Chand (supra) and it was held that the same cannot be construed as an arbitration clause.	None
Paragraphs 2 and 3 of the judgment which contain the reasons for the aforesaid conclusion are reproduced below The suit out of which this appeal has arisen was filed by the Respondent before us for recovery of Rs. 2000 on account of dues recoverable from the Irrigation Department of the Petitioner State for work done by the Plaintiff in pursuance of an agreement, Clause 22 of which runs thus Except where otherwise specified in the contract the decision of the Superintending Engineer for the time being shall be final, conclusive and binding on all parties to the contract upon all questions relating to the meaning of the specifications, design, drawing and instructions hereinbefore mentioned.	None
The decision of such Engineer as to the quality of workmanship, or materials used on the work, or as to any other question, claim, right, matter or things whatsoever, in any way arising out of or relating to the contract, designs, drawing specifications, estimates, instructions, orders, or these conditions, or otherwise concerning the works, or the execution or failure to execute the same, whether arising during the progress of the work, or after the completion or abandonment of the contract by the contractor, shall also be final, conclusive and binding on the contractor.	None
After perusing the contents of the said clause and hearing Learned Counsel for the parties we find ourselves in complete agreement with the view taken by the High Court.	None
Admittedly the clause does not contain any express arbitration agreement.	None
Nor can such an agreement be spelled out from its terms by implication, there being no mention in it of any dispute, much less of a reference thereof.	None
On the other hand, the purpose of the clause clearly appears to be to vest the Superintending Engineer with supervision of the execution of the work and administrative control over it from time to time.	None
In State of Maharashtra v. Ranjeet Construction (Civil Appeal No. 4700 of 1985), a two Judge Bench of this Court interpreted Clause 30 of the agreement entered into between the parties, which is almost identical to the clauses under consideration, relied upon the judgment in State of U.P. v. Tipper Chand (supra) and held that Clause 30 cannot be relied upon for seeking a reference to an Arbitrator of any dispute arising under the contract.	None
In State of Orissa v. Damodar Das (supra), a three Judge Bench interpreted Clause 21 of the contract entered into between the Appellant and the Respondent for construction of sump and pump chamber etc. for pipes W S to Village Kentile.	None
The Respondent abandoned the work before completion of the project and accepted payment of the fourth running bill.	None
Subsequently, he raised dispute and sent communication to the Chief Engineer, Public Health, Orissa for making a reference to an Arbitrator.	None
The Subordinate Judge, Bhubaneswar allowed the application filed by the Respondent under Section 8 of the 1940 Act and the order passed by him was upheld by the High Court.	None
This Court referred to Clause 25 of the agreement, relied upon the judgment in State of U.P. v. Tipper Chand (supra) and held that the said clause cannot be interpreted as providing resolution of dispute by an Arbitrator.	None
Paragraphs 9 and 10 of the judgment, which contain discussion on the subject, are extracted below The question, therefore, is whether there is any arbitration agreement for the resolution of the disputes.	None
The agreement reads thus Decision of Public Health Engineer to be final.	None
Except where otherwise specified in this contract, the decision of the Public Health Engineer for the time being shall be final, conclusive and binding on all parties to the contract upon all questions relating to the meaning of the specifications drawings and instructions hereinbefore mentioned and as to the quality of workmanship or materials used on the work, or as to any other question, claim, right, matter or thing, whatsoever in any way arising out of, or relating to, the contract, drawings, specifications, estimates, instructions, orders or these conditions, or otherwise concerning the works or the execution or failure to execute the same, whether arising during the progress of the work or after the completion or the sooner determination thereof of the contract.	None
Section 2(a) of the Act defines arbitration agreement to mean a written agreement to submit present or future differences to arbitration, whether an arbitrator is named therein or not.	None
Indisputably, there is no recital in the above clause of the contract to refer any dispute or difference present or future to arbitration.	None
The Learned Counsel for the Respondent sought to contend from the marginal note, viz., the decision of Public Health Engineer to be final and any other the words claim, right, matter or thing, whatsoever in any way arising out of the contract, drawings, specifications, estimates, instructions, orders or these conditions, or otherwise concerning the works or the execution or failure to execute the same, whether arising during the progress of the work or after the completion or the sooner determination thereof of the contract and contended that this clause is wide enough to encompass within its ambit, any disputes or differences arising in the aforesaid execution of the contract or any question or claim or right arising under the contract during the progress of the work or after the completion or sooner determination thereof for reference to an arbitration.	None
The High Court, therefore, was right in its conclusion that the aforesaid clause gives right to arbitration to the Respondent for resolution of the dispute claims raised by the Respondent.	None
In support thereof he relied on Ram Lal Jagan Nath v. Punjab State through Collector AIR 1966 Punj 436.	None
It is further contended that for the decision of the Public Health Engineer to be final, the contractor must be given an opportunity to submit his case to be heard either in person or through counsel and a decision thereon should be given.	None
It envisages by implication existence of a dispute between the contractor and the Department.	None
In other words, the parties construed that the Public Health Engineer should be the sole arbitrator.	None
When the claim was made in referring the dispute to him, it was not referred to the court.	None
The Respondent is entitled to avail of the remedy under Sections 8 and 20 of the Act.	None
We find it difficult to give acceptance to the contention.	None
A reading of the above clause in the contract as a conjoint whole, would give us an indication that during the progress of the work or after the completion or the sooner determination thereof of the contract, the Public Health Engineer has been empowered to decide all questions relating to the meaning of the specifications, drawings, instructions hereinbefore mentioned and as to the quality of workmanship or material used on the work or as to any other question, claim, right, matter or thing whatsoever in any way arising out of, or relating to, the contract drawings, specifications, estimates, instructions, orders or those conditions or otherwise concerning the works or the execution or failure to execute the same has been entrusted to the Public Health Engineer and his decision shall be final.	None
In other words, he is nominated only to decide the questions arising in the quality of the work or any other matters enumerated hereinbefore and his decision shall be final and bind the contractor.	None
A clause in the contract cannot be split into two parts so as to consider one part to give rise to difference or dispute and another part relating to execution of work, its workmanship etc.	None
It is settled now that a clause in the contract must be read as a whole.	None
If the construction suggested by the Respondent is given effect then the decision of the Public Health Engineer would become final and it is not even necessary to have it made rule of the court under the Arbitration Act.	None
It would be hazardous to the claim of a contractor to give such instruction and give power to the Public Health Engineer to make any dispute final and binding on the contractor.	None
A careful reading of the clause in the contract would give us an indication that the Public Health Engineer is empowered to decide all the questions enumerated therein other than any disputes or differences that have arisen between the contractor and the Government.	None
But for Clause 25, there is no other contract to refer any dispute or difference to an arbitrator named or otherwise.	None
(Emphasis supplied)	None
In K.K. Modi v. K.N. Modi (supra), this Court interpreted Clause 9 of the Memorandum of Understanding signed by two groups of Modi family.	None
Group A consisted of Kedar Nath Modi (younger brother of Seth Gujjar Mal Modi and his three sons) and Group B consisted of five sons of Seth Gujjar Mal Modi.	None
To resolve the disputes and differences between two groups, the financial institutions, which had lent money, got involved.	None
Ultimately, a Memorandum of Understanding was signed by the parties on 24.1.1989, Clause 9 of which reads as under Implementation will be done in consultation with the financial institutions.	None
For all disputes, clarifications etc. in respect of implementation of this agreement, the same shall be referred to the Chairman, IFCI or his nominees whose decisions will be final and binding on both the groups.	None
The Chairman, Industrial Finance Corporation of India (IFCI) formed a committee of experts to assist him in deciding various questions.	None
The committee of experts and the Chairman held discussion with both the groups.	None
On 8.12.1995, the Chairman, IFCI gave his detailed report decision.	None
In his covering letter, the Chairman indicated that the Memorandum of Understanding had been substantially implemented during 1989 to 1995 and with his decisions on the disputes clarifications given by him, it will be possible to implement the remaining part.	None
The report of the Chairman was neither filed in the competent Court as an award nor any application was submitted for making the report a rule or decree of the Court.	None
However, the Chairman issued series of directions for implementing the report.	None
On 18.5.1996, the Appellants filed a petition under Section 33 of the 1940 Act in the Delhi High Court challenging report dated 8.12.1995 by asserting that it was an award in arbitration proceedings.	None
The opposite parties filed civil suit in the High Court to challenge the report of the Chairman.	None
One of the questions formulated by this Court was whether Clause 9 of the Memorandum of Understanding constituted an Arbitration Agreement and whether the decision of the Chairman, IFCI constituted an award.	None
The two Judge Bench first culled out the following attributes of an Arbitration Agreement	None
The arbitration agreement must contemplate that the decision of the tribunal will be binding on the parties to the agreement, (2) that the jurisdiction of the tribunal to decide the rights of parties must derive either from the consent of the parties or from an order of the court or from a statute, the terms of which make it clear that the process is to be an arbitration, (3) the agreement must contemplate that substantive rights of parties will be determined by the agreed tribunal, (4) that the tribunal will determine the rights of the parties in an impartial and judicial manner with the tribunal owing an equal obligation of fairness towards both sides, (5) that the agreement of the parties to refer their disputes to the decision of the tribunal must be intended to be enforceable in law and lastly, (6) the agreement must contemplate that the tribunal will make a decision upon a dispute which is already formulated at the time when a reference is made to the tribunal.	None
The other factors which are relevant include, whether the agreement contemplates that the tribunal will receive evidence from both sides and hear their contentions or at least give the parties an opportunity to put them forward whether the wording of the agreement is consistent or inconsistent with the view that the process was intended to be an arbitration, and whether the agreement requires the tribunal to decide the dispute according to law.	None
The Court then referred to several precedents including English cases and held In the present case, the Memorandum of Understanding records the settlement of various disputes as between Group A and Group B in terms of the Memorandum of Understanding.	None
It essentially records a settlement arrived at regarding disputes and differences between the two groups which belong to the same family.	None
In terms of the settlement, the shares and assets of various companies are required to be valued in the manner specified in the agreement.	None
The valuation is to be done by M s. S.B. Billimoria Company Three companies which have to be divided between the two groups are to be divided in accordance with a scheme to be prepared by Bansi S. Mehta Company In the implementation of the Memorandum of Understanding which is to be done in consultation with the financial institutions, any disputes or clarifications relating to implementation are to be referred to the Chairman, IFCI or his nominees whose decision will be final and binding.	None
The purport of Clause 9 is to prevent any further disputes between Groups A and B.	None
Because the agreement requires division of assets in agreed proportions after their valuation by a named body and under a scheme of division by another named body.	None
Clause 9 is intended to clear any other difficulties which may arise in the implementation of the agreement by leaving it to the decision of the Chairman, IFCI.	None
This clause does not contemplate any judicial determination by the Chairman of the IFCI.	None
He is entitled to nominate another person for deciding any question.	None
His decision has been made final and binding.	None
Thus, Clause 9 is not intended to be for any different decision than what is already agreed upon between the parties to the dispute.	None
It is meant for a proper implementation of the settlement already arrived at.	None
A judicial determination, recording of evidence etc. are not contemplated.	None
The decision of the Chairman, IFCI is to be binding on the parties.	None
Moreover, difficulties and disputes in implementation may not be between the parties to the Memorandum of Understanding.	None
It is possible that the valuers nominated in the Memorandum of Understanding or the firm entrusted with the responsibility of splitting some of the companies may require some clarifications or may find difficulties in doing the work.	None
They can also resort to Clause 9.	None
Looking to the scheme of the Memorandum of Understanding and the purpose behind Clause 9, the learned Single Judge, in our view, has rightly come to the conclusion that this was not an agreement to refer disputes to arbitration.	None
It was meant to be an experts decision.	None
The Chairman, IFCI has designated his decision as a decision.	None
He has consulted experts in connection with the valuation and division of assets.	None
He did not file his decision in court nor did any of the parties request him to do so.	None
(Emphasis supplied)	None
In Bharat Bhushan Bansal v. U.P. Small Industries Corporation Limited, Kanpur (supra), a two Judge Bench interpreted Clauses 23 and 24 of the agreement entered into between the parties for execution of work of construction of a factory and allied buildings of the Respondent at India Complex, Rai Bareli.	None
Those clauses were as under Decision of the Executive Engineer of the UPSIC to be final on certain matters Except where otherwise specified in the contract, the decision of the Executive Engineer shall be final, conclusive and binding on both the parties to the contract on all questions relating to the meaning, the specification, design, drawings and instructions hereinbefore mentioned, and as to the quality of workmanship or materials used on the work or as to any other question whatsoever in any way arising out of or relating to the designs, drawings, specifications, estimates, instructions, orders or otherwise concerning the works or the execution or failure to execute the same whether arising during the progress of the work, or after the completion thereof or abandonment of the contract by the contractor shall be final and conclusive and binding on the contractor.	None
Decision of the MD of the UPSIC on all other matters shall be final Except as provided in Clause 23 hereof, the decision of the Managing Director of the UPSIC shall be final, conclusive and binding on both the parties to the contract upon all questions relating to any claim, right, matter or thing in any way arising out of or relating to the contract or these conditions or concerning abandonment of the contract by the contractor and in respect of all other matters arising out of this contract and not specifically mentioned herein.	None
