 	Issue
In the instant case neither the tribunal nor the High Court considered the grounds for delayed payment in basing the impugned orders.	Arguments of Petitioner
It has also not been indicated in the impugned decisions as to why imposition of damages at the rates determined by the adjudicating authority was just and proper.	Arguments of Petitioner
The orders impugned in this appeal therefore should be set aside Mr. Goswami, learned counsel for the respondents has, however submitted that it would have been appropriate if the Regional Director had given reasons in some detail for disposing of the showcause proceeding.	None
But in the facts and circumstances of the case, the adjudication made by the Director was quite just and fair and on the face of the representation no other order was warranted.	Arguments of Respondent
Since no injustice has been made to the appellant, for the mere technicality that the adjudicating authority has not indicated detailed reasons for its finding the impugned orders should not be set aside.	Arguments of Respondent
He has also contended that specific case of prejudice suffered on account of impugned adjudication had not been raised in the application under Section 75 of the Act and it also does not appear that before the High Court such contentions were specifically raised.	Arguments of Respondent
Hence, the appellant should not be permitted to raise such contentions at the time of hearing of this appeal.	Arguments of Respondent
Mr Goswami has submitted that the grounds taken in the written representation were vague and the appellant was given the opportunity of personal hearing but such opportunity was not availed of and no material was produced before the adjudicating authority to substantiate the grounds made in the representation for delayed payment.	Arguments of Respondent
Accordingly, the Regional Director had rightly rejected the representation by holding that the reasons advanced were not legally tenable.	Arguments of Respondent
Mr Goswami has also submitted that under the Employees State Insurance General Regulations guidelines have been indicated as to how damages for delayed payment are to be imposed since such guidelines have been followed, no exception should be made to the impugned adjudication5.	Arguments of Respondent
It however appears to us that the contention of Mr Goswami in the facts of the case should not be accepted.	Reasoning
Even if the regulations have prescribed general guidelines and the upper limits at which the imposition of damages can be made it cannot be contended that in no case, the mitigating circumstances can be taken into consideration by the adjudicating authority in finally deciding the matter and it is bound to act mechanically in applying the uppermost limit of the table.	Reasoning
In the instant case, it appears to us that the order has been passed without indicating any reason whatsoever as to why grounds for delayed payment were not to be accepted.	Reasoning
There is no indication as to why the imposition of damages at the rate specified in the order was required to be made.	Reasoning
Simply because the appellant did not appear in person and produce materials to support the objections, the employees case could not be discarded in limine.	Reasoning
On the contrary, the objection ought to have been considered on merits.	Reasoning
We, therefore, allow this appeal and set aside the impugned orders.	Decision
The Regional Director is directed to dispose of the representation of the appellant by indicating reasons after taking into consideration the grounds for delayed payment.	Decision
Since the matter is going to be reheard, the appellant is permitted to make personal representation at the hearing of the showcause proceeding.	Decision
As the matter is pending for a long time, the representation should be considered and disposed of within three months from the date of the receipt of the order by giving notice of the date of hearing in advance to the appellant.	Decision
In the facts and circumstances or me case, there shall be no order as to costs.	Decision
By way of abundant caution it is made clear that we have not considered the case of the appellant on merits.	Decision
