 	Issue
On 24.1.2002, Mr. Verma sent a communication to Mr. Donovan, endorsing copies thereof to both the parties, the relevant part whereof reads as under Dear Mr. Donovan,Pursuant to out conversation on telephone last night (10 p.m. Indian standard Time January, 23, 2002) and this morning January 24, 2002, I obtained a copy of your FAX message regarding the appointment of presiding Arbitrator from Mr. U.K. Panda, Company Secretary, GRIDCO.	Facts
His FAX Number is 91674542981.I deeply regret the necessity of saying that on further reading the provision of Arbitration and Conciliation Act, 1996 (India Act 26 of 1996) which do not bar the appointment of an Indian as presiding arbitrator, Clause 28 (including is subclauses) of the shareholders agreement between GRIDCO, AES and others dated 31st August, 1999, I wish to reconsider my agreeing with you that Mr. David A.R. Williams be the Presiding Arbitrator in this arbitration case.	None
Since the shareholders agreement is subject to the jurisdiction of the appropriate court(s) in Orissa, and the place of arbitration is Bhubaneswar, I request that you agree to the appointment of a retired Judge of the High Court of Judicature, Orissa or of the Supreme court of India.	None
We may discus further and finalise the name of a presiding arbitrator from amongst the retired Judges in India.	None
This is no reflection on the credentials of Mr. Williams for whom I have the highest regards and to whom I tender an apology through you.	None
Yours truly,Sd K.B. VermaJanuary, 24, 2002 Mr. Donovan declined the request of Mr. Verma for reconsidering the appointment of Mr. Williams.	Facts
In his response dated 25.1.2002 to Mr. Verma, Mr. Donovan stated inter alia	Facts
I do not believe that we either can or should reconsider our appointment of Mr. Williams.	Facts
You and I agreed at the outset, and reiterated throughout the course of our discussions, that the presiding arbitrator should be a national of a jurisdiction other than India and the United States.	Facts
In so agreeing, we acted in accordance with basic principles of international arbitration Under the Arbitration and Conciliation Act, 1996, Mr. Williamss appointment was effective upon our agreement and we have also now informed (sic) the parties.	Facts
We are, therefore, a validly constituted tribunal.	Facts
I do no know of any authority that would allow us to rescind the appointment, but in any event I believe it would be inappropriate to do so.	Facts
With the greatest respect for your recent thoughts on the matter, therefore, I must decline your request that we reconsider our appointment.	Facts
In these circumstances, I see no need to pass on your thoughts to Mr. Williams or to copy him on this email.10.	Facts
In his further communication dated 28.1.2002, Mr. Donald informed the petitioners very firmly that Mr. Verma and he, having conferred, he was writing on behalf of Mr. Verma and himself that they do not have authority to reconsider their appointment of Mr. Williams and that the tribunal was effectively constituted with Mr. Williams as presiding Arbitrator.	Facts
Mr. Donald emphasized that Mr. Williams is a person of unquestionable distinction who is eminently qualified to serve as presiding Arbitrator in this proceeding.11.	Facts
Many a letters messages appears to have been exchange wherein the petitioners were insistent on the third arbitrator being chosen from out of the retired Judges available in India but Mr. Donovan was not agreeable.12.	Facts
On 31.1.2002, Mr. Verma addressed a letter to Mr. Williams and copies to Mr. Donovan and the parties, wherein he stated as under Dear Mr. Williams,I write this letter to say that a controversy has arisen in influential opinion making section of the civil society in regard to my agreeing with Mr. Donald F. Donovan of Debevoise Plimpton, New York, the other arbitrator, that you will be the presiding arbitrator.	Facts
The controversy is likely to snowball and affect the arbitration.	Facts
Since arbitration is quasi judicial, I would not like it to be tainted by controversy.	Facts
In the circumstances, I consider it honorable to withdraw and do hereby withdraw from the arbitration and leave it to your conscience to reconsider your acceptance of the office of presiding arbitrator.	Facts
With warm regards,Yours sincerely,(K.B. Verma)	None
On 1.2.2002, the petitioner appointed Justice S.C. Mohapatra, retired Judge of High Court of Orissa and Allahabad and former Chairman of Orissa Administrative Tribunal as their Arbitrator in place of Mr. Verma, in view of his having withdrawn from arbitration.	Facts
On 1.2.2002, Justice S.C. Mohapatra addressed a communication to Mr. Donovan requesting him to agree for the appointment of a former Judge of Supreme Court of India (named in the letter) to be the third Arbitrator.	Facts
It is also stated that if Mr. Donovan was not agreeable then the petitioners would move the Chief Justice of India under Section 11 of the Act for appointment of a third arbitrator.	Facts
Copy of the communication was endorsed to Mr. Williams also.14.	Facts
Mr. Williams, the third Arbitrator, has in his fax message dated 5.2.2002, addressed to both the parties and the two Arbitrators, stated that he was not agreeable to the suggestion of withdrawing himself as presiding Arbitrator.	Facts
He has assigned reasons in support of his resolution based on the provisions of the Act and practice in international commercial arbitration.	Facts
He has firmly stated that an arbitral tribunal consisting of himself as presiding Arbitrator and Justice Mohapatra and Mr. Donovan as two Arbitrators had come into existence and it was not legally permissible under the Act for him to withdraw.	Facts
Reference is made to subSection (2), (3) (4) of Section 15 of the Act.15.	Facts
It may be stated that Mr. David A.R. Williams is a Queens Counsel of New Zealand and was a litigation partner of the Russell McVeagh firm in Auckland until 1987.	Facts
He served as a judge of the High Court of New Zealand from 1991 through 1994.	Facts
He is a member of ICC Court of International Arbitration in Paris and the LCIA Court of Arbitration in London.	Facts
The credentials and credibility of Mr. Williams to act as presiding Arbitrator has not been disputed by the petitioners what has been disputed is only the legality and consequential validity of the appointment.16.	Facts
According to the petitioners, the appointment of Mr. Williams as presiding Arbitrator is a nullity for two reasons (i) that the appointment of the third Arbitrator is a judicial act, to be performed to two arbitrators, and therefore, must be in writing and in consultation with or at least after putting the parties to notice of the proposed appointment and (ii) that Mr. K.B. Verma agreed to the appointment of Mr. Williams as third Arbitrator on account of his being under a mistake as to Indian law that the third Arbitrator in an international commercial arbitration has to be a nonIndian.	Facts
For these two serious infirmities , as alleged by the petitioners, they pray that the appointment should be held a nullity and hence liable to be ignored.	None
The offence of the third Arbitrator, the presiding Arbitrator, being vacant, such vacancy can be filled up by the Chief Justice or his designated under Section 11(6) of the Act, is the submission of the petitioners.	Facts
I have heard Mr. G.L. Sanghi, senior advocate, the learned counsel for the petitioners and Mr. P. Chidambaram, senior advocate, the learned counsel for the respondents.	None
Where the appointment of the third arbitrator should necessarily be done by the two appointed arbitrators by sitting together and in writing?	Issue
Are they required to consult the parties to, while doing so, or at least, to put the parties on previous notice?	None
Primarily it is for the parties to agree upon a procedure for appointing the arbitrator or arbitrators.	Reasoning
Failing such agreement, subsection (3) of the Section 11 of the Act provides that in an arbitration with three arbitrators, each party shall appoint one arbitrator, and the two appointed arbitrators shall appoint the third arbitrator who shall act as the presiding arbitrator.	Reasoning
The law nowhere contemplates such appointment being necessarily in writing.	Reasoning
The requirement of the law is that there should be an appointment and the appointment should be by the two appointed arbitrators.	None
Shri G.L. Sanghi, the learned senior counsel for the the petitioners placed reliance on the law as started in Halsburys Laws of England (Fourth Edition, Volume 2 vide para 570).	Arguments of Petitioner
The statement of law there is the appointment of umpire by the arbitrators is a judicial act they must therefore meet and exercise the power together.	Arguments of Petitioner
This statement of law in Halsbury is based on two decided case namely, Re Hopper (1867( LR 2 QB 367 at 376 Re Lord and Lord (1855) 5 E B 404.	Arguments of Petitioner
Reliance was also placed on Keshavsinh Dwarkadas Kapadia, etc. vs. Indian Engineering Company 1971 (2) SCC 706.	Arguments of Petitioner
Dealing with the case of appointment of an umpire under the Arbitration Act, 1940 this Court has observed by reference to certain English cases The appointment of an umpire by two arbitrators means that the arbitrators are to concur in appointing an umpire.	Arguments of Petitioner
There is no particular method of appointment of an umpire prescribed by the Act.	Arguments of Petitioner
The usual method of appointment of an umpire by the arbitrators is in writing.	Arguments of Petitioner
Arbitrators who are required to appoint an umpire are under no obligation to obtain the approval of the choice of the personnel by the parties who appointed the arbitrators.	Arguments of Petitioner
If any party is dissatisfied with the choice that will not affect the validity of the appointment.	Arguments of Petitioner
See, Oliver vs. Collings) (1809) 11 East 367 103 ER	Arguments of Petitioner
1045).The appointment by arbitrators of an umpire should be the act of the will and judgment of the two.	Arguments of Petitioner
Such an appointment is to be one of choice and not of chance.	Arguments of Petitioner
(See. ReCassell).	None
(1829) 9 B C 624 109) ER 232).	None
In Lord vs. Lord it appeared by the submission that the parties had bound themselves, in case the two arbitrators first appointed should not agree, to perform the award of such third person as the said arbitrators should by writing under their hands, to be indorsed on the submission, appoint as umpire.	Arguments of Petitioner
One of the arbitrators sweared that the memorandum of appointment was not made or signed by himself.	Arguments of Petitioner
In this background it was held that every judicial act, to be done by two or more, be completed in the presence of or who do it for those who are to be affected by it have a right to the united judgment of all upto the very last moment.20.	Arguments of Petitioner
In Re Hopper (supra), Lord vs. Lord (supra) was cited and distinguished.	Arguments of Petitioner
Cockburn, CJ held that signing the appointment of umpire is not a judicial act the judicial act is the agreement as to the appointment of the particular person who is to be the umpire, and the signing is merely the record of that which they have already done in the judicial exercise of their functions.	Arguments of Petitioner
Blackburn, J has, noted, after seeing several cases that were cited, that no case has decided that, where two arbitrators have exercised their judgment in the selection of an umpire, their not being present together at the mere formal act of afterwards recording the appointment vitiates it, and to uphold this prosecution would be to adhere to the letter of the law instead of to the substance.21.	Arguments of Petitioner
Lord vs. Lord was cited before Court of Appeal in European Grain and Shipping Limited vs. Johnston (1982) 3	Arguments of Petitioner
All ER 989.	Arguments of Petitioner
The rule propounded in Lord vs. Lord was adversely commented upon.	Arguments of Petitioner
Lord Denning, Mr. held that the time has come when business convenience requires laying down a different rule.	Arguments of Petitioner
When an agreement or award or another document is to be done by two or three, generally the drafts can be exchanged and it would be enough if the final document is signed by all.	Arguments of Petitioner
It is quite unnecessary for them all to meet together to sign it though each signed it at a different time or place the others.	Arguments of Petitioner
Karr L.J. in his speech noticed some arbitral rules, particularly of the International Chamber of Commerce and held that where arbitrators were in different countries and took many important decisions by correspondence or by telephone, it would be in the interest of all parties for saving costs that coincidence in time and place of the arbitrators for the purely formal purposes of signing the award is not insisted on as essential.	Arguments of Petitioner
Shri P. Chidambaram, the learned senior counsel appearing for the respondents urged that the submission of the petitioners proceeds on wrong premises inasmuch as the appointment of third arbitrator by the two arbitrators cannot be said to be a judicial act.	Arguments of Respondent
The learned counsel referred to Jaswant Sugar Mills Ltd., Meerut vs. Lakshmichand and others  1993 Suppl.	Arguments of Respondent
(1) SCR 242 wherein (at page 251252)	None
the Constitution Bench has laid down the criteria for determining a decision or an act to be judicial, and submitted by reference to those tests that the act of appointing the third arbitrator cannot be said to be a judicial act.	Arguments of Respondent
In the Constitution Bench decision of this Court in Konkan Railway (supra) the principles laid down in Jaswant Sugar Mills Ltd. (supra) have been reiterated and it has been held that the appointment of an arbitrator by the Chief Justice under Section 11(6) of the Act is not an adjudicatory order and cannot be said to be discharging of a judicial function.	Arguments of Respondent
That being so, the appointment of the third arbitrator by two arbitrators can certainly not be a judicial act.	None
Shri P. Chidambarm, the learned senior counsel further referred to the provisions contained in Section 7(3), 7(4)(a), 12(1), 12(2), 31(1) of the Act and submitted that the Legislature has taken care to use the word writing or in writing wherever it intended any act or function to be performed in writing but the Legislature has not chosen to engraft the requirement of writing into Section 11(3), and therefore, by process of interpretation or by attributing an intention to Legislature which the legislative drafting does not, the requirement of the appointment of third arbitrator by the two arbitrators being necessarily in writing cannot be spelled out.	Reasoning
There is substance in the submission so made.23.	Reasoning
In my opinion, it is not necessary within the meaning of Section 11(3) that the presiding arbitrator must be appointed by the two appointed arbitrators in writing nor it is necessary that the two appointed arbitrators must necessarily sit at one place, deliberate jointly and take a decision the presence of each other in regard to the appointment of the presiding arbitrator.	Reasoning
It it enough if they have actually consulted or conferred with each other and if both or any of them communicates to the parties the appointment of the presiding arbitrator as having taken place by the joint deliberation of the two.	Reasoning
It is clearly spelled out from the correspondence between the two arbitrators reproduced hereinabove that the two arbitrator had agreed on principle that the third arbitrator shall be of a nationality different from the one to which either of the parties belongs.	Reasoning
They had also agreed upon the appointment of Mr. Williams.	Reasoning
the communication of such appointment though made by Mr. donovan is on behalf of himself and Mr. Verma.	Reasoning
The correctness of such consultation having preceded the appointment is not doubted in the correspondence and has also no been disputed by the learned senior counsel for the petitioners during the course of hearing.	Reasoning
Mr. Vermas protest to appointment of Mr. Williams was based on reconsideration of the issue, that is, on second thoughts.	Reasoning
The practice adopted by the two arbitrators is consistent with the practice of International Commercial Arbitration and conducive to the convenience of the parties and also saves them from avoidable expenditure.	Reasoning
When an effective consultation can be achieved by resort to electronic media and remote conferencing it is not necessary that the two persons required to act in consultation with each other must necessarily sit together at one place unless it is the requirement of law or of the ruling contract between the parties.	Reasoning
The appointment need not necessarily be by a writing signed by the two arbitrators it satisfies the requirement of law if the appointment (i) has been actually made, (ii) is preceded by such consultation as to amount to appointment by the two, and (iii) is communicated.	Reasoning
It is not essential to the validity of the appointment that the parties should be consulted, or involved in the process of appointment or given a previous notice of the proposed appointment.	None
The next question is whether it can be said that Mr. K.B. Verma while agreeing for appointment of Mr. Williams as third arbitrator was under a mistake as to Indian law, and if so, ten it effect?	Issue
Shri G.L. Sanghi, the learned senior counsel, referred to the order passed by M. Jagannadha Rao, J. acting as designate of the Chief Justice deciding an application under Section 11(5) of the Act in Malaysian Airlines Systems BHD (II) Vs.	None
M s Stic Travels (P) Ltd. 2000	Reasoning
(7) SCALE 724 .	Reasoning
Vide paras 26 and 28, His Lordship has held that Section 11(9) of the Act is not mandatory and the word may therein cannot be read as shall and to appoint an arbitrator not belonging to the nationality of either of the parties is not mandatory.	Reasoning
T here is no quarrel with the abovesaid proposition.	Reasoning
Yet, there is noting wrong in the two arbitrators having formed an opinion in consultation with each other that a person of third nationality would be preferable as presiding arbitrator.	Reasoning
The submission based on mistake of law doctrine is unwarranted and besides the point.	Reasoning
In Konkan Railway Corporation Ltd. and Ors.	None
(supra) it has been held (vide para 21)that in spite of an appointment having been made by the Chief Justice or his designate an objection as to the constitution of the arbitral tribunal being improper or without jurisdiction is capable of being raised before the arbitral tribunal itself under Section 16 of the Act, for an objection not only as to the width of jurisdiction but also one going to the very root of its jurisdiction is entertained by the arbitral tribunal under Section 16.	None
That being so assuming without holding that there is any substance in the plea of the petitioners it is open for them to raise the same before the arbitral tribunal.	None
Once the arbitral tribunal has come into existence, as it has  in my opinion in the facts and circumstances of the case, a petition under Section 11 (6) of the Act is not an appropriate remedy which the petitioners have chosen.	Reasoning
None of the grounds contemplated by clauses (a), (b) and (c) of subsection (6) of Section 11 exists.	Reasoning
There is no deficiency in the constitution of the arbitral tribunal attributable to any of the parties or the arbitrators.	Reasoning
There is no occasion for filing a request petition under Section 11(6) of the Act.	Reasoning
The petition is dismissed.	Decision
