 	Facts
Besides these seven appeals, in the present group has been included Writ Petition No. 74 of 1962 filed by the Tilkayat in this Court under Article 32.	Facts
By the said writ petition the Tilkayat has challenged the vires of the Act on some additional grounds.	Facts
That is how the principal point which arises for our decision in this group is in regard to the Constitutional validity of the Act.2.	Facts
At this stage, it is relevant to indicate broadly the contentions raised by the parties before the High Court and the conclusions of the High Court on the points in controversy.	Facts
The Tilkayat contended that the idol of Shri Shrinathji in the Nathdwara Temple and all the property pertaining to it were his private properties and as such, the State Legislature was not competent to pass the Act.	Facts
In the alternative, it was urged that even if the Nathdwara Temple is held to be a public temple and the Tilkayat the Mahant or Shebait in charge of it as such Mahant or Shebait he had a beneficial interest in the office of the high priest as well as the properties of the temple and it is on that footing that the validity of the Act was challenged under Article 19 (1) (f) of the Constitution.	Facts
Incidentally the argument for the Tilkayat was that the idols of Shri Navnit Priyaji and Shri Madan Mohanlalji were his private idols and the property, pertaining to them was in any case not the property in which the public could be said to be interested.	Facts
The Denomination substantially supported the Tilkayats case.	Facts
In addition, it urged that if the temple was held to be a public temple, then the Act would be invalid because it contravened the fundamental rights guaranteed to the Denomination under Article 25 (1) and Article 26 (b) and (c) of the Constitution.	Facts
Ghanshyamlalji pleaded title in himself and challenged the validity of the Act on the ground that it contravened his rights under Article 19 (1) (f).3.	Facts
On the other hand, the State of Rajasthan urged that the Nathdwara Temple was a public temple and the Tilkayat was no more and no better than its manager.	Facts
As such, he had no substantial beneficial interest in the property of the temple.	Facts
The contention that the Tilkayats fundamental rights under Article 19 (1) (f) have been contravened by the Act was denied and the plea of the Denomination that the fundamental rights guaranteed to it under Arts.	Facts
25 (1) and 26 (b) and (c) had been infringed was also disputed.	Facts
It was urged that the law was perfectly valid and did no more than regulate the administration of the property of the temple as contemplated by Article 26 (d) of the Constitution.	Facts
The Tilkayats claim that the two idols of Navnit Priyaji and Madan Mohanlalji were his private idols was also challenged.	Facts
Against Ghanshyamlaljis petition, it was urged that it raised several disputed questions of fact which could not be appropriately tried in proceedings under Article 226.4.	Facts
The High Court has upheld the plea raised by the State against the competence of Ghanshyamlaljis petition.	Facts
We ought to add that the State had contended that the Tilkayats case about the character of the temple was also a mixed question of fact and law and so, it could not be properly tried in writ proceedings.	Facts
The High Court, however, held that it would be inexpedient to adopt a technical attitude in this matter and it allowed the merits of the dispute to be tried before it on the assurance given by the learned counsel appearing for the Tilkayat that the character of the property should be dealt with on the documentary evidence adduced, by him.	Facts
Considering the documentary evidence, the High Court came to the conclusion that the temple is a public temple.	Facts
It examined the several Firmans and Sanads on which reliance was placed by the Tilkayat and it thought that the said grants supported the plea of the State that the temple was not the private temple of the Tilkayat.	Facts
It has, however, found that the Tilkayat is a spiritual head of the Denomination as well as the spiritual head of the temple of Shrinathji.	Facts
He alone is entitled to perform Seva and the other religious functions of the temple.	Facts
In its opinion, the two minor idols of Navnit Priyaji and Madan Mohanlalji were the private idols of the Tilkayat and so, that part of the definition which included them within the temple of Shrinathji was struck down as invalid.	Facts
In this connection, the High Court has very strongly relied on the Firman issued by the Maharana of Udaipur on December 31, 1934 and it has observed that this Firman clearly established the fact that the temple was a public temples that the Tilkayat was no more than a Custodian, Manager and Trustee of the property belonging to the temple and that the State had the absolute right to supervise that the property dedicated to the shrine was used for legitimate purposes of the shrine.	Facts
Having found that the Tilkayat was the head of the denomination and the head priest of the temple, the High Court conceded in his favour the right of residence, the right to distribute Prasad and the right to conduct or supervise the worship and the performance of the Seva in the temple.	Facts
In the light of these rights, the High Court held that the Tilkayat had a beneficial interest in the properties of the temple and as such, was entitled to contend that the said rights were protected under Article 19(1) (f) and could not be contravened by the Legislature.	Facts
The High Court then examined the relevant provisions of the Act and held that, on the whole, the major operative provisions of the Act did not contravene the fundamental rights of the Tilkayat under Article 19(1 (f) Section 16, Section 28, subSections (2) and (3), Section 30 (2) (a), Sections 36 and 37, however, did contravene the Tilkayats fundamental rights according to the High Court, and as, the said sections and the part of the definition of temple in Section 2 (viii) were struck down by the High Court as ultra vires.	Facts
The plea that the fundamental rights under Article 25 (1) and Article 26 (b) and (c) were contravened did not appeal to the High Court to be wellfounded.	Facts
In the result, the substantial part of the Act has been held to be valid.	Facts
It appears that before the High Court a plea was raised by the Tilkayat that his rights under Articles 14 and 31 (2), had been contravened by the Act.	Facts
These pleas have been rejected by the High Court and they have been more particularly and specifically urged before us by the Tilkayat in his Writ Petition No. 74 of 1962.	Facts
That, in brief, is the nature of the findings recorded by the High Court in the three writ petitions filed before it.5.	Facts
Before dealing with the merits of the present dispute, it is necessary to set out briefly the historical background of the temple of Shrinathji at Nathdwara and the incidents in relation to the management of its properties which ultimately led to the Act.	None
The Temple of Shrinathii at Nathdwara hold a very high place among the Hindu Temples in this country and is looked upon with great reverence by the Hindus in general and the Vaishnav followers of Vallabha in particular.	None
As in the case of other ancient revered Hindu temples, so in the case of the Shrinathji Temple at Nathdwara, mythology has woven an attractive web about the genesis of its contruction at Nathdwara.	None
Part of it may be history and part may be fiction, but the story is handed down from generation to generation of devotees and is believed by all of them to be true.	None
This temple is visited by thousands of Hindu devotees in general and by the followers of the Pushtimargiya Vaishnava Sampradaya in particular.	None
The followers of Vallabha who constitute a denomination was founded by Vallabha (14791531 A.D.)	None
Some scholars think that Vallabha was born in 1473 A. D., vide.	None
The Cultural Heritage of India Vol.	None
III at p. 347.	None
He was the son of a Tailanga Brahmin named Lakshmana Bhatt.	None
On one occasion, Lakshmana Bhatt had gone on pilgrimage to Banaras with his wife Elamagara.	None
On the way, she gave birth to a son in 1479 A. D. That son was known as Vallabha.	None
It is said that God Gopala Krishna manifested himself to Vallabha on the Govardhana Hill by the name of Devadamana, also known as Srinathji.	None
Vallabha saw the vision in his dream and he was comnanded by God Gopala Krishna to erect a shrine for Him and to propagate amongst his followers the cult of worshipping Him in order to obtain salvation.	None
Bhandarkar on Vaishnavism, S aivism and Minor religious Systems at p. 77.Valabha then went to the hill and he found the image corresponding to the vision which he had seen in this dream.	None
Soon thereafter, he got a small temple built at Giriraj and installed the image in the said temple.	None
It is believed that this happened in 1500 A.D.A devotee named Ramdas Chowdhri was entrusted with the task of serving in the temple.	None
Later on a rich merchant named Pooranmall was asked by Goverdhannathji to build a big temple for him.	None
The building of the temple took as many as 20 years and when it was completed, the Image was installed there by Vallabha himself and he engaged Bengali Brahmins as priests in the said temple.	None
Bhai Manilal C. Parekhs A religion of Grace6.	None
In course of time, Vallabha was succeeded by his son Vithalnathji who was both in learning and in saintly character a worthy son of a worthy father.	None
Vithalnath had great organising capacity and his work was actuated by misionary zeal.	None
In the denomination, Vallabha is described as Acharya or Maha Prabhuji and Vithalnath is described as Gosain or Goswamin.	None
It is said that Vithalnath removed the idol of Shrinathji to another temple which had been built by, him.	None
It is not known whether any idol was installed in the earlier temple.	None
Vithalanth lived during the period of Akbar when the political atmosphere in the country in Northern India was actuated by a spirit of tolerance.	None
It appears that Akbar heard about the saintly reputation of Vithalnath and issued a Firman granting land in Mowza of Jatipu to Vithalnathji in order to build buildings, gardens, cowsheds and workshops for the temple of Goverdhannathji.	None
This Firman was issued in 1593 A. D. Later, Emperor Shahajahan also issued another Firman on October 2,1633 which shows that some land was being granted by the Emperor for the use and expenses of Thakurdwar exempt from payment of dues.7.	None
Goswami Vithalnath had seven sons.	None
The tradition of the denomination believes that besides the idol of Shrinathji Vithalnathji received from his father seven other idols which were also Swaroops (manifestations) of Lord Krishna.	None
Before his death, Vthalnathji entrusted the principal idol of Srinathji to his eldest son Girdharji and the other idols were given over to each one of his other sons.	None
These brothers in turn founded separate shrines at various places which are also held by the members of the denomination in high esteem and reverence.8.	None
When Aurangzeb came on the throne, the genial atmosphere of tolerance disappeared and the Hindu temples were exposed to risk and danger of Auranzebs intolerant and bigoted activities.	None
Col. Tod in the first Volume of his Annals of Rajasthan at p. 451 says that.	None
When Aurangzeb prescribed Kanaya and rendered his shrines impure throughout Vrij, Rana Raj Singh offered the heads of one hundred thousand Rajpoots for his service, and the god was conducted by the route of Kotah and Rampoora to Mewar.	None
An omen decided the spot of his future residence.	None
As he journeyed to gain the capital of the Session, the chariotwheel sunk deep into the earth and defied extrication upon which the Sookuni (augur) interpreted the pleasure of the deity that he desired to dwell there.	None
This circumstance occurred at an inconsiderable village called Siarh, in the chief of Dailwara, one of the sixteen nobles of Mewar.	None
Rejoiced at this decided manifestation of favour, the chief hastened to make a perpetual gift of the village and its land which was speedily confirmed by the patent of the Rana.	None
Nathji (the god) was removed from his car.	None
and in due time a temple was erected for his reception, when the hamlet of Siarh became the town of Nathdwara.	None
This happened about 1671 A. D.This according to the tradition, is the genesis of the construction of the temple at Nathdwara.	None
Since then, the religious reputation of the temple has grown by leaps and bounds and today it can legitimately claim to be one of the few leading religious temples of the Hindus.	None
Several grants were made and thousands of devotees visiting the temple in reverence made offerings to the temple almost everyday throughout the year.	None
No wonder that the temple has now become one of the richest religious institutions in the country.9.	None
The succession to the Gaddi of the Tilkayat has, from the beginning, been governed by the rule of Primogeniture.	None
This succession received recognition from the rulers of Mewar from time to time.	None
It appears that in 1813 A. D. Tilkayat Govindlalji was adopted by the widow of Tilkayat Damodarji and the ruler of Mewar recognised the said adoption.	None
Later, the relations between the ruler of Mewar and the Tilkayat were strained during the time of Tilkayat Girdharlalji.	None
It seems that the Tilkayat was not content with the position of a spiritual leader of the denomination, but he began to claim special secular rights, and when the Darbar of Udaipur placed the villages belonging to the Nathdwara Temple under attachment, a protest was made by the members of the denomination on behalf of the Tilkayat.	None
It was as a result of this strained relationship between the Darbar and the Tilkayat that in 1876 Tilkayat Girdharlalji was deposed and was deported from Nathdwara by the order passed by the Rana of Mewar on May 8,1876The reason given for this drastic step was that the Tilkayat disobeyed the orders of the ruling authority and so, could not be allowed to function as such.	None
In place of the deposed Tilkayat, his son Gordhanlalji was appointed as Tilkayat.	None
Girdharlalji then went to Bombay and litigation started between him and his Tilkayat son in respect of extensive properties in Bombay.	None
Girdharlalji claimed the properties as his own whereas his Tilkayat son urged that the fact that Girdharlalii has been deposed by the Rana of Udaipur showed that the properties no longer vested in him.	None
It appears that the Bombay High Court consistently took the view that the order passed by the Rana of Udaipur on the 8th of May, 1876, was an act of a foreign State and did not affect his right to property in Bombay.	None
It was observed that Girdharlalji was regarded as owner of the property, he had not lost his right as such to the said property in consequence of his deposition, and if he was merely a trustee, he had not been removed from his office by any competent Tribunal vice Nanabhai v. Shriman Goswami Girdharji ILR 12 Bom 331, Goswami Shri Girdharji Maharaj Tilkayat v. Madhowdas Premji, ILR 17	None
Bom 600 and Shriman Goswami v. Goswami Shri Girdharlalji, ILR 17 Bom 620n.	None
So far as the Nathdwara Temple and the properties situated in Mewar were concerned, the Tilkayat Gordhanlalii who had been appointed by the Rana of Udaipur continued to be in possession and management of the same.10.	None
Unfortunately, in 1933, another occasion arose when the Rana of Udaipur had to take drastic action.	None
After the death of Goverdhanlalji on September 21, 1933, his grandson Damodarlalj became the Tilkayat.	None
His conduct, however, showed that he did not deserved to be a spiritual leader of the denomination and could not be left in charge of the religious affairs of the Shrinathji Temple at Nathdwara.	None
That is why on October 10, 1933, he was deposed and his son Govindlalji the present Tilkayat, was appointed the Tilkayat of the temple.	None
Before adopting this course, the Rana had given ample opportunities to Damodarlalji to improve his conduct but despite the promises made by him Damodarlalji persisted in the course of behaviour which he had adopted and so, the Darbar was left with no other alternative but to depose him.	None
That is how the present Tilkayats regime began even during the lifetime of his father.11.	None
As on the occasion of the deposition of Girdharlalji in 1833, so on the occasion of the deposition of Damodarlalji, Litigation followed in respect of Bombay properties.	None
On January 6, 1934, Damodarlalii filed a suit in the Bombay High Court (No. 23 of 1934) against the Tilkayat and other persons representing the denomination.	None
In this suit he claimed a declaration that he was entitled to, and had become the owner of all the properties mentioned in the plaint and that he was the owner of all the rights, presents, offerings, and emoluments arising in and accruing from the ownership of the idols, Shrinathji and Shri Navnit Priyaji as well as his position as the Tilkayat Maharaj in due course of his succession.	None
In the said suit, the idols of Shrinathji and Shri Navnit Priyaji were added as defendants.	None
At that time, the Tilkayat was a minor.	None
Written statements were filed on his behalf and on behalf on the two idols.	None
A counterclaim was referred on behalf of the idols that the properties belonged to them.	None
Subsequently, the suit filed by Damodar1alji was withdrawn but the counterclaim made by the idols was referred to the sole arbitration and final determination of Sir Chimanlal H. Setalvad, a leading Advocate of the Bombay High Court.	None
On April 10, 1942, the arbitrator made his award and in due course, a decree was passed in terms of the said award on September 8,1942.	None
This decree provided that all the properties, moveable and immovable, and all offerings and Bhents donated to the idol of Shrinathji or for its worship or benefit belonged to the said idol, whereas properties donated, dedicated or offered to the Tilkayat Maharaj for the time being, or at the Krishna Bhandar Pedhis if donated, dedicated or offered for the worship or benefit of the idol belonged to the idol.	None
It also provided that the Tilkayat Maharaj for the time being in actual charge at Nathdwara is entitled to hold, use and manage the properties of the said idol according to the usage of the Vallabhi Sampradayak.	None
The said award and the decree which followed in terms of it were naturally confined to the properties in the territories which then comprised British India and did not include any properties in the territories which then formed part of British India or Native States as they were then known.12.	None
Meanwhile, after Damodarlalji was deposed and his son Govindlalji was appointed the Tilkayat, the Rana of Udaipur issued a Firman on December 31, 1934.	None
By this Firman it was laid down that the shrine of Shrinathji had always been and was a religious institution for the followers of the Vaishnavas Sampradayak and all the properties offered at the shrine were the property of the shrine and that the Tilkayat Maharaj was merely a Custodian, Manager and Trustee of the said property for the shrine.	None
It also provided that the Udaipur Darbar had absolute right to supervise that the property dedicated to the shrine is used for legitimate purpose of the shrine.	None
It also made certain other provisions to which we shall have occasion to return later.13.	None
When he was appointed the Tilkayat, Govindlalji was a minor and so, the management of the temple and the property remained with the Court of Wards, till April I, 1948.	None
On that date, the management of the Court of Wards was withdrawn and the charge of the property was handed over to the Tilkayat.	None
It appears that the management of affairs by the Tilkayat was not very happy or successful and the estate faced financial difficulties.	None
In order to meet this difficult situation the Tilkayat appointed a committee of management consisting of 12 members belonging to the denomination some time in 1952.	None
This was followed by another committee of 21 members appointed on June 11, 1953.	None
Whilst this latter committee was in charge of the management, some valuables stored and locked in the room in the premises of the Temple of Shrinathji were removed by the Tilkayat in December, 1957.	None
This news created excitement amongst the members of the public in general and the followers of the denomination in particular, and so, the Rajasthan Government appointed a Commission of Enquiry.	None
In the preamble to the notification by which the Commission of Enquiry was appointed, it was stated that the State of Rajasthan as the successor of the covenanting State of Mewar has a special responsibility to supervise that the endowments and properties dedicated to the shrine are safeguarded and used for the legitimate purposes of the shrine.	None
The Commission of Enquiry made its report on the 11th October, 1959.	None
This report passed severe strictures against the conduct of the Tilkayat.	None
At this stage, we ought to add that the dispute between the Tilkayat and the Rajasthan Government as to the ownership of the valuable articles removed from the temple was later referred to the sole arbitration of Mr. Mahajan, the retired Chief Justice of this Court.	None
The arbitrator made his award on September 12, 1961 and held that except in regard to the items specified by him in his award the rest of the property belonged to the Tilkayat and he found that when the Tilkayat removed the properties, he believed that they were his personal properties.14.	None
It was in the background of these events that the State of Rajasthan thought it necessary that a scheme should be drafted for the management of the Temple and this proposal received the approval of the Tilkayat.	None
In order to give effect to this proposal, it was agreed between the parties that a suit under S. 92 C.P. C. should be filed in the Court of the District Judge at Udaipur.	None
The parties then thought that the suit would be noncontentious and would speedily end in a scheme of management being drafted with the consent of parties.	None
Accordingly, suit No. 1 of 1956 was filed in the District Court at Udaipur, and in accordance with the agreement which he had reached with the authorities, the Tilkayat filed a noncontentious written statement.	None
However, before the suit could make any appreciable progress, Ghanshyamlalji and Baba Rajvi the son of the Tilkayat applied to be made parties to the suit and it became clear that these added parties desired to raise contentions in the suit and that entirely changed the complexion of the litigation.	None
It was then obvious that the litigation would be a long drawn out affair and the object of evolving a satisfactory scheme for the management of the affairs of the temple would not be achieved until the litigation went through a protracted course.15.	None
It was under these circumstances that the Governor of Rajasthan promulgated an Ordinance called the Nathdwara Ordinance, 1959 (No. II of 1959) on February 6, 1959.	None
The Tilkayat immediately filed his writ petition No. 90 of 1959 challenging the validity of the said Ordinance.	None
The Ordinance was in due course replaced by Act 13 of 1959 and the Tilkayat was allowed to amend his original writ petition so as to challenge the vires of the Act.	None
Shortly stated, this is the historical background of the present dispute.16.	None
The first question which calls for our decision is whether the tenets of the Vallabh denomination and its religious practices postulate and require that the worship by the devotees should be performed at the private temple owned and managed by the Tilkayat, and so, the existence of public temples is inconsistent with the said tenets and practices.	Issue
In support of this argument the learned Attorney General has placed strong reliance on the observations made by Dr. Bhandarkar in his work on Vaisnavism, Saivism and Minor Religious Systems p. 80.	None
In the section dealing with Vallabh and his school, the learned Doctor has incidentally observed that the Gurus of this sect ordinarily called Maharajs are descendants of the seven sons of Vithalesa.	None
Each Guru has a temple of his own, and there are no public places of worship.	None
He has also added that the influence exercised by Vallabh and his successors over their adherents is kept up by the fact that the God cannot be worshiped independently in a public place of worship, but in the house and temple of the Guru or the Maharaj which, therefore, has to be regularly visited by the devotees with offerings.	None
These temples are generally described as Havelis and the argument is that the said description also brings out the fact that the temples are private temples owned by the Tilkayat of the day.	None
It is true that the observations made by Dr. Bhandarkar lend support to the contention raised before us by the learned AttorneyGeneral on behalf of the Tilkayat, but if the discussion contained in Dr. Bhandarkars work in the section dealing with Vallabh is considered as a whole, it would be clear that these observations are incidental and cannot be taken to indicate the learned Doctors conclusions after a careful examination of all the relevant considerations bearing on the point.	None
Since however, these observations are in favour of the plea raised by the Tilkayat, it is necessary very briefly to enquire whether there is anything in the tenets or the religious practices of this denomination which justifies the claim made by the learned AttorneyGeneral.17.	None
What then is the nature of the philosophical doctrines of Vallabha?	None
According to Dr. Radhakrishnan,4Vallabha accepts the authority not only of the Upanishads, the Bhagvadgita and the Brahma Sutra, but also of the Bhagavata Purana.	None
In his words, Anubhasya, Siddhantarahasya and BhagavataTikasubodhini, he offers a theistic interpretation of the Vedanta, which differs from those of Sankara and Ramanuja.	None
His view is called Suddhadvaita, or pure nondualism, and declares that the whole world is real and is subtly Brahman.	None
The individual souls and the inanimate world are in essence one with Brahman.	None
Vallabha looks upon God as the whole and the individual as part.	None
The analogy of sparks of fire is employed by Him to great purpose.	None
The Jiva bound by may a cannot attain salvation except through the grace of God, which is called Pushti.	None
Bhakti is the chief means of salvation, though Jnana is also useful.	None
As regards the fruit of Bhakti, there are diverse opinions, says Dasgupta.5Vallabha has said in his Sevaphalavivrti that as a result of it one may attain a great power of experiencing the nature of God, or may also have the experience of continual contact with God, and also may have a body befitting the service of God.	None
Vallabha, however, is opposed to renunciation after the manner of monistic sanyasa, for this can only bring reprentance, as being ineffecacious.	None
Thus, it will be seen that though Vallabha in his philosophical theories differs from Sankara and Ramanuja, the ultimate path for salvation which he has emphasised is that of Bhakti and by Bhakti the devotee obtains Pushti (divine grace).	None
That is why the cult of Vallabha is known as Pushtimarg or the path for obtaining divine grace.4.	None
Indian Philosophy by Dr. Radhakrishnan pp.	None
756 and 758.5.	None
A History on Indian Philosophy by Dasgupta pp.	None
355356.18.	None
Dr. Bhandarkar points out that according to Vallabha, Mahapushti or the highest grace, is that which removes great obstacles and conduces to the attainment of God himself.	None
This Pustibhakti is of four kinds (1) PravahaPustibhakti, (2) MaryadaPustibhakti, (3) PustiPustibhakti and 4) Sudha Pustibhaktn	None
The first is the path of those who while engaged in a wordly life with its me and mine, do acts calculated to bring about the attainment of God.	None
The second is of those who, withdrawing their minds from worldly enjoyments, devotes themselves to God by hearing His praise and listening to discourses about Him.	None
The third is of those who already enjoyed Gods grace and are made competent to acquire knowledge useful for adorations and thus come to know all about the ways of God.	None
The fourth is of those who through mere love devote themselves to the singing and praising of God as if it were a haunting Passion.	None
Thus, it would be seen that the tenets of the cult emphasised the importance of Bhakti and the religious practices accordingly centered round this doctrine of Bhakti.19.	None
The practical modes of worship adopted by members of this cult bring out the same effect.	None
Lord Krishna as a child is the main object of worship.	None
His worship consists of several acts of performance every day in the prescribed order of ceremonies.	None
These begin with the ringing of the bell in the morning and putting the Lord to bed at night.	None
After the Lord is awakened by the ringing of the bell, there is a blowing of the conchshell, awakening of the Lord and offering morning refreshments waving of lamps bathing dressing food leading the cows out for grazing the midday meal waving of lamps again the evening service the evening meal and going to bed.	None
These rituals performed with meticulous care from day to day constitute the prescribed items of Seva which the devotees attend every day in the Vallabh Temple.	None
In order to be able to offer Bhakti in a proper way, the members of this denomination are initiated into this cult by the performance of two rites, one is Sharana Mantorpadesh and the other is Atma Nivedan.	None
The first gives the devotee the status of a Vaishnava and the second confers upon him the status of an Adhikari entitled to pursue the path of service or devotion.	None
At the performance of the first rite, the mantra which is repeated in the ears of the devotee is Shree Krishna Sharanam Mamah and on the occasion a Tulsi Kanthi is put around the neck of the devotee.	None
At the second initiation, a religious formula is repeated, the effect of which is that the devotee treats himself and all his properties as belonging to Lord Krishna.	None
We have already referred to the original image which Vallabha installed in the temple built in his time and the seven idols which Vithalnathji gave to his sons.	None
These idols are technically described as Nidhi Swaroops.	None
Besides these idols, there are several other idols which are worshiped by Vaishnava devotees after they are sanctified by the Guru.	None
It is thus clear that believing in the paramount importance and efficacy of Bhakti, the followers of Vallabha attend the worship and services of the Nidhi Swaroops or idols from day to day in the belief that such devotional conduct would ultimately lead to their salvation.20.	None
It is significant that this denomination does not recognise the existence of Sadhus or Swamis other than the descendants of Vallabha and it emphasises that it is unnecessary to adopt ritualistic practices or to repeat Sanskrit Mantras or incarnations in worshiping the idols.	Reasoning
Besides, another significant feature of this cult is that it does not believe in celibacy and does not regard that giving up wordly pleasures and the ordinary mode of a householders life are essential for spiritual progress.	Reasoning
In fact Vallabha himself lived a house holders life and so have all his descendants.	Reasoning
This cult does not, therefore, glorify poverty and it teaches its followers that a normal householders life is quite compatible with the practice of Bhakti, provided of course, the devotee goes through the two ceremonies of initiation and lives up to the principles enunciated by Vallabha.21.	Reasoning
The question which we have to decide is whether there is anything in the philosophical doctrines or tenets or religious practices which are the special features of the Vallabha school, which prohibits the existence of public temples or worship in them.	None
The main object underlying the requirement that devotees should assemble in the Haveli of the Guru and worship the idol obviously was to encourage collective and congregational prayers.	None
Presumably it was realised by Vallabha and his descendants that worship in Hindu public temples is apt to clothe the images worshipped with a formal and rigid character and the element of personality is thereby obliterated and this school believes that in order that Bhakti should be genuine and passionate, in the mind of the devotee there must be present the necessary element of the personality of God.	None
It is true that Vaishnava temples of the Vallabha sect are generally described as Havelis and though they are grand and majestic inside, the outside appearance is always attempted to resemble that of a private house.	None
This feature can, however, be easily explained if we recall the fact that during the time when Vithalnathji with his great missionary zeal spread the doctrine of Vallabha, Hindu temples were constantly faced with the danger of attack from Aurangzeb.	None
In fact, the traditional story about the foundation of the Srinathji Temple at Nathdwara itself eloquently brings out the fact that owing to the religious persecution practised during Aurangzebs time, Srinathji himself had to give up his abode near Mathura and to start on a journey in search of a place for residence in more hospitable and congenial surroundings.	None
Faced with this immediate problem Vithalnathji may have started building the temples in the form of Havelis so that from outside nobody should know that there is a temple within.22.	None
It may also be true historically that when the first temple was built in the life time of Vallabha it may have been a modest house where the original image was installed and during the early years just a few devotees may have been visiting the said temple.	None
Appropriately enough, it was then called a Haveli.	None
Later, even when the number of devotees increased and the temples built by the Vallabha sect began to collect thousands of visitors, traditional adherence to timehonoured words described all subsequent temples also as Havelis however big and majestic they were.	None
Therefore, we are satisfied that neither the tenets nor the religious practices the Vallabha school necessarily postulate that the followers of the school must worship in a private temple.	None
Some temples of this cult may have been private in the past and some of them may be private even today.	Reasoning
Whether or not a particular temple is a public temple must necessarily be considered in the light of the relevant facts relating to it.	Reasoning
There can be no general rule that a public temple is prohibited in Vallabha School.	Reasoning
Therefore, the first argument urged by the learned AttorneyGeneral in challenging the finding of the High Court that the Srinathji temple at Nathdwara is a public temple, cannot be accepted.23.	Reasoning
The question as to whether a Hindu temple is private or public has often been considered by Judicial decisions.	None
A temple belonging to a family which is a private temple is not unknown to Hindu law.	None
In the case of a private temple it is also not unlikely that the religious reputation of the founder may be of such a high order that the private temple founded by him may attract devotees in large numbers and the mere fact that a large number of devotees are allowed to worship in the temple would not necessarily make the private temple a public temple.	None
On the other hand, a public temple can be built by subscriptions raised by the public and a deity installed to enable all the members of the public to offer worship.	None
In such a case the temple would clearly be a public temple.	None
Where evidence in regard to the foundation of the temple is not clearly available, sometimes, judicial decisions rely on certain other facts which are treated as relevant.	None
Is the temple built in such an imposing manner that it may prima facie appear to be a public temple?	None
The appearance of the temple of course cannot be a decisive factor at best it may be relevant factor.	None
Are the members of the public entitled to an entry in the temple?	None
Are they entitled to take part in offering service and taking Darshan in the temple?	None
Are the members of the public entitled to take part in the festivals and ceremonies arranged in the temple Are their offerings accepted as a matter of right?	None
The Participation of the member of the public in the Darshan in the temple and in the daily acts of worship or in the celebrations of festival occasions may be a very important factor to consider in determining the character of the temple.	None
In the present proceedings, no such evidence has been led and it is, therefore, not shown that admission to the temple is controlled or regulated or that there are other factors present which indicate clearly that the temple is a private temple.	None
Therefore, the case for the Tilkayat cannot rest on any such considerations which, if may have helped to establish either that the temple is private or is public.24.	Reasoning
There are, however, certain ancient documents which show that the temple cannot be a private temple.	Reasoning
We have already referred to the Firmans issued by Akbar and Shahjahan.	Reasoning
These Firmans are strictly not material for the purpose of the present dispute because they have no relation to the temple at Nathdwara.	Reasoning
However, as a matter of history, it may be worthwhile to recall that the Firman issued by Akbar on May 31, 1593 A. D. shows that Vithalrai had represented to the Darbar that he had purchased on paying its price land from the owners thereof in the Mowzah of Jatipura, situated in the Parganah, adjoining Gordhan and had caused to be built thereon buildings, gardens, cowsheds and Karkhanas (workshops) for the temple of Gordhan Nath, and that he was residing there.	Reasoning
