 	Issue
The present case, in brief, pertains to the branch office participating in an auction proceeding and thereby procuring certain goods from the State Department.	Reasoning
Subsequently, the branch office would transfer the said goods to the head office which was situated in a different State.	Reasoning
Therefore, in the present case there is no link between the State Department and the head office of the Respondentcompany herein.	Reasoning
The decision of this Court in the case of Hyderabad Engg.	Reasoning
Industries v. State of A.P. (2011) 4 SCC 705 bears significance in understanding the proposition at hand.	Reasoning
The issue that arose for the consideration of this Court was whether the sale or purchase of goods therein could be said to have taken place in the course of interState trade or commerce and therefore whether the said transaction was exigible to tax under the CST Act.	Reasoning
The said case pertained to a Company which had its registered office in New Delhi and further was incorporated in the State of Andhra Pradesh as well.	Reasoning
It would be pertinent to note that the Company therein was registered as a dealer under the Act as well as the CST Act.	Reasoning
In determining the question whether the transaction therein was an interstate sale or a branchtransfer, this Court referred to Sections 3(a) and 6A of the CST Act and held as under It is an accepted position in law that a mere transfer of goods from a head office to a branch office or an interbranch transfer of goods, which are broadly brought under the phrase branch transfers cannot be regarded as sales in the course of interState trade, for the simple reason that a head office or branch cannot be treated as having traded with itself or sold articles to itself by means of these stock transfers.	Reasoning
In view of the aforesaid settled principles of law, interbranch transfers or transfers between the head office and a branch office cannot be considered as interState sale as contemplated under the CST Act.	Reasoning
Having noticed the aforesaid, we now turn to the facts of the present case to determine whether the transaction in question is an interState sale liable to tax under the CST Act or a sale transaction exigible under the provisions of the Act.	Issue
In the instant case, the Assesseeherein is a branch office which procures Beedi leaves from the seller.	Reasoning
The seller had issued a notice inviting for the tenders and the tender quotes stating the rate per kg at which the prospective purchasers desire to purchase the Beedi leaf to be collected, cured, bagged in trade bags and delivered at the godown of a unit.	Reasoning
The Assessee had participated in the auction pursuant to the aforesaid invitation and succeeded in its offer.	Reasoning
With regard to the conditions of completion of the sale transaction, it is relevant to notice Rule 3(13) of Andhra Pradesh Minor Forest Produce (Regulation of Trade in Abnus Leaves) Rules, 1970 which are applicable to the tender issued by the seller.	Reasoning
The said Rule reads as follows Subject to any orders of the Divisional Forest Officer in writing directing the agent to withhold the delivery to the purchaser or to deliver to any person, any specified quantity of abnus leaves from specified depots, the agent shall deliver immediately and in the manner directed by the Divisional Forest Officer abnus leaves purchased or collected by him to the purchaser Provided that no such delivery shall be made unless the agent has ensured that necessary payment had been made for the Abnus leaves to be delivered.	None
The said Rule stipulates that the delivery of goods takes place immediately subsequent to the consideration amount being paid by the purchaser.	Reasoning
The tender schedule, as issued by the seller, also stipulates that the purchaser should remove the stocks from the godowns within 30 days of issue of delivery orders failing which the purchaser will have to pay the godown rent and other expenses on watch and ward, insurance etc.	Reasoning
Further, the period for which the stocks remain in the godown, the seller shall not be responsible for any deterioration in the quality of Beedi leaves during the storage in godown.	Reasoning
Based on the aforementioned stipulations, it is clear that the delivery of the goods is complete at the godown of the seller on payment of the amount of the agreed consideration.	Reasoning
In the instant case, the sale of the goods is between the seller and the purchaser, that is between the State Department and the Assesseebranch office in the State of Andhra Pradesh.	Reasoning
Taking into consideration the abovementioned factors it becomes clear that the delivery of the goods takes place at the godown of the seller in the State of Andhra Pradesh.	Reasoning
The movement of goods from the godown takes place at the instance of the purchaser.	Reasoning
The final destination of the consignment and the route or destination of the goods by the seller is inconsequential to the sale transaction.	Reasoning
In view of the above discussion, it can be inferred that the events of sale of goods by the seller and the movement of goods from the State of Andhra Pradesh to another State are not inextricably connected and independent of each other.	Reasoning
There is no incident of direct sale between the seller and the head office of the RespondentCompany in the State of Maharashtra.	Reasoning
It is the branch office that purchases the goods and receives them subsequent to payment made by it to the seller and thereafter, transfers it to the head office of the RespondentCompany in the State of Maharashtra.	Reasoning
The incidence of sale is complete once the purchaser, that is, the branch office renders the payment for the goods.	Reasoning
Once the sale transaction concludes in the State of Andhra Pradesh only, the mere transport of goods from branch office in Andhra Pradesh to the head office in Maharashtra would not result in an interState sale.	Reasoning
Therefore, the sale or purchase of the Beedi leaves in the present case do not occasion the movement of the goods outside the State in order to qualify as an interState sale Under Section 3(a) of the CST ACT and therefore, is exigible to tax under the Act.	Reasoning
In view of the foregoing discussion, we are of the considered opinion that the impugned judgment and order passed by the High Court cannot be sustained and requires to be set aside.	Reasoning
In the result, the appeal is allowed.	Decision
The judgment and order passed by the High Court is set aside and the order passed by the Revisional Authority is restored.	Decision
Ordered accordingly.	Decision
