 	Arguments of Respondent
He also submitted the fact that in Adalat Prasads case involved a warrant case and in K.M. Mathews case involved a summons case did not make any difference, so far as the correctness of law considered by this Court in Adalat Prasads case.	Arguments of Respondent
He also submitted that the appeal in hand being one triable as a summons case, the Code has not contemplated a stage of discharge and once the plea of not guilty is recorded the appellant has to face a trial as contemplated in Chapter XX of the Code.	Arguments of Respondent
He pointed out the appellant being one of the Directors of the accused company and a coaccused, is using dilatory tactics to delay the trial in spite of the fact the core issue involved in this case has already been decided by this Court in the earlier S.L.P. filed by the company.	Arguments of Respondent
Having considered the argument of the learned counsel for the parties, we are of the opinion that the argument of the learned counsel for the appellant that the decision of this Court in Adalat Prasads case requires reconsideration cannot be accepted.	Reasoning
It is true that the case of Adalat Prasad pertained to a warrant case whereas in Mathews case the same pertained to a summons case.	Reasoning
To this extent, there is some difference in the two cases, but that does not, in any manner, make the law laid down by this Court in Adalat Prasads case a bad law.	Reasoning
In Mathews case this Court held that consequent to a process issued under Section 204 by the concerned Magistrate it is open to the accused the enter appearance and satisfy the court that there is no allegation in the complaint involving the accused in the commission of the crime.	Reasoning
In such situation, this Court held that it is open to the Magistrate to recall the process issued against the accused.	Reasoning
This Court also noticed the fact that the Code did not provide for any such procedure for recalling the process.	Reasoning
But supported its reasoning by holding for such an act of judicial discretion no specific provision is required.	Reasoning
In Adalat Prasads case, this court considered the said view of the court in K.M. Mathews case and held that the issuance of process under Section 204 is a preliminary step in the stage of trial contemplated in Chapter XX of the Code.	None
Such an order made at a preliminary stage being an interlocutory order, same cannot be reviewed or reconsidered by the Magistrate, there being no provision under the code for review of an order by the same Court.	None
Hence, it is impermissible for the Magistrate to reconsider his decision to issue process in the absence of any specific provision to recall such order.	None
In that line of reasoning this Court in Adalat Prasads case held Therefore, we are of the opinion that the view of this Court in Mathews case (supra) that no specific provision is required for recalling and issuance order amounting to one without jurisdiction, does not laid down the correct law.	None
From the above, it is clear that the larger Bench of this Court in Adalat Prasads case did not accept the correctness of the law laid down by this Court in K.M. Mathews case.	Reasoning
Therefore, reliance on K.M. Mathews case by the learned counsel appearing for the appellant cannot be accepted nor can the argument that Adalat Prasads case requires reconsideration be accepted.	Reasoning
The next challenge of the learned counsel for the appellant made to the finding of the High Court that once a plea is recorded in a summons case it is not open to the accused person to seek a discharge cannot also be accepted.	None
The case involving a summons case is covered by Chapter XX of the Code which does not contemplates a stage of discharge like Section 239 which provides for a discharge in a warrant case.	None
Therefore, in our opinion the High Court was correct in coming to the conclusion once the plea of the accused is recorded under Section 252 of the Code the procedure contemplated under Chapter XX has to be followed which is to take the trial to its logical conclusion.	Reasoning
As observed by us in Adalat Prasads case the only remedy available to an aggrieved accused to challenge an order in an interlocutory stage is the extraordinary remedy under Section 482 of the Code and not by way of an application to recall the summons or to seek discharge which is not contemplated in the trial of a summons case.	None
The learned counsel for the appellant then sought leave of this Court to approach the High Court by way of 482 petition questioning the issuance of process by the Magistrate.	Arguments of Petitioner
The same was very strongly opposed by the learned counsel for the respondents who contended that the complaint in this case was filed as far back as 24th of December, 1996 and though there was a direction earlier for an early disposal of the trial, appellant and the other accused have successfully managed to keep the trial in abeyance by initiating one proceedings after the another even up to this Court.	Arguments of Petitioner
He submitted both this Court as well as the High Court in the earlier proceedings has left the question of validity of statutory notice to be considered at the trial but the accused persons including the appellant herein are time and again raising the same issue with a view to delay the trial, hence no such permission as sought for by the appellant should be granted.	Arguments of Petitioner
We see that this Court while dismissing earlier S.L.P. as withdrawn had left the question of legality of the notice open to be decided at the trial.	Reasoning
Therefore, legitimately the appellant should raise this issue to be decided at the trial.	Reasoning
Be that as it may, we cannot prevent an accused person from taking recourse to a remedy, which is available in law.	Reasoning
In Adalat Prasads case we have held that for an aggrieved person the only course available to challenge the issuance of process under Section 204 of the Code is by way of a petition under Section 482 of the Code.	Reasoning
Hence, while we do not grant any permission to the appellant to file a petition under Section 482, we cannot also deny him the statutory right available to him in law.	Reasoning
However, taking into consideration the history of this case, we have no doubt the concerned court entertaining the application will also take into considerations i.e. raised by the respondent in this case as to delay i.e. being caused by the entertainment of applications and petitions filed by the accused.	Reasoning
With the above observations this appeal fails and the same is dismissed.	Decision
