 	Arguments of Respondent
for Rs.9,000 and market value of that land is Rs.6,600 per hectare.	Facts
In crossexamination, PW5 gave out that his land was not fit for agricultural purposes and that the same can be utilised for building construction.8.	Facts
On behalf of the respondents, seven witnesses were examined.	Facts
Ram Niwas Sharma (DW1) stated that Kolaras, Gayatri Colony and Sant Farm come within the jurisdiction of Kolaras Municipal Committee.	Facts
In crossexamination, DW1 admitted that large number of Government offices of Kolaras are situated in Village Jagatpur.	Facts
Gaya Prasad (DW3) stated that Jagatpur and Kolaras are abutting each other that there were several Government offices, Court buildings and Advocates offices and that there were metalled roads on the North and South of the acquired land and a private colony has been constructed in the vicinity.	Facts
Dharmender (DW7) made general statement about the nature of the acquired land.9.	Facts
After analysing the evidence produced before it, the Reference Court decided the matter vide judgment dated 23.12.1999 and held that the Land Acquisition Officer committed an error by fixing market value on the assumption that the acquired land could be used only for agricultural purposes.	Facts
In the opinion of the Reference Court, the determination made by the Land Acquisition Officer was unfair, arbitrary and contrary to the provisions of Section 23(1) of the Land Acquisition Act.	Facts
The Reference Court then referred to the judgments of this Court in Chiman Lal v. Special Execution Officer, Poona AIR 1988 SC 1652 , M s. Printer House Pvt. Ltd. v. Siyedan AIR 1995 SC 1160 , Shivamma v. Assistant Commissioner and Land Acquisition Officer AIR 1996 SC 2886 and held that only three sale deeds marked as Exhibits P7 to P9 can be taken into consideration for the purpose of determination of compensation.	Facts
The Reference Court held that value of the acquired land cannot be less than Rs.3 per sq. ft.	Facts
The Reference Court made 25 deduction towards development charges and 25 towards cost of development.	Facts
In this manner, the rate of compensation was reduced from Rs.3 to Rs.1.5 per sq. ft.	Facts
The Reference Court made further deduction of 50 on the ground that the sale instances relied upon by the appellants were in respect of very small parcels of land as compared to the acquired land and held that the appellants are entitled to Rs.3,08,295 as market value for 3.627 hectares land, an additional amount at the rate of 12 per annum from 12.6.1987 to 30.11.1987, i.e., the date on which possession was taken along with interest at the rate of 9 for a period of one year from 1.12.1987 and thereafter at the rate of 15 per annum.	Facts
The Reference Court also determined the shares of the private respondents.10.	Facts
By another judgment dated 11.8.2000, the Reference Court disposed of Civil Miscellaneous Suit No.12/1998, registered on the basis of application filed by the appellants under Section 30 of the Act and Civil Miscellaneous Suit No.13/1998 registered on the basis of application filed under Section 18 of the Act in respect of land measuring 0.951 hectare comprised in Survey No.18.11.	Facts
After considering the pleadings of the parties, the Reference Court framed the following issues Whether compensation determined by the Land Acquisition Officer, Shivpuri, is insufficient and improper and contrary to the provisions of Section 23 of the Land Acquisition Act?(ii) Whether the petitioners are entitled to higher compensation?	Facts
If yes, to what extent?(iii) Whether the application for reference made by the petitioners is within limitation?(iv) Relief and Costs.	Facts
Additional Issue(v)	Facts
Whether petitioners are in cultivatory possession of the acquired lands and hence the owners of the lands under law and therefore entitled to receive amount of compensation?	None
The Reference Court took cognizance of the oral and documentary evidence produced by the parties and held that being legal heirs of Sant Singh and farmers in occupation the appellants are owners of the lands.	Facts
The Reference Court noted that at the time of entering his name in Panch Sala Khasra (Exhibit P4), Chandra Mohan (respondent No.4 therein) was only 5 years old and held that he could not be treated as farmer in occupation for the purpose of being treated as a person entitled to receive the amount of compensation.	Facts
The Reference Court then considered the question whether the compensation awarded by the Land Acquisition Officer was insufficient and answered the same in affirmative.	Facts
For arriving at this conclusion, the Reference Court assigned the following reasons Now what is to be seen is Whether future potentiality of construction of buildings existed in the lands acquired?	None
Petitioners have examined Himmat Singh (P.W.1) who has stated that the date on which the lands were acquired, it was fully developed for agricultural purposes and there were several government offices e.g. Tehsil, S.D.O. Office, B.D.O. Office, Forest Department, Residence of Civil Judge, SubJail, Silk Industry Center, Rest House, Hospitals etc., near the acquired lands and all of the above are residential houses wherein Doctors and Advocates are also living.	None
Apart from this, there is a metalled road of P.W.D. on the south of the lands towards Village Rai and on the north there is a metalled road of P.W.D. going towards Village Mohara.	Facts
On the south there is an ancient temple on which a huge fair is celebrated every year.	Facts
More than 90 of the Government Offices of the Kolaras Sub Division are situated in Jagatpur and Jagatpur is situated near the AgraMumbai National Highway and a metalled road goes upto Sant Farm from this AgraMumbai National Highway.	Facts
These statements of the witness have not been challenged during his cross examination.	None
Apart from him, another witness of the petitioner namely Rishabh Chand (P.W.2) in his statement has stated that he is an ExM.L.A. and Chairman of Kolaras.	None
The entire development of Kolaras is presently towards Jagatpur side.	Facts
Sant Farm is only 1/2 Km.	Facts
from the A.B. Road and there are Quarters of Jail employees, Indira Colony and Residence of the Judge, Quarters and houses of the Railway employees near the farm.	Facts
The entire development activities of Jagatpur is taking place towards Sant Farm.	Facts
Patwari has also stated that Jagatpur and Kolaras are abutting each other.	Facts
There are several government offices, Advocates offices, Court buildings in Jagatpur.	Facts
Residence of the Judge is adjoining Sant Farm.	Facts
College too is very near to it and there is a large habitation around Sant Farm.	Facts
There is a road and habitation on the north of Sant Farm and on the south there is a temple and several persons of Kolaras are visiting this temple.	Facts
On the south is a metalled road of P.W.D. going towards village Rai and on the east of the Sant Farm there are several government houses.	Facts
A Private colony has been constructed on Survey nos.	Facts
161 and 163.	Facts
Hence it is clear from the above that the acquired lands are close to the residential lands and bore potential of construction of buildings at the time of acquisition.	Facts
In the circumstances it is clear that the determination of compensation of these lands by treating them as agricultural lands is unfair, arbitrary and insufficient and also contrary to the provisions of Section 231 of the Land Acquisition Act.	Facts
Resultantly, Issue no.l is hereby decided in affirmative i.e.	None
Yes.	None
The Reference Court relied upon sale deeds Exhibits P7 to P9 and concluded that market value of the acquired land is Rs.3 per sq. ft.	Facts
The Reference Court then applied various deductions and held that the appellants are entitled to compensation of Rs.80,240/ for land measuring 1,69,805 sq. ft.	Facts
and by adding 12 per annum from 12.6.1987 up to the date of taking lawful possession, i.e., 30.11.1987, the appellants are entitled to Rs.4,493.	Facts
The Reference Court also awarded solatium at the rate of 30 of the market value in terms of Section 23(2) of the Act and declared that the appellants are entitled to total compensation of Rs.1,08,904 with interest at the rate of 9 per annum for the first year and 15 per annum for the remaining period till the date of actual payment.	Facts
However, Civil Miscellaneous Suit No.13/1998 registered on the basis of reference made by the Collector under Section 18 was held to be barred by time.12.	Facts
The appellants and Union of India challenged the judgments of the Reference Court by filing appeals under Section 54 of the Act.	Facts
The learned Single Judge referred to the oral and documentary evidence produced by the parties and held that the Reference Court did not commit any error by holding that market value of the acquired land cannot be more than Rs.6 per sq. ft.	Facts
The learned Judge made various deductions and held that market value of the acquired land would be Re.1 per sq.ft.	Facts
The appeals were accordingly disposed of by declaring that the appellants are entitled to compensation for the land acquired vide notification dated 28.5.1987 at the rate of Re.1 per sq. ft with other statutory benefits like solatium and interest.	Facts
Shri U. U. Lalit, learned senior counsel for the appellants argued that the Reference Court and the High Court committed serious error by excluding various sale instances only on the ground that the contents thereof were not proved by examining the buyer and the seller.	Arguments of Petitioner
Shri Lalit invited the Courts attention to Section 51A of the Act and the judgments in Land Acquisition Officer and Mandal Revenue Officer v. V. Narasaiah (2001) 3 SCC 530 , Cement Corporation of India v. Purya (2004) 8 SCC 270 and Deputy Collector, Land Acquisition, Gujarat and another v. Madhubai Gobarbhai and another (2009) 15 SCC 125 and argued that the view expressed by the Reference Court and approved by the learned Single Judge of the High Court on the admissibility and relevance of the copies of the registered sale deeds is liable to be overturned.	Arguments of Petitioner
Shri Lalit further argued that the Reference Court and the High Court committed serious error by not taking into consideration the highest value reflected in the sale deeds Exhibits P4 and P5 for the purpose of determination of compensation.	Arguments of Petitioner
In support of this argument, Shri Lalit relied upon the judgments in Rao Bahadur, Collector of Madras 1969 1 MLJ 45 , State of Punjab v. Hansraj (1994) 5 SCC 734 , Anjani Molu Dessai v. State of Goa (2010) 13 SCC 710 , Mehrawal Khewaji Trust (Registered), Faridkot and others v. State of Punjab and others (2012) 5 SCC 432.	Arguments of Petitioner
Shri Lalit then argued that the deductions made by the Reference Court and approved by the High Court are clearly impermissible because the land had been acquired for construction of Broad Gauge Rail Line and not for carving out a lay out for residential, industrial or commercial purpose which necessarily involves construction of road and providing of basic amenities like electricity, water and sewerage and large area is required to be left out as open spaces.	Arguments of Petitioner
Shri Lalit also referred to documents produced by the appellants showing damage to their land and argued that the Reference Court and the High Court committed serious error by not awarding compensation for severance caused due to construction of railway line and damage caused due to digging.	Arguments of Petitioner
In the end, Shri Lalit relied upon the judgments of this Court in Sunder v. Union of India (2001) 7 SCC 211 and R. Saragapani v. Special Tahsildar, Karur Dindigul Broadguage Line (2011) 14 SCC 177 and argued that the appellants are entitled to interest on solatium.	Arguments of Petitioner
Shri R. K. Khanna, learned Additional Solicitor General appearing for the Union of India supported the impugned judgment and argued that the appellants are not entitled to further enhancement in the compensation determined by the High Court.	Arguments of Respondent
Shri Khanna argued that the sale instances produced by the appellants were in respect of very small parcels of land and the same could not supply basis for fixing market value of big chunks of land measuring 3.627 hectares and 0.951 hectare.	Arguments of Respondent
He further argued that the deductions made by the Reference Court and the High Court in lieu of the cost of development and other charges are legally correct and the High Court did not commit any error by fixing market value of the acquired land for the purpose of determination of the compensation payable to the appellants.15.	Arguments of Respondent
In support of his arguments, Shri Khanna relied upon the judgments in Land Acquiring Body, Ahmedabad v. Ramprasad H. Maharaj (2007) 15 SCC 593, Mahesh Dattatray Thirthkar v. State of Maharashtra (2009) 11 SCC 141 , Sabhia Mohammad Yusuf Abdul Hamid Mulla (dead) by Lrs. and others v. Special Land Acquisition Officer and others (2012) 7 SCC 595 , Bhagwathula Samanna and others v. Special Tahsildar and Land Acquisition Officer, Visakhapatnam Municipality, Visakhapatnam (1991) 4 SCC 506 , V. Hanumantha Reddy (dead) by Lrs.	Arguments of Respondent
v. Land Acquisition officer and Mandal R. Officer (2003) 12 SCC 642 , Valliyammal and another v. Special Tahsildar (Land Acquisition) and another (2011) 8 SCC 91 and K. S. Shivdevamma v. Assistant Collector AIR 1996 SC 2886 .	Arguments of Respondent
Before considering the respective arguments, we may notice the principles laid down by this Court for determination of market value of the acquired land.	None
In Shaji Kuriakose v. Indian Oil Corpn.	None
Ltd. (2001) 7 SCC 650 , this Court held It is no doubt true that courts adopt comparable sales method of valuation of land while fixing the market value of the acquired land.	None
While fixing the market value of the acquired land, comparable sales method of valuation is preferred than other methods of valuation of land such as capitalisation of net income method or expert opinion method.	None
Comparable sales method of valuation is preferred because it furnishes the evidence for determination of the market value of the acquired land at which a willing purchaser would pay for the acquired land if it had been sold in the open market at the time of issue of notification under Section 4 of the Act.	None
However, comparable sales method of valuation of land for fixing the market value of the acquired land is not always conclusive.	None
There are certain factors which are required to be fulfilled and on fulfilment of those factors the compensation can be awarded, according to the value of the land reflected in the sales.	None
The factors laid down inter alia are (1) the sale must be a genuine transaction, (2) that the sale deed must have been executed at the time proximate to the date of issue of notification under Section 4 of the Act, (3) that the land covered by the sale must be in the vicinity of the acquired land, (4) that the land covered by the sales must be similar to the acquired land, and (5) that the size of plot of the land covered by the sales be comparable to the land acquired.	None
If all these factors are satisfied, then there is no reason why the sale value of the land covered by the sales be not given for the acquired land.	None
However, if there is a dissimilarity in regard to locality, shape, site or nature of land between land covered by sales and land acquired, it is open to the court to proportionately reduce the compensation for acquired land than what is reflected in the sales depending upon the disadvantages attached with the acquired land.	None
In Viluben Jhalejar Contractor v. State of Gujarat (2005) 4 SCC 789 , this Court elaborately considered the matter and culled out the following principles One of the principles for determination of the amount of compensation for acquisition of land would be the willingness of an informed buyer to offer the price therefor.	None
It is beyond any cavil that the price of the land which a willing and informed buyer would offer would be different in the cases where the owner is in possession and enjoyment of the property and in the cases where he is not.	None
Market value is ordinarily the price the property may fetch in the open market if sold by a willing seller unaffected by the special needs of a particular purchase.	None
Where definite material is not forthcoming either in the shape of sales of similar lands in the neighbourhood at or about the date of notification under Section 4(1) or otherwise, other sale instances as well as other evidences have to be considered.	None
The amount of compensation cannot be ascertained with mathematical accuracy.	None
A comparable instance has to be identified having regard to the proximity from time angle as well as proximity from situation angle.	None
For determining the market value of the land under acquisition, suitable adjustment has to be made having regard to various positive and negative factors visavis the land under acquisition by placing the two in juxtaposition.	None
The positive and negative factors are as underPositive factorsNegative factors(i) smallness of size(i) largeness of area(ii) proximity to a road(ii) situation in the interior at a distance from the road(iii) frontage on a road(iii) narrow strip of land with very small frontage compared to depth(iv) nearness to developed area(iv) lower level requiring the depressed portion to be filled up(v) regular shape(v) remoteness from developed locality(vi) level visavis land under(vi) some special disadvantageous acquisition factors which would deter a purchaser(vii) special value for an owner of an adjoining property to whom it may have some very special advantage?Whereas a smaller plot may be within the reach of many, a large block of land will have to be developed preparing a layout plan, carving out roads, leaving open spaces, plotting out smaller plots, waiting for purchasers and the hazards of an entrepreneur.	None
Such development charges may range between 20 and 50 of the total price.	None
In Atma Singh v. State of Haryana (2008) 2 SCC 568 , the Court held In order to determine the compensation which the tenureholders are entitled to get for their land which has been acquired, the main question to be considered is what is the market value of the land.	None
Section 23(1) of the Act lays down what the court has to take into consideration while Section 24 lays down what the court shall not take into consideration and have to be neglected.	None
The main object of the enquiry before the court is to determine the market value of the land acquired.	None
The expression market value has been the subjectmatter of consideration by this Court in several cases.	None
The market value is the price that a willing purchaser would pay to a willing seller for the property having due regard to its existing condition with all its existing advantages and its potential possibilities when led out in most advantageous manner excluding any advantage due to carrying out of the scheme for which the property is compulsorily acquired.	None
In considering market value disinclination of the vendor to part with his land and the urgent necessity of the purchaser to buy should be disregarded.	None
The guiding star would be the conduct of hypothetical willing vendor who would offer the land and a purchaser in normal human conduct would be willing to buy as a prudent man in normal market conditions but not an anxious dealing at arms length nor facade of sale nor fictitious sale brought about in quick succession or otherwise to inflate the market value.	None
The determination of market value is the prediction of an economic event viz.	None
a price outcome of hypothetical sale expressed in terms of probabilities.	None
See Kamta Prasad Singh v. State of Bihar (1976) 3 SCC 772 , Prithvi Raj Taneja v. State of M.P. (1977) 1 SCC 684 , Administrator General of W.B. v. Collector (1988) 2 SCC 150 and Periyar Pareekanni Rubbers Ltd. v. State of Kerala (1991) 4 SCC 195.	None
For ascertaining the market value of the land, the potentiality of the acquired land should also be taken into consideration.	None
Potentiality means capacity or possibility for changing or developing into state of actuality.	None
It is well settled that market value of a property has to be determined having due regard to its existing condition with all its existing advantages and its potential possibility when led out in its most advantageous manner.	None
The question whether a land has potential value or not, is primarily one of fact depending upon its condition, situation, user to which it is put or is reasonably capable of being put and proximity to residential, commercial or industrial areas or institutions.	None
The existing amenities like water, electricity, possibility of their further extension, whether near about a town is developing or has prospect of development have to be taken into consideration.	None
See Collector v. Dr. Harisingh Thakur (1979) 1 SCC 236 , Raghubans Narain Singh v. U.P. Govt.	None
AIR 1967 SC 465 and Administrator General of W.B. v. Collector (1988) 2 SCC 150.	None
It has been held in Kausalya Devi Bogra v. Land Acquisition Officer (1984) 2 SCC 324 and Suresh Kumar v. Town Improvement Trust (1989) 2 SCC 329 that failing to consider potential value of the acquired land is an error of principle.	None
We shall now deal with the question whether the Reference Court was legally entitled to discard the sale deeds Exhibits P1 to P6 and P10 to P12 and whether the market value could have been determined only on the basis of Exhibits P7 to P9 and also whether the learned Single Judge of the High Court was right in relying upon Exhibits P1 and P7 to P9 for recording a finding that the Reference Court had correctly treated market value of the acquired land as Rs.6 per sq. ft. for the purpose of determining the amount of compensation.	Facts
Admittedly, the appellants had produced as many as 12 sale deeds, the details of which (as contained in the written note filed by learned counsel for the appellants on 27.11.2013) are given below Exhibit No.DateAreaTotal considerationRateP110.07.19862000	None
Sqft6000/Rs.3.00/P213.10.19921168 Sqft47,000/Rs.40.02/P325.02.1986600 Sqft5000/Rs.8.33/P410.02.1984112 Sqft2000/Rs. 17.86/P524.08.1984112 Sqft2000/Rs. 17.86/P619.01.19871200 Sqft9600/Rs.8.00/P708.07.19861980 Sqft16,000/Rs.8.08/P813.08.19861980 Sqft16,000/Rs.8.08/P908.08.1986825 Sqft6,600/Rs.8.00/P1017.02.1992900 Sqft49,500/Rs.55.00/P1119.01.19871200 Sqft9600/Rs.8.00/P1225.02.198653928 Sqft0.51	None
hectaresRe.0.09(Being an example rural agricultural land beyond Jagatpur cited as aContrast example)	None
Since all the sale deeds produced by the appellants were registered documents and authenticity thereof had not been questioned by the respondents, the Reference Court and the High Court could not have ignored the provisions of Section 51A and discarded majority of the sale deeds.	None
This issue is no longer res integra and must be answered in favour of the appellants in view of the judgments in Land Acquisition Officer and Mandal Revenue Officer v. V. Narasaiah (supra), Cement Corporation of India v. Purya (supra) and Deputy Collector, Land Acquisition, Gujarat and another v. Madhubai Gobarbhai and another (supra).	None
Notwithstanding the above conclusion, we are of the view that Exhibits P2 and P10 cannot be relied upon for determination of the amount of compensation because the same were executed after the issue of notification under Section 4.	None
The remaining sale deeds show that different parcels of land were sold between 10.2.1984 and 19.1.1987.	None
The highest value for which the land was sold was Rs.17.86 per sq. ft and the lowest was Rs.3 per sq. ft.	None
In Anjani Molu Dessai v. State of Goa (supra), a two Judge Bench considered the methodology which should be followed for fixing market value of the acquired land where large number of sale instances are produced by the parties, referred to the earlier judgments in M. Vijayalakshmamma Rao Bahadur v. Collector (1969) 1 MLJ 45 , State of Punjab v. Hans Raj (1994) 5 SCC 734 and held The legal position is that even where there are several exemplars with reference to similar lands, usually the highest of the exemplars, which is a bona fide transaction, will be considered.	None
Where however there are several sales of similar lands whose prices range in a narrow bandwidth, the average thereof can be taken, as representing the market price.	None
But where the values disclosed in respect of two sales are markedly different, it can only lead to an inference that they are with reference to dissimilar lands or that the lower value sale is on account of undervaluation or other price depressing reasons.	None
Consequently, averaging cannot be resorted to.	None
In Mehrawal Khewaji Trust (Registered), Faridkot and others v. State of Punjab and others (supra), another two Judge Bench restated the law in the following words It is clear that when there are several exemplars with reference to similar lands, it is the general rule that the highest of the exemplars, if it is satisfied that it is a bona fide transaction, has to be considered and accepted.	None
When the land is being compulsorily taken away from a person, he is entitled to the highest value which similar land in the locality is shown to have fetched in a bona fide transaction entered into between a willing purchaser and a willing seller near about the time of the acquisition.	None
In our view, it seems to be only fair that where sale deeds pertaining to different transactions are relied on behalf of the Government, the transaction representing the highest value should be preferred to the rest unless there are strong circumstances justifying a different course.	None
It is not desirable to take an average of various sale deeds placed before the authority court for fixing fair compensation.	None
The same view was reiterated in Chindha Fakira Patil v. The Special Land Acquisition officer, Jalgaon 2011 (12) SCALE 321.	None
It was neither the pleaded case of the respondents nor any evidence was produced by them before the Reference Court to prove that the sale transactions Exhibits P4 and P5 were not genuine or that the vendor and vendee had colluded to inflate value of the land with oblique motive.	None
It is also not the case of the respondents that the lands specified in other exhibits was sold at the rate of Rs.8.33, Rs.8.08 or Rs.8 per sq. ft. with ulterior motive to get higher compensation in the subsequent acquisitions.	None
Therefore, we can safely rely upon Exhibits P4 and P5 for determining the amount of compensation.	None
Even if those sale deeds are kept aside, one can rely upon Exhibits P3, P7 and P8 for recording a finding that market value of the acquired land cannot be less than anything between Rs.8 and Rs.8.33 per sq. ft.	None
If the rule of averaging is applied, then market value of the acquired land would be anything between Rs.9 and Rs.10 per sq. ft.	None
The next issue which merits consideration is whether the Reference Court and the High Court had correctly made deductions in the name of development charges cost of development.	Issue
The Reference Court made three tier deduction.	None
In the first place, 25 was deducted in the name of leaving out portions of the acquired land for the purpose of laying roads, drains, sewer line, parks, electricity line etc.	None
Thereafter, 25 deduction was made towards expenses for development work.	None
Finally, 50 deduction was made because of smallness of the plots sold vide Exhibits P1 to P12.	None
The learned Single Judge of the High Court approved the deduction and determined market value of the acquired land at the rate of Re.1 per sq. ft.	Facts
The approach adopted by the Reference Court and the High Court in making deductions towards the cost of development development charges from the market value determined on the basis of the sale deeds produced by the appellants was clearly wrong.	None
The respondents had not even suggested that the development envisaged by the Reference Court, i.e., laying of roads, drains, sewer lines, parks, electricity lines etc. or any other development work was required to be undertaken for laying the Railway line.	None
Therefore, 25 deduction made by the Reference Court and approved by the High Court under two different heads is legally unsustainable.	None
In Nelson Fernandes and others v. Special Land Acquisition Officer, South Goa and others (2007) 9 SCC 447 , this Court considered the question whether any deduction could be made towards development cost where the land is acquired for laying railway line and answered the same in negative.	None
In that case, the appellant had challenged the judgments of the Reference Court and the Division Bench of the High Court fixing market value of the acquired land and contended that no deduction could be made because the land had been acquired for laying railway line.	None
This Court reversed the judgments of the Reference Court and the High Court and observed Both the Special Land Acquisition Officer, the District Judge and of the High Court have failed to notice that the purpose of acquisition is for Railways and that the purpose is a relevant factor to be taken into consideration for fixing the compensation.	None
In this context, we may usefully refer the judgment of this Court in Viluben Jhalejar Contractor v. State of Gujarat.	None
This Court held that the purpose for which the land is acquired must also be taken into consideration in fixing the market value and the deduction of development charges.	None
In the above case, the lands were acquired because they were submerged under water of a dam.	None
Owners claimed compensation of Rs 40 per sq ft. LAO awarded compensation ranging from Rs 35 to Rs 60 per sq m. Reference Court fixed the market value of the land at Rs 200 per sq m and after deduction of development charges, determined the compensation Rs 134 per sq m. In arriving at the compensation, Reference Court placed reliance on the comparative sale of a piece of land measuring 46.30 sq m Rs 270 per sq m. On appeal, the High Court awarded compensation of Rs 180 per sq m in respect of large plots and Rs 200 per sq m in respect of smaller plots.	None
On further appeal, this Court held that since the lands were acquired for being submerged in water of dam and had no potential value and the sale instance relied was a small plot measuring 46.30 sq m whereas the acquisition in the present case was in respect of large area, interest of justice would be subserved by awarding compensation of Rs 160 per sq m in respect of larger plots and Rs 175 per sq m for smaller plots.	None
In Basavva v. Spl.	None
Land Acquisition Officer this Court held that the purpose for which acquisition is made is also a relevant factor for determining the market value.30.	None
We are not, however, oblivious of the fact that normally 1/3rd deduction of further amount of compensation has been directed in some cases.	None
However, the purpose for which the land is acquired must also be taken into consideration.	None
In the instant case, the land was acquired for the construction of new BG line for the Konkan Railways.	None
This Court in Hasanali Khanbhai Sons v. State of Gujarat and Land Acquisition Officer v. Nookala Rajamallu had noticed that where lands are acquired for specific purposes, deduction by way of development charges is permissible.	None
In the instant case, acquisition is for laying a railway line.	None
Therefore, the question of development thereof would not arise.	None
Therefore, the order passed by the High Court is liable to be set aside and in view of the availability of basic civic amenities such as school, bank, police station, water supply, electricity, highway, transport, post, petrol pump, industry, telecommunication and other businesses, the claim of compensation should reasonably be fixed Rs 250 per sq m with the deduction of 20.	None
The appellant shall be entitled to all other statutory benefits such as solatium, interest, etc. etc.	None
The appellants also will be entitled to compensation for the trees standing on the said land in a sum of Rs.59,192 as fixed.	None
IA No. 1 of 2006 for substitution is ordered as prayed for.	None
In C.R. Nagaraja Shetty v. Special Land Acquisition Officer and Estate Officer and another (2009) 11 SCC 75 , the Court referred to the judgment in Nelson Fernandes and others v. Special Land Acquisition Officer, South Goa and others (supra) and observed The learned counsel appearing on behalf of the respondents was also unable to point out any such evidence regarding the proposed development.	None
We cannot ignore the fact that the land is acquired only for the widening of the national highway.	None
There would, therefore, be no question of any such development or any costs therefor.16.	None
In Nelson Fernandes v. Land Acquisition Officer this Court has discussed the question of development charges.	None
That was a case where the acquisition was for laying a railway line.	None
This Court found that the land under acquisition was situated in an area which was adjacent to the land already acquired for the same purpose i.e. for laying a railway line.	None
In para 29, the Court observed that the Land Acquisition Officer, the District Judge and the High Court had failed to notice that the purpose of acquisition was for the Railways and that the purpose is a relevant factor to be taken into consideration for fixing the compensation.17.	None
The Court in Nelson Fernandes relied on Viluben Jhalejar Contractor v. State of Gujarat where it was held that29.	None
the purpose for which the land is acquired must also be taken into consideration in fixing the market value and the deduction of development charges.	None
Further, in para 30, the Court specifically referred to the deduction for the development charges and observed30.	None
We are not, however, oblivious of the fact that normally 1/3rd deduction of further amount of compensation has been directed in some cases.	None
However, the purpose for which the land is acquired must also be taken into consideration.	None
In the instant case, the land was acquired for the construction of new BG line for the Konkan Railways.	None
In the instant case, acquisition is for laying a railway line.	None
Therefore, the question of development thereof would not arise.	None
The Court made a reference to two other cases viz.	None
